lead,mes,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
1,1,0.38973488626333197,0.44935710423886505,0.9848551368165385,0.6328994370791843,0.5172250924226756,0.9293228139381986,0.945469311985149,0.7426692965154503,0.5124466617679287,0.32646650595368565,40,40
1,2,0.2595616988382349,-10.263480505627754,1.8682672477687408,0.5751475628100169,0.31377984140225523,0.40876038781163426,0.5013421181063934,0.6802439024390243,0.4481454367984382,0.4361149584487535,41,41
1,3,-0.09330205409649017,4.925781144273415,2.3292842359134562,-0.05826470843201733,0.07448617812831382,0.754674515235457,0.7969741337237677,0.45256097560975606,0.4657149829184969,-0.11738227146814384,41,41
1,4,0.43819119251434135,0.5647133213170852,1.374673691163654,0.6626308985453038,0.3375991271107288,0.4342105263157895,0.5396534895070765,0.385609756097561,0.285261102977062,0.07427285318559562,41,41
1,5,0.20558879181967615,-7.552240277402053,1.8067081556218454,0.4549696475817733,0.32527461228713583,0.8327562326869806,0.654099560761347,0.5015853658536584,0.11005368472425558,0.3388157894736843,41,41
1,6,0.2594536463652989,-3.343769684123106,1.10582703014595,0.5139892162970854,0.2415004119633538,0.8479916897506925,0.642630551488531,0.35853658536585375,-0.09919472913616412,0.09695290858725769,41,41
1,7,0.31669381577214817,-5.457731053293175,0.7730469256717128,0.5781911845695896,0.29622335015945644,0.8474722991689752,0.6931429965836993,0.245670731707317,0.16349438750610057,-0.06146121883656486,41,41
1,8,0.17533327401877685,10.256468706919689,0.8609822182998483,0.4537889488119212,0.2201264393105795,-0.2825991672145518,0.2898119142463035,0.25700197238658773,0.0758144151809309,0.030973774563518464,40,40
1,9,0.3643346945710043,-5.185660583851734,0.7163715840929565,0.61988709789108,0.28994909430450255,0.6062531959967858,0.5741965425223343,0.09861932938856,0.04629307344239464,-0.0064650449265832854,40,40
1,10,0.24923384807791327,-6.395664102653902,0.9580010659515195,0.5161478682427194,0.24229077242260066,0.692271166630141,0.5964986915213158,0.12366863905325443,0.015095847675033247,-0.00847395719190569,40,40
1,11,0.45932672262926755,-9.226906670650935,0.9393453770831424,0.7107598317249831,0.428088274790284,0.9662137482650304,0.7634425236235189,0.39211045364891517,0.025280066004047863,0.07462195923734372,40,40
1,12,0.3139202040915201,-3.074749308314986,0.9921136537117159,0.5698142346481804,0.3997505684346294,0.9583607275914968,0.5387451496048781,0.48777120315581857,0.5400342911655127,0.02933011907370886,40,40
2,1,0.037566857012953925,-3.691171688213233,1.2367968418889341,0.25916452203267626,0.19449086268838855,0.8107969902841698,0.5943071508682368,0.48362919132149895,0.27189284655348,-0.004273504273504036,40,40
2,2,0.0005597467644217202,-2.6768558643787745,2.145657921931739,0.1073105713780538,0.13483103649181127,0.3520344802396086,0.323974165603125,0.49750164365548977,0.32565004963195,0.01124990868580611,40,40
2,3,-0.053910573825661556,0.15736949351769453,2.286937449808409,-0.30330767830560157,0.02756965440089809,0.3176939058171747,0.5202537823328452,0.2282317073170732,-0.04087359687652525,-0.06284626038781149,41,41
2,4,-0.024373726110151317,-3.1785077321973385,1.8562418713577222,0.052023513554827094,0.05375276952384722,0.41481994459833793,0.3027086383601758,0.22060975609756095,0.06454367984382614,-0.04639889196675884,41,41
2,5,0.0252467829572951,1.3879491601710445,2.001302150982443,0.1902196001529698,0.11685816062726351,0.3909279778393353,0.29062957540263534,0.10871951219512188,-0.0963884821864327,0.10751385041551254,41,41
2,6,0.021894260004681976,0.12715137102000362,1.2708783495618623,0.2370544900196874,0.0967942524393921,0.5915858725761773,0.3945827232796486,0.08609756097560983,-0.05905319668130815,-0.06630886426592797,41,41
2,7,0.2389119469846258,-10.765819586926222,0.8158599869300023,0.5021963515719573,0.19078810983201044,0.6379847645429364,0.46266471449487545,0.02170731707317075,0.06588579795021932,-0.042763157894736725,41,41
2,8,0.07469236234365706,8.738060255859942,0.9122823828912601,0.3285586225991828,0.13307017265112486,0.17884349030470925,0.24682772083943383,0.13158536585365843,-0.03965348950707681,-0.06492382271468156,41,41
2,9,0.17660855909676598,-5.720205736915063,0.8153184507334569,0.42682388439301555,0.15880206348168635,0.06476002629848787,0.08651429013419965,0.11288625904010519,-0.05193951347797543,0.02293812550222818,40,40
2,10,0.10594931449052636,-4.233595969213374,1.0454294265971948,0.3648292450883921,0.12313481978288543,0.41102344948498803,0.13898235165203476,-0.011768573307034957,-0.059803276997847155,-0.03879026955950016,40,40
2,11,0.08418202386437401,-2.0673704468991705,1.2225381816802483,0.29889067023829585,0.140003939957143,0.49119731171013237,0.3091490376558249,0.11794871794871786,-0.03621198643823087,-0.015961721089926106,40,40
2,12,0.22434160303896034,-2.11619926482347,1.0548953079469774,0.4766871754034865,0.23109864923477363,0.842574329753817,0.3332559848396952,0.18205128205128196,0.14877982751285934,-0.012126524947037698,40,40
3,1,-0.02808208393561218,-0.7286398834391644,1.2782828961416808,0.0861441822790002,0.09501247782046518,0.6603111987727373,0.3242319939152518,0.22550953320184086,0.06885305075350323,-0.07878588647819407,40,40
3,2,-0.01761006182279945,-5.393046667431817,2.165074087185604,-0.01891719499643224,0.038820512709217936,0.16849295054423263,0.2483015559938636,0.254240631163708,-0.03595415812610403,-0.06563664255971924,40,40
3,3,-0.04598585069503769,-0.09574369292679207,2.2466479538982567,-0.4636953323679655,0.013794177701854982,0.2833662064431297,0.18603601861520425,0.16088099934253786,-0.054517796599244495,-0.07221126451895676,40,40
3,4,-0.06212143429237238,0.3502451658185909,1.8901333112168384,-0.4829051085954646,0.0021727829783656505,0.1682825484764543,0.19692532942898977,0.14591463414634154,-0.03513909224011735,-0.08223684210526305,41,41
3,5,-0.0637776724994985,0.7112858012190625,2.0906953769879815,-0.22541213171997165,0.010872051400667715,0.2910318559556787,0.08199121522693997,0.06615853658536586,-0.09699853587115692,-0.06423130193905813,41,41
3,6,-0.0571317807461722,0.7276440879144488,1.3212215298122816,0.023020026289211563,0.023384489493553096,0.24307479224376738,0.10297706198145418,0.054024390243902376,-0.05880917520741846,-0.1298476454293629,41,41
3,7,0.09837176587380703,-5.811701369691133,0.8879978887254835,0.31985893460664544,0.09381456902028984,0.4201869806094183,0.1415324548560274,-0.02073170731707319,-0.004514397266959458,-0.01385041551246502,41,41
3,8,0.07682792923698245,7.369645547014801,0.9112290221570487,0.29270048391032505,0.09253609834283072,0.1454293628808866,0.050146412884333635,-0.016280487804877897,-0.014641288433382416,-0.06855955678670345,41,41
3,9,0.11854222996597641,-3.2907441308645433,0.8480388075135751,0.34980200419101676,0.12510537208254635,0.3440096952908588,0.042459736456808006,0.06353658536585371,-0.03404099560761353,-0.04466759002770071,41,41
3,10,0.018748387994145577,-5.435696799685653,1.095226243634033,0.14975653679479106,0.0827895383257834,0.10475564321718167,0.040749764731664806,0.06337935568704789,-0.030410849415374308,-0.028563079845130845,40,40
3,11,0.01577527011543367,-0.7889903584926601,1.267374562870371,0.12630180365213345,0.06363522772301433,0.27058221930016824,0.06446996944734484,0.03366206443129516,-0.04820100295213425,-0.04974797282489596,40,40
3,12,0.019721289875088255,-0.8591817487522178,1.1859022602332974,0.14954644032541245,0.07753540279894289,0.4144933888523633,0.15986644493431834,0.0038132807363575605,-0.021386858490930694,-0.07860325809043744,40,40
4,1,0.011239023064215314,-1.2531367132295066,1.2535993014964344,0.10858264775451039,0.05979877594251615,0.3129520052596977,0.1299583607275916,0.025246548323471396,-0.009526756133090952,-0.051939513477974986,40,40
4,2,-0.05343051915590924,-1.3313706721817211,2.202850449199354,-0.3131311748891222,0.008798418276688036,0.17817225509533208,-0.057353908032641066,0.15509533201840886,-0.06302613089943443,-0.10216232011103799,40,40
4,3,-0.04743455237012961,-0.4706392199349966,2.2482032313789477,-0.7517484557165699,0.004109843582811745,0.14895171305427723,0.13537275528225767,0.17330703484549637,-0.07282360676025834,-0.05212214186573161,40,40
