lead,mes,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
1,1,0.13067359182337934,-2.6420007901811577,1.8404340023676746,0.3975148647303506,0.19786452863522552,0.6391263057929724,0.2748578721429399,0.5206443129520053,0.2608062291320208,0.014171962889911627,40,40
1,2,0.07199376733291751,2.3797794557153464,1.2383276283212967,0.30328710394015407,0.16550309560339926,0.21952908587257636,0.3125915080527084,0.38853658536585367,-0.02940458760370923,0.09677977839335206,41,41
1,3,0.19603519770061484,-2.3683197599799524,1.354805417108478,0.47957501191107305,0.16305888376440703,0.2913781163434904,0.12518301610541727,0.11243902439024389,-0.04416788677403627,-0.012638504155124686,41,41
1,4,0.09496164477922153,-7.695042378691966,1.4211091909087046,0.3517783383827221,0.1544719841049842,0.34452908587257625,0.0739385065885797,0.0917073170731707,-0.02964860907759892,0.11270775623268703,41,41
1,5,0.23335678578789143,-4.586750755664388,0.9581226623494961,0.48660376729031246,0.23031531578111075,0.23182132963988933,0.057223035627135044,-0.002134146341463472,-0.0037823328452903926,-0.024584487534625943,41,41
1,6,0.2859317421763148,-2.3532696644408744,0.892214373404387,0.5483931705595303,0.22343755296898082,0.5997229916897506,0.2929477794045875,0.0422560975609757,-0.03013665202537852,0.0462257617728532,41,41
1,7,0.26365974309979145,-3.0210778971814203,0.6400625213238064,0.5182621453645835,0.23664611882384068,0.768005540166205,-0.04868228404099573,0.012743902439024457,0.0003660322108343106,-0.08812326869806086,41,41
1,8,0.021106635591176204,1.5825159203378012,0.8684150725975187,0.23672098041361925,0.09773112820715957,0.594930235955877,-0.023320570831883103,0.0009861932938856066,0.0183187015766203,-0.09248301555993876,40,40
1,9,0.16512845974314616,-1.5704410146508054,0.8237662237784206,0.40954593078359,0.16728445570924633,0.3204397691577181,0.10765621172860995,0.08172255095332015,0.04062085057560172,0.010519395134779841,40,40
1,10,0.16738691245270687,-0.3470982201016969,0.8254658338831957,0.4174959537917988,0.12502089142844475,0.20666228358536043,0.06962653568988375,-0.06673241288625897,-0.020613373554550174,0.03225217327781438,40,40
1,11,0.055434791411771656,-1.8387239467957035,1.1094617352285157,0.24506266686729686,0.1605233828540934,0.45193220834246484,0.18964561498498134,0.15115055884286654,0.13537275528225723,-0.05029585798816538,40,40
