Descargas realizadas el 10/07/2023 22:25:12 de Gestión Embase
__________________________________________________________________________
 
05/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	1,67;	63,99;
06/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	1,4;	50,44;
07/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	1,1;	36,83;
08/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,97;	31,41;
09/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	1,08;	35,98;
10/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,97;	31,41;
11/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,97;	31,41;
12/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,9;	28,61;
13/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,8;	24,75;
14/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,7;	21,06;
15/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,57;	16,52;
16/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,57;	16,52;
17/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,57;	16,52;
18/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,57;	16,52;
19/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,5;	14,2;
20/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,5;	14,2;
21/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,5;	14,2;
22/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,38;	10,4;
23/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,38;	10,4;
24/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,38;	10,4;
25/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,38;	10,4;
26/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,38;	10,4;
27/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,38;	10,4;
28/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,44;	12,27;
29/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,57;	16,52;
30/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,62;	18,23;
31/08/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,67;	19,99;
01/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,76;	23,25;
02/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,85;	26,66;
03/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	1,03;	33,87;
04/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	1,75;	68,24;
05/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	2,56;	117,41;
06/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	2,73;	129,15;
07/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	2,68;	125,65;
08/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	2,38;	105,52;
09/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	1,79;	70,41;
10/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	1,55;	57,81;
11/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	1,35;	48,06;
12/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	1,05;	34,71;
13/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,85;	26,66;
14/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,75;	22,88;
15/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,65;	19,28;
16/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,6;	17,54;
17/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,54;	15,51;
18/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,48;	13,55;
19/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,38;	10,4;
20/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,38;	10,4;
21/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,3;	8,01;
22/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,38;	10,4;
23/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,35;	9,49;
24/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,32;	8,6;
25/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,31;	8,3;
26/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,26;	6,85;
27/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,26;	6,85;
28/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,26;	6,85;
29/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,26;	6,85;
30/09/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,26;	6,85;
01/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,26;	6,85;
02/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,26;	6,85;
03/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,15;	3,81;
04/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,15;	3,81;
05/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,15;	3,81;
06/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,15;	3,81;
07/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,15;	3,81;
08/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,15;	3,81;
09/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,15;	3,81;
10/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,15;	3,81;
11/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,15;	3,81;
12/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,15;	3,81;
13/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
14/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
15/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
16/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
17/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
18/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
19/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
20/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
21/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
22/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
23/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
24/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
25/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
26/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,03;	0,73;
27/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,26;	6,85;
28/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,26;	6,85;
29/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,3;	8,01;
30/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,4;	11,02;
31/10/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,55;	15,85;
01/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,65;	19,28;
02/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,7;	21,06;
03/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,7;	21,06;
04/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,65;	19,28;
05/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,65;	19,28;
06/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,65;	19,28;
07/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,5;	14,2;
08/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,45;	12,59;
09/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,4;	11,02;
10/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,35;	9,49;
11/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,26;	6,85;
12/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,2;	5,17;
13/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,2;	5,17;
14/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,2;	5,17;
15/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,2;	5,17;
16/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,2;	5,17;
17/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,2;	5,17;
18/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,2;	5,17;
19/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,2;	5,17;
20/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,2;	5,17;
21/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,2;	5,17;
22/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,25;	6,57;
23/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,3;	8,01;
24/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,4;	11,02;
25/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,5;	14,2;
26/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,55;	15,85;
27/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,6;	17,54;
28/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,55;	15,85;
29/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,35;	9,49;
30/11/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,25;	6,57;
01/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,15;	3,81;
02/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,12;	3,02;
03/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,11;	2,76;
04/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,1;	2,5;
05/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,1;	2,5;
06/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,1;	2,5;
07/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,1;	2,5;
08/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,1;	2,5;
09/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,1;	2,5;
10/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,1;	2,5;
11/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,1;	2,5;
12/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,1;	2,5;
13/12/2022;	700;	Central Constitución;	Río Yí;	Durazno;	Durazno;	0,1;	2,5;
