,1,2,3,4,5,6,7,8,9,10,11,12,0
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
10,0.08147052377821604,0.08972240763457927,0.09167689441317488,0.08462840523992021,0.08498806345311967,0.08481618619810453,0.07718749999999996,0.08054702658712971,0.09140307376939642,0.09120837074988102,0.07978987935835961,0.074533165092499,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
11,0.07135656366425595,0.08330499196880527,0.08044313720380793,0.08466927112565009,0.08304088793476688,0.07670928812345316,0.07318851626016255,0.06921964950048903,0.09372847880352568,0.08121100995280166,0.07380428740184834,0.06860407212306835,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
12,0.08142669296515448,0.083309166252412,0.08164758088655831,0.07804719696605249,0.07815965373657677,0.0779469640480428,0.07431656504065039,0.09182782508298452,0.07941352234035157,0.08644344689255568,0.09009230862772134,0.08065131018050808,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
13,0.07943239097085246,0.0848698639106706,0.08381467383460812,0.08311668149965519,0.08625942596334242,0.07877960083225088,0.07238313008130075,0.07768427816797889,0.08853478970563865,0.0872846193267159,0.08698479251187972,0.08843012359487495,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
14,0.07870918255533635,0.07935460464072092,0.08166174405210518,0.08334919026581782,0.07396131329409937,0.0736340137131647,0.07582571138211379,0.07888036827237106,0.07151444813264694,0.08012653975775451,0.08831633385983757,0.08139601139601135,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
15,0.07758875739644967,0.0785120608232709,0.08187138529422767,0.08415957088564963,0.08268590511965274,0.0783304652881341,0.07685721544715444,0.07378365484838274,0.08178506498452554,0.08262971849393047,0.08752715539359533,0.08365304938182515,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
16,0.07502739425816342,0.0773599217994152,0.07874325833988118,0.08064562921270235,0.07287391492011562,0.07701130814932407,0.0704674796747967,0.06338287852183251,0.07225541938604786,0.07737869521816511,0.08457387229197733,0.0830903679783839,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
17,0.08763149243918471,0.08310037690490313,0.08564261751468594,0.08914147564182738,0.08397098313315472,0.08048550810335517,0.08410315040650403,0.0908954147357055,0.07964974770556381,0.07849326234879701,0.07704982380814927,0.07359454092568533,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
18,0.06511067280298045,0.06777653167310761,0.0785679868694643,0.09109988280602722,0.07088575324855807,0.06903332511505583,0.06460873983739833,0.06820409256853908,0.06035693716158064,0.0688478459427099,0.09366447646231883,0.07660008859703976,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
19,0.05803199649353492,0.06938350224232022,0.061887878642099985,0.07100607751639644,0.05720938701004363,0.05820407419434152,0.06182926829268292,0.07323586823762711,0.06349946447566047,0.05900414688934855,0.05505661257302904,0.050428573146678146,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
20,0.04703320184089412,0.07058966474773228,0.08008490215572765,0.06527416641276862,0.06756226681472925,0.05025855836714182,0.0389659552845528,0.055265578980986996,0.0456781548831267,0.02832618577048687,0.0,0.0,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
21,0.05262163050624583,0.0778062611247414,0.08630817939096547,0.0800323870287519,0.06581982662775342,0.07001232574579193,0.06089684959349589,0.08626931128162363,0.08146932277384897,0.07655688751783964,0.06607743955891232,0.0571426903433235,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
22,0.04210771422309878,0.08101865883057248,0.08523839352052293,0.08150945035091374,0.06718252727399067,0.05613790904304503,0.04351371951219507,0.06001462085010393,0.06377704347802843,0.07117374708017293,0.05707831717740248,0.05136451468064971,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
23,0.059190773613850466,0.07795629312925274,0.07351961094808182,0.08627013645013171,0.07228815385417163,0.06874998997771038,0.06693597560975607,0.0870144150590914,0.07125344432684955,0.06576329757380409,0.060417319785870394,0.06347568993441412,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
24,0.04404722770107383,0.06855195120614911,0.06277728000406231,0.0704444217272547,0.061279024550600504,0.05925043129252786,0.054131097560975554,0.08813380458138893,0.07090024882004241,0.06295394123196651,0.05403381119610005,0.04714329335107942,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
26,0.045178610563225884,0.05133109702645345,0.05171471853401962,0.06868207727318887,0.06683636407369987,0.07744930725934475,0.0689176829268292,0.08423826256260585,0.07616363124923158,0.06962792249963916,0.0606812734855652,0.05324057203219956,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
27,0.06567499452114833,0.06516836778328329,0.06767039395615845,0.08054351210425315,0.06919375524499814,0.07666684205673413,0.07696646341463408,0.09113957942464035,0.08129600397951707,0.08078602645617183,0.06934056508341212,0.06316765653480001,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
28,0.06395463510848122,0.0675127283077564,0.07432239634279968,0.07623470765649469,0.07436796101195721,0.08352045449078749,0.0798475609756097,0.09960762736325583,0.08911623617592185,0.0808571011930533,0.07432726216438688,0.06468424442627063,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
29,0.06594345825115051,0.06322284928347306,0.10192298338170756,0.08815552622365469,0.08119895981997292,0.08061395042574682,0.07860264227642272,0.09076219011080638,0.09280999609798857,0.08367648149484452,0.0719516872190418,0.0716725831582773,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
30,0.068899298706991,0.07265227866775704,0.08995919257762595,0.09244286626791313,0.08483569959590126,0.08221456018184438,0.08148882113821133,0.09087950101024676,0.09305686847548944,0.08381999232960767,0.0829593131791771,0.07541247734962554,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
31,0.07648202936664471,0.07853205696134867,0.08882083420193172,0.09730077525750601,0.0927151317864263,0.08249321156919652,0.0840853658536585,0.09517955933997206,0.08737664900071086,0.08733971018211163,0.0921769231437383,0.07752125226503741,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
32,0.06123986412447945,0.07028342533795157,0.08664859647856826,0.08481760101131582,0.0715124620489301,0.0865449092114195,0.08388211382113818,0.105246471485918,0.0883390961498372,0.08778401832341792,0.08433933234179479,0.07745218866759669,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
33,0.05461045364891515,0.04890758881084861,0.05543566391655035,0.08260019282885132,0.06311444652908065,0.08545129200675632,0.07956554878048776,0.08900426214567862,0.06915319837986343,0.08275913631917381,0.08203069292773792,0.06272695975850286,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
40,0.08006245890861272,0.07881077683434622,0.0787543530144374,0.09011296790729244,0.08424145466183453,0.08205449920623462,0.08520071138211377,0.08425965012855254,0.08288780247269927,0.08393051312786298,0.08469670046182708,0.0748013481983932,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
41,0.07134560596099056,0.07531751114478598,0.0749131952796352,0.09146596530684237,0.08670408321440211,0.07836801546639723,0.08055640243902436,0.09238943911258633,0.08955019964400823,0.08509342277224545,0.08268466903727219,0.0715318351346728,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
42,0.05779914529914527,0.06196637822517275,0.06687016925642625,0.08683631229187043,0.07684742367024258,0.08291323904363299,0.07939532520325199,0.08601036204518847,0.0813298692959809,0.07560108180593635,0.07837832339122203,0.0623053120139189,
lead,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
