,1,2,3,4,5,6
10,0.060050251709771,0.0808334253826544,0.090201768502094,0.0946384555351242,0.0969871896223234,0.0962801172744448
11,0.0571180693178315,0.0796451444524581,0.0886063191317474,0.0950167349275554,0.0963551825933651,0.0949057126169658
12,0.0470011197529179,0.0726884971558564,0.0875074993123374,0.0950743180950194,0.0955174976734985,0.0950489233117252
13,0.0572271748366756,0.0790947580979939,0.0893728011944031,0.0942490183210637,0.0965493525142459,0.0960215453167832
14,0.0294246051084124,0.0496442781059065,0.0625408680936838,0.0735337517787177,0.0817003314497515,0.0862228842553787
15,0.0437339680765734,0.0668006255022102,0.0815824794405134,0.0894899565166226,0.093376903345325,0.0938476977201368
16,0.0327473004280473,0.0557987534717033,0.0695906476445842,0.0814056905973242,0.0882207227207324,0.0915055803547256
17,0.0563687770146708,0.0803106682636321,0.0908615816455819,0.0941670583275035,0.0956749850374731,0.0954276430969867
18,0.0523028177199635,0.0710229242517112,0.0753786187114972,0.0829823582963872,0.0867778586367892,0.0912440953067841
19,0.0400802128613477,0.0638348360836226,0.0747798288532387,0.0853680276249037,0.0905799396012062,0.0921567228131427
20,0.0257532847168526,0.0411059635686835,0.0500489016530614,0.061802787758812,0.0716818241215426,0.0798236768180823
21,0.0286934772046173,0.0481977176100097,0.0615515003317385,0.0715824361231858,0.0788532928749493,0.0856544851121954
22,0.0244233164179169,0.0435629765357256,0.056203604434828,0.0698998936559607,0.0784101277355794,0.0826321232637873
23,0.0358320356183945,0.0569592427264792,0.0750157458485756,0.0830063019492075,0.0883559305392213,0.0923559211538003
24,0.0303173174734157,0.0467130739636148,0.0601187833317811,0.0717100814582345,0.0765967849879469,0.0806541457931294
26,0.0427627430553299,0.0649228734982424,0.0760133041952109,0.0799047885139774,0.0821235417402158,0.0856572177136103
27,0.0438860660430415,0.0695257979954184,0.0816742508087706,0.0860755511949445,0.0887568071375404,0.09174677845425
28,0.0481938082211955,0.0734129469716495,0.0843135358707179,0.0912939174530566,0.0938753125164696,0.0948152191098722
29,0.0607815095655488,0.0828950305639843,0.08893877962093,0.0949612309918152,0.0943143661194966,0.0950470029102024
30,0.0589182363783248,0.0820855957612551,0.0883549053624685,0.0931669189900998,0.0932914093797897,0.0939902730940917
31,0.0676717116914189,0.0862379767342633,0.0920019933190241,0.0939816096285755,0.0944182879981402,0.0950360364067699
32,0.0543835005743155,0.0747303388064776,0.0869828867677837,0.0921219281697634,0.0946510897556686,0.0950500279035785
33,0.0458492939636582,0.0639497461243626,0.0784479798603305,0.086171571271082,0.0885720045887489,0.0926947781683556
40,0.0533307342936784,0.0771604986401968,0.0901748901003301,0.0936414025573106,0.0936837993916803,0.0949254689281199
41,0.0498131904150305,0.0746737844255436,0.0877887695496514,0.0906424320657961,0.0943241919333028,0.094573273786447
42,0.0392343517959003,0.0628837103023766,0.0773756269280723,0.0847439223984515,0.0889463818119205,0.0913307841086052
43,0.0568539671813487,0.0768929130686211,0.0883875088710277,0.092038755291031,0.0938633749829438,0.0939448512663459
44,0.0578888361861403,0.0768967791401077,0.0871476514427918,0.0909336833373402,0.0924857576236691,0.0932740427412071
45,0.0457859929089534,0.0679089787434654,0.0814156788511089,0.0877363952908289,0.0900610810416662,0.0919093411651061
50,0.0574175472718386,0.072543084496945,0.0848625613391407,0.0898481872059385,0.0913736032869188,0.0931976742926821
51,0.0494144255364309,0.0731004738193681,0.0873147949610396,0.0923698765528359,0.0949313420357844,0.095574178396638
52,0.0415292063471436,0.0612830845113841,0.0762333165117711,0.0833249117228961,0.0894516170719363,0.0931027443692888
53,0.0467080419340609,0.0709850324194099,0.0841661306147378,0.0897679346370405,0.0924934969861969,0.0943680074101508
54,0.0513621314146645,0.0753058167229431,0.0845069296894797,0.0911484723061495,0.0922710119721874,0.0945467310939719
55,0.0521568022282433,0.0792990065170919,0.0901615555829898,0.0939003318829248,0.0930147560476404,0.0943692636126507
56,0.0547624622146561,0.0743487781264822,0.0870319725194873,0.0920171940912277,0.0938706270255363,0.0952522728962759
57,0.0587376103418675,0.0778022845558566,0.0924699865066524,0.0947486295480486,0.0937271094997065,0.0946992080870563
58,0.0573374029962595,0.0780458073519612,0.0874522805490038,0.0911175473440341,0.0913162908527521,0.0933051662410739
60,0.0534071027422034,0.0778485149737172,0.0871362445465289,0.0921141996365676,0.0945783274746647,0.094976059956957
61,0.0507451410592674,0.0753505671321113,0.0875406551168232,0.0910367352596549,0.0922309253952886,0.0940254359347554
62,0.0354807790188192,0.058109823142571,0.0685473101022505,0.0766718791850855,0.0815559331382609,0.085417835332067
63,0.0228922763039057,0.0361551756625926,0.0503457805674136,0.0627802504752271,0.0731676770433324,0.0773850809348168
64,0.0068642081195442,0.0135883388310241,0.0207796036031353,0.0299138310061099,0.0407435274888151,0.0492956710828682
65,0.0399310460340459,0.0624541612429762,0.078246012820485,0.0851140689626294,0.086992943607337,0.0902106702129118
66,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0353888704790246,0.0554417212284505,0.0679991293217156,0.0732920266517077,0.0788176499339049,0.0832643360500517
68,0.036081121081316,0.0560606428147021,0.0686315550848406,0.0754651198048987,0.0776391587197419,0.0799309882776092
