N_OFICIAL,NOMBRE_ESTACION,NOMBRE_GRAFANA,FEWS,GRAFANA,BOLETINES
INUMET-147,LOS TAPES (FELICIANO),Los Tapes (Feliciano),TRUE,FALSE,FALSE
INUMET-153,MARIA ALBINA,,TRUE,TRUE,FALSE
INUMET-154,MARINCHO,Marincho,TRUE,FALSE,FALSE
INUMET-155,MARISCALA,Mariscala,TRUE,FALSE,FALSE
INUMET-156,MARMARAJA,Marmaraja,TRUE,FALSE,FALSE
INUMET-159,MELILLA,Melilla - Aeropuerto Internacional Ángel S. Adami,TRUE,FALSE,FALSE
INUMET-160,MELO,Melo,TRUE,FALSE,TRUE
INUMET-161,MENDOZA,Mendoza,TRUE,FALSE,FALSE
INUMET-162,MERCEDES,Mercedes,TRUE,FALSE,TRUE
INUMET-165,MINAS DE CORRALES,Minas de Corrales,TRUE,FALSE,FALSE
INUMET-167,MOIRONES,Moirones,TRUE,FALSE,FALSE
INUMET-169,NICO PEREZ,Nico Perez,TRUE,FALSE,FALSE
INUMET-170,NUEVA HELVECIA,Nueva Helvecia,TRUE,FALSE,FALSE
INUMET-171,NUEVA PALMIRA,Nueva Palmira,TRUE,FALSE,FALSE
INUMET-172,NUEVO BERLIN,Nuevo Berlín,TRUE,FALSE,FALSE
INUMET-179,PALMITAS,Palmitas,TRUE,FALSE,FALSE
INUMET-180,PALOMAS,,TRUE,TRUE,FALSE
INUMET-186,PASO CAMPAMENTO,Paso Campamento,TRUE,FALSE,FALSE
INUMET-187,PASO DE LA CRUZ_AR,Paso de la Cruz_ar,TRUE,FALSE,FALSE
INUMET-188,PASO DE LA CRUZ_RN,Paso de la Cruz_rn,TRUE,FALSE,FALSE
INUMET-194,PASO FARIAS,Paso Farias,TRUE,FALSE,FALSE
INUMET-201,PAYSANDU,Paysandú,TRUE,FALSE,TRUE
INUMET-73,COLONIA PINTADO,,TRUE,TRUE,FALSE
INUMET-206,PIRARAJA,Pirarajá,TRUE,FALSE,FALSE
INUMET-207,PLACIDO ROSAS,Placido Rosas,TRUE,FALSE,FALSE
INUMET-209,POLANCO DEL YI,Polanco del Yí,TRUE,FALSE,FALSE
INUMET-211,PRADO,Prado,TRUE,FALSE,TRUE
INUMET-212,PUEBLO ANSINA,Pueblo Ansina,TRUE,FALSE,FALSE
INUMET-279,VALENTIN (P.BAZZINI),Pueblo Biassini,TRUE,FALSE,TRUE
INUMET-213,PUEBLO CENTENARIO,Pueblo Centenario,TRUE,FALSE,FALSE
INUMET-140,LAS FLORES (GRECCO),Pueblo Grecco,TRUE,FALSE,FALSE
INUMET-215,PUEBLO JOSE E. RODO,Pueblo José E. Rodó,TRUE,FALSE,FALSE
INUMET-219,PUNTADELESTE,Punta del Este,TRUE,FALSE,FALSE
INUMET-224,QUINTANA,Quintana,TRUE,FALSE,FALSE
INUMET-227,REBOLEDO,Reboledo,TRUE,FALSE,FALSE
INUMET-228,RIACHUELO,Riachuelo,TRUE,FALSE,FALSE
INUMET-230,RINCON DE UTURBEY,,TRUE,TRUE,FALSE
INUMET-232,RINCONDEPEREIRA,Rincón de Pereira,TRUE,FALSE,FALSE
INUMET-231,RINCON DEL PINO (R.P,Rafael Perazza,TRUE,FALSE,FALSE
INUMET-235,RIVERA,Rivera - Aeropuerto Internacional Óscar D. Gestido,TRUE,FALSE,TRUE
INUMET-236,ROCHA,Rocha,TRUE,FALSE,TRUE
INUMET-238,ROSSELL Y RIUS,Rossell y Rius,TRUE,FALSE,FALSE
INUMET-239,SALTO,Salto - Aeropuerto Internacional de Nueva Hespérides,TRUE,FALSE,TRUE
INUMET-240,SAN ANTONIO,San Antonio,TRUE,FALSE,FALSE
INUMET-612,San Bautista,San Bautista,TRUE,FALSE,FALSE
INUMET-243,SAN GABRIEL,San Gabriel,TRUE,FALSE,FALSE
