N_OFICIAL,NOMBRE_ESTACION,NOMBRE_GRAFANA,FEWS,GRAFANA
INUMET-1416,Sauce (TP),Sauce,TRUE,FALSE
INUMET-1523,Tarumanes (TP),Tarumanes,TRUE,FALSE
INUMET-1405,Toledo (TP),Toledo,TRUE,FALSE
INUMET-1419,Trinidad (TP),Estación Trinidad,TRUE,FALSE
INUMET-1389,Valizas (TP),Valizas,TRUE,FALSE
INUMET-1393,Valle Edén (TP),Valle Edén,TRUE,FALSE
INUMET-1385,Velázquez (TP),Velázquez,TRUE,FALSE
INUMET-1538,Vichadero (TP),,TRUE,TRUE
INUMET-1438,Zapican (TP),Zapicán,TRUE,FALSE
INUMET-XXXX,Castillos,Castillos,FALSE,FALSE
INUMET-XXXX,Cañada Nieto,Cañada Nieto,FALSE,FALSE
INUMET-XXXX,Colonia Valdense,Colonia Valdense,FALSE,FALSE
INUMET-XXXX,Cufré,Cufré,FALSE,FALSE
INUMET-XXXX,Los Indios,Los Indios,FALSE,FALSE
INUMET-XXXX,Pintos,Pintos,FALSE,FALSE
INUMET-XXXX,Ramón Trigo,Ramón Trigo,FALSE,FALSE
