codigo,BelowNormal,NormalRange,AboveNormal
10,32.6,47.8,19.6
11,30.4,52.2,17.4
12,24.4,57.8,17.8
13,22.2,57.8,20.0
14,26.1,52.2,21.7
15,21.7,52.2,26.1
16,28.3,45.7,26.1
17,33.3,46.7,20.0
18,47.8,28.3,23.9
19,35.6,46.7,17.8
20,55.6,28.9,15.6
21,45.5,38.6,15.9
22,61.4,29.5,9.1
23,33.3,44.4,22.2
24,33.3,44.4,22.2
26,32.6,39.5,27.9
27,31.8,45.5,22.7
28,28.3,47.8,23.9
29,28.9,48.9,22.2
30,26.7,53.3,20.0
31,28.9,46.7,24.4
32,35.6,42.2,22.2
33,37.8,35.6,26.7
40,28.9,48.9,22.2
41,22.2,48.9,28.9
42,32.6,43.5,23.9
43,37.8,42.2,20.0
44,28.9,48.9,22.2
45,40.0,35.6,24.4
50,20.0,57.8,22.2
51,23.9,52.2,23.9
52,8.9,71.1,20.0
53,17.8,62.2,20.0
54,28.9,46.7,24.4
55,33.3,40.0,26.7
56,34.8,39.1,26.1
57,39.1,41.3,19.6
58,41.3,28.3,30.4
60,30.4,50.0,19.6
61,34.8,47.8,17.4
62,41.3,34.8,23.9
63,38.6,45.5,15.9
64,37.8,44.4,17.8
65,37.0,39.1,23.9
66,37.8,46.7,15.6
67,34.1,47.7,18.2
68,36.4,45.5,18.2
