codigo,LowFlow,BelowNormal,NormalRange,AboveNormal,HighFlow
10,16.3,16.3,39.5,11.6,16.3
11,16.7,23.8,38.1,11.9,9.5
12,14.0,16.3,39.5,18.6,11.6
13,14.3,9.5,47.6,19.0,9.5
14,17.1,14.6,41.5,17.1,9.8
15,14.3,11.9,50.0,11.9,11.9
16,14.3,16.7,45.2,16.7,7.1
17,20.9,9.3,44.2,11.6,14.0
18,23.3,14.0,34.9,18.6,9.3
19,16.7,16.7,42.9,16.7,7.1
20,28.6,7.1,50.0,7.1,7.1
21,11.9,21.4,50.0,7.1,9.5
22,14.0,18.6,48.8,7.0,11.6
23,14.3,14.3,52.4,9.5,9.5
24,14.0,23.3,41.9,11.6,9.3
26,20.9,14.0,46.5,11.6,7.0
27,14.0,18.6,48.8,9.3,9.3
28,14.3,16.7,47.6,11.9,9.5
29,11.9,19.0,42.9,16.7,9.5
30,9.5,23.8,42.9,14.3,9.5
31,7.0,23.3,39.5,16.3,14.0
32,9.3,18.6,41.9,18.6,11.6
33,9.5,7.1,54.8,16.7,11.9
40,14.0,14.0,41.9,14.0,16.3
41,11.6,14.0,39.5,20.9,14.0
42,9.8,19.5,43.9,14.6,12.2
43,16.7,9.5,42.9,21.4,9.5
44,11.9,11.9,47.6,16.7,11.9
45,7.1,19.0,45.2,16.7,11.9
50,11.6,11.6,48.8,14.0,14.0
51,16.7,14.3,45.2,14.3,9.5
52,9.3,14.0,48.8,16.3,11.6
53,14.0,14.0,44.2,16.3,11.6
54,19.0,9.5,42.9,16.7,11.9
55,16.7,11.9,45.2,14.3,11.9
56,16.3,14.0,41.9,18.6,9.3
57,16.7,16.7,42.9,19.0,4.8
58,19.0,26.2,28.6,14.3,11.9
60,11.9,21.4,45.2,16.7,4.8
61,14.3,16.7,45.2,19.0,4.8
62,16.7,9.5,52.4,14.3,7.1
63,9.3,27.9,44.2,11.6,7.0
64,0.0,34.9,46.5,11.6,7.0
65,21.4,11.9,47.6,11.9,7.1
66,0.0,34.9,46.5,11.6,7.0
67,11.6,23.3,46.5,11.6,7.0
68,14.0,20.9,44.2,14.0,7.0
