codigo,discharge,runoff,precip,precip_val,hydroSOS_category
10,-0.7977596299627341,-0.8247759786681536,-0.2585159843382083,108.879,Normal range
11,-0.42976614879083763,-0.7320146755290183,-0.0821313264746566,127.8175,Normal range
12,0.8726040239921318,0.8220478312382912,0.8559045032649313,264.5075,Above normal
13,1.7200844899300323,1.627899774613165,1.0679958883985097,286.86500000000007,High flow
14,2.783326109213213,2.184166702469309,1.1672669549161168,290.685,High flow
15,2.287554229378397,2.200657138319082,1.2078422903759605,298.69,High flow
16,1.3196397514009786,1.164821408815434,0.9817132815406718,272.21799999999996,Above normal
17,0.43957267455594357,0.5279560400647851,0.8416307748685058,251.087,Above normal
18,0.5481753144916254,0.5894187078887232,1.049515945888615,287.44,Above normal
19,-0.359336745792799,-0.36278506289670537,0.755114403793605,229.3175,Above normal
20,-0.727798175346071,-0.7739129095906853,0.5953857127949151,189.91,Normal range
21,-0.32774741243746897,-0.2755204894764709,0.6216621864508419,196.37375,Normal range
22,-0.32284954332024723,-0.3977222327338664,0.7316286334674387,209.78428571428572,Above normal
23,-0.21776111634375372,-0.2905135613340522,0.552631904372151,185.40299999999996,Above normal
24,-0.7742961927700805,-0.7637797463241223,0.2514660470769368,140.2171111111111,Normal range
26,-0.9530117875449566,-0.9456184315718524,-0.23340372509986984,76.30799999999999,Below normal
27,-0.9751653743220536,-0.970699301089775,-0.19099711350178178,85.19783333333334,Low flow
28,-0.9555225864525595,-0.9662556128212186,-0.1662722753739093,93.72479999999999,Below normal
29,-0.9206790126157963,-0.9210930940570943,-0.15457963585562487,92.68283333333333,Below normal
30,-0.8819736467294145,-0.8958000910857381,-0.1451634657212114,96.60175,Normal range
31,-0.934392333594916,-0.9277714091135769,-0.21641515126374986,89.22420000000001,Below normal
32,-0.9466335356579244,-0.938232968822453,-0.2879736714264558,82.372,Low flow
33,-0.9305353718715176,-0.9248161718247371,-0.4332387599053201,70.2478,Below normal
40,-0.8452957968926685,-0.8920218768322764,-0.21330260197110432,112.27000000000001,Normal range
41,-0.8671433198180087,-0.8297021198203175,-0.13949704280477135,122.269,Normal range
42,-0.959440570781699,-0.9592813924106988,-0.23479616876478845,106.20219999999999,Below normal
43,-0.6647449088483617,-0.6704045253918571,0.03825295548260924,130.94111111111113,Normal range
44,-0.8727695467812983,-0.8470884279337686,-0.10519148683238394,111.301,Below normal
45,-0.949600507405506,-0.9468241973781076,-0.3718537820299328,80.72137500000001,Below normal
50,-0.8539557849394002,-0.8614644556723103,0.041148388826880364,136.23444444444442,Normal range
51,-0.4533535708093524,-0.3561434738926603,0.4654272269124033,204.70299999999997,Normal range
52,-0.6956094836482084,-0.701198715840268,0.415933913721547,184.0025,Normal range
53,-0.7683407244317033,-0.7813919670246103,0.21787611971917165,156.82999999999998,Normal range
54,-0.7559280222728578,-0.7802335245509325,0.1570065109077151,151.17111111111112,Normal range
55,-0.6900895259565951,-0.6504078056082625,0.24016009322032422,168.923,Normal range
56,-0.6524433478699012,-0.6573936453143757,0.2036824511366649,156.52100000000002,Normal range
57,-0.5700707264528331,0.09235074704445334,0.5040512772614766,206.12,Normal range
58,0.42098898587488287,0.5333336078801801,0.9605333082282814,273.22200000000004,Above normal
60,-0.961508068129639,-0.9575998333733774,-0.14434879641561874,100.8736,Below normal
61,-0.9860251754651853,-0.986095743510998,-0.08436305550756647,110.87185714285715,Low flow
62,-0.9804087802666007,-0.974898097737211,-0.0751766757644943,103.6185,Low flow
63,-0.9510209791270398,-0.9517520003500951,-0.13685600045557364,92.458,Below normal
64,-0.9433444513305328,-0.9430777853790024,-0.12408894640129484,94.358,Below normal
65,-0.8005206600941666,-0.7853716464125046,0.2262424264638212,137.78666666666663,Normal range
66,-0.9367127175247966,-0.9368342077479929,-0.12517598500932725,93.8745,Below normal
67,-0.9486264811708924,-0.9477402661800236,-0.15292576857224685,88.95433333333331,Below normal
68,-0.9463255361430176,-0.9394544276975614,-0.1634372429263072,87.21866666666666,Below normal
