codigo,LowFlow,BelowNormal,NormalRange,AboveNormal,HighFlow
10,0.0,6.8,59.1,22.7,11.4
11,0.0,9.1,59.1,18.2,13.6
12,2.3,9.3,55.8,23.3,9.3
13,2.3,2.3,61.4,25.0,9.1
14,0.0,2.3,60.5,30.2,7.0
15,0.0,9.1,54.5,27.3,9.1
16,0.0,4.5,63.6,20.5,11.4
17,0.0,14.3,64.3,14.3,7.1
18,0.0,17.1,61.0,12.2,9.8
19,0.0,2.3,59.1,29.5,9.1
20,0.0,0.0,69.8,20.9,9.3
21,0.0,0.0,65.9,34.1,0.0
22,0.0,0.0,69.0,26.2,4.8
23,0.0,9.5,69.0,14.3,7.1
24,7.3,9.8,56.1,24.4,2.4
26,11.9,11.9,38.1,19.0,19.0
27,18.6,4.7,48.8,16.3,11.6
28,19.0,2.4,50.0,23.8,4.8
29,16.7,0.0,52.4,23.8,7.1
30,20.5,0.0,47.7,18.2,13.6
31,20.5,0.0,43.2,6.8,29.5
32,20.5,0.0,36.4,13.6,29.5
33,14.3,4.8,45.2,16.7,19.0
40,2.3,4.5,52.3,22.7,18.2
41,0.0,13.6,50.0,18.2,18.2
42,4.5,9.1,45.5,27.3,13.6
43,11.4,18.2,29.5,31.8,9.1
44,6.8,9.1,45.5,22.7,15.9
45,9.1,9.1,43.2,20.5,18.2
50,0.0,11.4,50.0,20.5,18.2
51,2.3,2.3,65.9,15.9,13.6
52,0.0,9.1,61.4,11.4,18.2
53,0.0,4.5,61.4,20.5,13.6
54,0.0,15.9,54.5,9.1,20.5
55,0.0,13.6,54.5,15.9,15.9
56,14.3,9.5,50.0,16.7,9.5
57,0.0,9.1,61.4,22.7,6.8
58,4.7,4.7,67.4,4.7,18.6
60,17.1,2.4,48.8,29.3,2.4
61,16.3,9.3,41.9,23.3,9.3
62,17.1,7.3,46.3,24.4,4.9
63,16.7,7.1,45.2,16.7,14.3
64,16.7,7.1,42.9,19.0,14.3
65,2.4,16.7,50.0,26.2,4.8
66,19.0,4.8,42.9,21.4,11.9
67,11.9,11.9,40.5,21.4,14.3
68,15.0,10.0,45.0,10.0,20.0
