codigo,LowFlow,BelowNormal,NormalRange,AboveNormal,HighFlow
10,0.0,46.7,35.6,8.9,8.9
11,0.0,40.0,42.2,11.1,6.7
12,28.9,6.7,46.7,13.3,4.4
13,0.0,35.6,46.7,8.9,8.9
14,0.0,0.0,80.0,11.1,8.9
15,0.0,37.8,51.1,2.2,8.9
16,0.0,38.6,45.5,11.4,4.5
17,13.3,26.7,42.2,11.1,6.7
18,0.0,45.5,40.9,9.1,4.5
19,0.0,0.0,91.1,6.7,2.2
20,0.0,0.0,91.1,8.9,0.0
21,0.0,0.0,93.3,6.7,0.0
22,0.0,0.0,95.6,2.2,2.2
23,0.0,48.9,40.0,8.9,2.2
24,0.0,68.9,20.0,6.7,4.4
26,77.8,2.2,6.7,6.7,6.7
27,51.1,15.6,20.0,6.7,6.7
28,37.8,22.2,28.9,2.2,8.9
29,35.6,24.4,22.2,6.7,11.1
30,33.3,20.0,28.9,6.7,11.1
31,46.7,8.9,26.7,8.9,8.9
32,64.4,6.7,17.8,4.4,6.7
33,77.8,0.0,8.9,8.9,4.4
40,38.6,15.9,31.8,6.8,6.8
41,0.0,54.5,36.4,4.5,4.5
42,43.2,15.9,36.4,0.0,4.5
43,30.2,11.6,37.2,11.6,9.3
44,31.1,15.6,37.8,2.2,13.3
45,60.0,6.7,20.0,6.7,6.7
50,0.0,51.1,33.3,11.1,4.4
51,0.0,37.8,44.4,8.9,8.9
52,0.0,0.0,84.4,6.7,8.9
53,0.0,53.3,35.6,2.2,8.9
54,0.0,46.7,42.2,2.2,8.9
55,0.0,42.2,44.4,6.7,6.7
56,0.0,51.1,35.6,6.7,6.7
57,0.0,46.7,35.6,13.3,4.4
58,0.0,40.0,40.0,11.1,8.9
60,40.0,17.8,31.1,2.2,8.9
61,53.3,8.9,28.9,0.0,8.9
62,62.2,4.4,20.0,6.7,6.7
63,77.8,2.2,8.9,4.4,6.7
64,77.8,2.2,11.1,2.2,6.7
65,0.0,64.4,20.0,8.9,6.7
66,80.0,6.7,2.2,4.4,6.7
67,77.8,2.2,11.1,0.0,8.9
68,80.0,0.0,11.1,0.0,8.9
