codigo,BelowNormal,NormalRange,AboveNormal
10,31.1,46.7,22.2
11,33.3,46.7,20.0
12,26.1,43.5,30.4
13,0.0,71.1,28.9
14,0.0,75.6,24.4
15,35.6,42.2,22.2
16,0.0,75.6,24.4
17,37.8,42.2,20.0
18,56.5,19.6,23.9
19,57.8,24.4,17.8
20,60.9,30.4,8.7
21,56.5,28.3,15.2
22,67.4,15.2,17.4
23,62.2,17.8,20.0
24,67.4,23.9,8.7
26,73.9,10.9,15.2
27,50.0,34.8,15.2
28,60.0,20.0,20.0
29,51.1,24.4,24.4
30,46.7,26.7,26.7
31,41.3,30.4,28.3
32,54.3,26.1,19.6
33,66.7,11.1,22.2
40,34.8,37.0,28.3
41,32.6,39.1,28.3
42,52.3,25.0,22.7
43,33.3,44.4,22.2
44,40.0,40.0,20.0
45,46.7,33.3,20.0
50,21.7,52.2,26.1
51,0.0,74.4,25.6
52,0.0,70.5,29.5
53,0.0,75.0,25.0
54,35.6,44.4,20.0
55,37.8,42.2,20.0
56,51.1,26.7,22.2
57,53.3,24.4,22.2
58,53.3,24.4,22.2
60,57.8,20.0,22.2
61,62.2,15.6,22.2
62,68.9,15.6,15.6
63,76.1,13.0,10.9
64,78.3,13.0,8.7
65,64.4,17.8,17.8
66,87.0,6.5,6.5
67,80.4,10.9,8.7
68,84.8,8.7,6.5
