codigo,discharge,runoff,precip,precip_val,hydroSOS_category
101,-0.8420130451023758,-0.8430717222932139,-0.2847012152359818,109.34,Below normal
102,-0.8817289698242704,-0.8826533332855192,-0.14395929843211608,130.13,Normal range
103,-0.776677638011586,-0.7784179771969999,-0.01434865877563238,148.94,Normal range
105,-0.3689151320058665,-0.3729335898057541,0.16748944561131346,166.57,Normal range
106,-0.7699746898252069,-0.7715373811746373,0.17917307235645893,169.33,Normal range
107,-0.7801411939242311,-0.7818652137750407,0.04598274507279834,156.01,Normal range
108,-0.7306801761280423,-0.732550258821378,0.03349937520327279,150.94,Normal range
109,-0.2612155880632771,-0.266942257204837,0.4852119920462305,203.86,Normal range
110,-0.2105980993803695,-0.21559002953449555,0.44060134156465347,212.81,Normal range
111,-0.10241457646041684,-0.10940399255930595,0.5842792032245789,216.44,Normal range
112,-0.14064597447939492,-0.14691899691430774,0.5442755356735501,216.4,Normal range
114,-0.11627934170349648,-0.12299761467628502,0.5559137761135438,215.21,Normal range
115,-0.18951722840554677,-0.19560062223854263,0.5237388589265077,212.48,Normal range
116,-0.22208095513197795,-0.22813960107824496,0.5178329143569687,210.5,Normal range
117,-0.15238544790519798,-0.15911300928910493,0.5319886362946844,210.4,Normal range
119,-0.2538211547470731,-0.26002553839511916,0.36917836533221515,185.92,Normal range
120,-0.8403589746370431,-0.8412895419626644,-0.1723955935403783,121.18,Normal range
123,-0.8436308531701137,-0.8445629542395613,-0.16820464695966506,119.66,Normal range
125,-0.7499521565240604,-0.7514890451397314,-0.10234851890558369,127.42,Normal range
128,-0.7993368710020884,-0.8008631374509854,0.044667856262059276,144.02,Normal range
130,-0.8523140462931081,-0.8533259500635534,-0.3032911771072462,99.991,Below normal
131,-0.8540409090931449,-0.8550339017629227,-0.24250684169783135,111.16,Normal range
132,-0.8636505850877261,-0.8645453079131312,-0.21825815247828387,111.32,Normal range
133,-0.8535304546359987,-0.8545137715365324,-0.22665735647615926,108.67,Normal range
134,-0.6713881863454654,-0.6734115851610236,-0.19440758873750308,114.03,Normal range
135,-0.9049747505310165,-0.905710503425721,-0.22363301821924206,105.22,Normal range
136,-0.9559203238942612,-0.9563323625549487,-0.19165923741573793,108.92,Below normal
137,-0.9494526474707233,-0.9498934079749645,-0.16857642756275618,112.07,Below normal
138,-0.6788342618726052,-0.6818986361043469,0.1220667642073202,149.93,Normal range
139,-0.5949672858063141,-0.5992999634883255,0.25374874937858305,167.71,Normal range
140,-0.6130949479639038,-0.6171489444820484,0.4153845693215824,189.09,Normal range
142,-0.11817916566943527,-0.12717610753878902,0.3375651666471565,178.63,Normal range
146,-0.7064912875363658,-0.7096880210358875,0.22854937532908892,164.26,Normal range
148,-0.6340610843690171,-0.637917026270087,0.23418982907610628,167.48,Normal range
150,-0.8722430805701594,-0.8734215054933143,-0.11294608143274884,119.34,Below normal
155,-0.5891706354424305,-0.5929975338642336,0.09802904806733635,148.79,Normal range
158,-0.6785501766643238,-0.6816016260784752,0.08083236092041185,146.81,Normal range
160,-0.801464023691826,-0.8034054169527008,0.08219922049709309,149.05,Normal range
163,-0.7307418245658183,-0.7334030190769529,0.10920084646910846,151.83,Normal range
165,-0.7529627328024692,-0.7554859144861514,0.09652614546848208,150.36,Normal range
167,-0.8414171046763469,-0.8430994813438547,0.04122766422450605,142.72,Normal range
168,-0.9544908424313122,-0.9549883776857996,-0.06941972386844955,128.46,Normal range
170,-0.9544344697392193,-0.9550405996913232,-0.3935548645294438,78.282,Normal range
171,-0.9292870718994473,-0.9300364269485072,-0.3918620316325329,79.538,Below normal
172,-0.9751038984205065,-0.97538078805409,-0.38335800095881395,83.817,Below normal
173,-0.9773166139141799,-0.9775548111010913,-0.38764019840028596,84.508,Below normal
174,-0.9625560435369236,-0.9629534591500524,-0.34691110569384626,86.801,Low flow
175,-0.9726904353431043,-0.9729808986118955,-0.2774404877247147,99.809,Below normal
176,-0.9790611729723797,-0.9792824748006194,-0.3680786365548562,88.175,Below normal
177,-0.9778360629015467,-0.9780752200174192,-0.3559917325853291,90.153,Below normal
178,-0.9748869660486229,-0.975157202577126,-0.26472201212992896,102.79,Below normal
179,-0.9705230241738829,-0.9708441355463255,-0.21233979442454082,109.67,Normal range
180,-0.9740915182252461,-0.9743809067218959,-0.32692360422799877,94.097,Normal range
183,-0.9746549206610104,-0.9749485019790136,-0.3443650471236281,91.562,Normal range
186,-0.9791817962121765,-0.9793917822222639,-0.4023665720110245,84.401,Below normal
189,-0.9873559280090257,-0.9875568029792179,-0.5831597102613018,58.487,Below normal
190,-0.982527579415783,-0.9828670943723913,-0.7144768254015181,38.631,Normal range
193,-0.9745605119446371,-0.9750059511264692,-0.7659899678689779,30.977,Below normal
196,-0.9695767192863592,-0.9701231218350068,-0.72941512682359,34.938,Normal range
199,-0.9618924743050469,-0.9625436310127767,-0.7180793955177206,35.475,Normal range
201,-0.9318864116503612,-0.9327820768073704,-0.6433574363626662,42.772,Normal range
204,-0.9377863000834908,-0.9386687075368858,-0.6576530830485111,41.351,Normal range
208,-0.9130138775023797,-0.913972356938925,-0.6092069100509493,45.487,Normal range
210,-0.9648636864904537,-0.965312514885852,-0.570878676235705,53.734,Below normal
