lead,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
1,0.29048000692113396,-31.148162146541754,1.0837294486090128,0.5919953533971302,0.1870871209546222,0.393157738798142,0.36556604456175523,0.17791605114135978,0.05281068304517689,0.12028152900539013,486,486
2,0.18292431336074388,-32.215774519599066,1.1607416072562458,0.49656981096824543,0.0693583595538364,0.22746349230665874,0.12965668221325966,-0.006783166668019591,-0.029391439603171365,-0.03914179754359015,486,486
3,0.0937477075890426,-35.40519964202287,1.2215900859671192,0.4159764783547519,0.019004829351720542,0.09019985042203083,0.027553652682986263,-0.035789627654537526,-0.04197823364396025,-0.058996859500967114,486,486
4,0.07989289298489777,-36.07071562390175,1.2305465048427944,0.4025844788038925,0.0021934727196808446,0.032354794093965134,-0.04601472968292031,-0.05373602216432238,-0.050633566417000564,-0.053764746165791744,486,486
5,0.07247145896476759,-35.384580642165616,1.2353741122218604,0.38928631421437854,-0.002218885320636854,-0.03488912392478505,-0.05266884791688686,-0.04617468608209352,-0.048318969335956696,-0.053890651468134765,486,486
6,0.0851762669390127,-33.810749462478675,1.2278549166636705,0.39734962736417967,-0.002140830800404059,-0.04934137136340255,-0.04313138519357862,-0.05656675541053513,-0.053596407181071504,-0.05165876982531192,486,486
