lead,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
1,0.11084678214462662,-48.37884281220557,1.3573546409426105,0.4894912024254867,0.23864894466162934,0.5524396106686994,0.4600118195270291,0.23735896015454405,0.11453215752273227,-0.010427618670710626,486,486
2,-0.05792986293896152,-51.43773601155665,1.4742249153407208,0.267620235051681,0.08314508556480715,0.2717860342020162,0.14702624306956735,0.011924629264372877,-0.016208363206407173,-0.035209325187854246,486,486
3,-0.13864112708359633,-52.79894198868896,1.5314918746480224,0.0749313424780955,0.026061139244458298,0.11511059681336,-0.011033930183807383,-0.008323126435662243,-0.04309154996270537,-0.05270444399458629,486,486
4,-0.15041222703732182,-53.05052104345708,1.5430690275290324,0.024814981561402605,0.009550685038332563,0.013242787141218515,-0.04609748861446694,-0.04167362007343023,-0.04539271454494309,-0.04980536398572277,486,486
5,-0.15898563979294944,-52.01392476792055,1.5540175697521275,-0.02975178508716897,0.0038194492747153364,-0.03578473759112333,-0.05278719459589376,-0.040340209630333135,-0.04581302781680918,-0.05207829902098027,486,486
6,-0.1560755647327421,-51.99489263954704,1.55581658738848,-0.031979245363013956,0.0023077770177368784,-0.04167477855864732,-0.060750395257139767,-0.049598227692956964,-0.04635375121388274,-0.04393386448558245,486,486
