lead,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
1,0.12453960087228289,-1.0311819445098007,1.1363950863584094,0.35441350397703236,0.16560188728492642,0.058737610341867565,0.10603336011788089,0.22389649468965658,0.13182365588137407,0.0895350065373067,366,366
2,0.007486994911499734,-0.4386542808593095,1.2148051220059664,0.1375003110946977,0.04305808285402368,0.0778022845558566,0.13714439903344602,0.2603161479055711,0.1470390910003198,0.09268255185264601,366,366
3,-0.030609824649841633,-0.28027980752376613,1.2414193138420073,0.016589860318884448,0.012378190191974392,0.09246998650665246,0.14565097279888414,0.26612263352024756,0.14552068871663032,0.09475876941247986,366,366
4,-0.03467093995021964,-0.215205321434877,1.2494172606190128,-0.013073126212769723,0.005803895171137885,0.09474862954804868,0.14584817132291839,0.26691370177608265,0.1454032554415588,0.09453907475632199,366,366
5,-0.036336422816649394,-0.2722280444552212,1.2538080405172831,-0.02171962798793633,0.0036942883383116465,0.09372710949970653,0.14533817476664596,0.2667723645557411,0.14669959144540537,0.09470492597429693,366,366
6,-0.03770474882055974,-0.11956272163617938,1.2563943890542082,-0.022424675433158785,0.0017915688720374634,0.0946992080870563,0.1470768276121973,0.26746018235151,0.14670374629907582,0.09482044245762301,366,366
