lead,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
1,0.3164013102302865,0.35040207706035176,1.0425191979193846,0.5641688778260255,0.222955120411652,0.04276274305532995,0.07006178855801672,0.16886308620075993,0.10636183180314873,0.08684352770540175,366,366
2,0.18709261155556056,0.6665052386661975,1.1329434682905875,0.4368999932385484,0.0781758477374419,0.0649228734982424,0.10668979811959481,0.21608826844036685,0.1343872475231513,0.09225398465267085,366,366
3,0.1362540253127158,-0.03946978065552555,1.1650315928385484,0.37557269230165247,0.02228529386872058,0.07601330419521099,0.12347521563004692,0.22944481625150617,0.1446069169108681,0.09517609576594782,366,366
4,0.12003184056600413,-0.12932757468200304,1.1766884492962493,0.35318500128867425,0.01019806921556965,0.07990478851397742,0.13579958372048193,0.24803926643549648,0.1459615544278611,0.09580201310060377,366,366
5,0.11908113741100246,-0.5317753192320678,1.1790685157442145,0.3506346188750046,0.006972871825547511,0.08212354174021588,0.14171626861652398,0.2551310457452638,0.14660872252147275,0.09498895408146689,366,366
6,0.1174341790018022,-0.46974344099610826,1.1821710281352138,0.3488563762328471,0.0037960868143939175,0.08565721771361037,0.14737328779238293,0.26313846672543384,0.1459878841434756,0.09498634421248014,366,366
