lead,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
1,0.1250056103279774,-2.406200042821758,1.3925102850276567,0.3549367051940385,0.16241731208774046,0.047001119752917965,0.10118968874334267,0.21704349492862388,0.13454094101118527,0.08970283952301845,366,366
2,0.023997244776439053,-0.2069116996427693,1.4721216454938517,0.17121589396548773,0.05552323913580659,0.07268849715585646,0.136161651603066,0.25098214820734854,0.14386755149527808,0.09414883978147852,366,366
3,-0.008799196441138246,0.4119211254692275,1.5036638392286108,0.0927933660420989,0.014456978410955945,0.08750749931233742,0.14347294147034892,0.2612405757739182,0.14432154596654315,0.09427553574509773,366,366
4,-0.02471861755023652,0.3638180177690561,1.5095955999490185,0.03655070899004957,0.0035910783820249925,0.09507431809501947,0.14657812965886882,0.26825331900973703,0.14632644515629253,0.09475051385179842,366,366
5,-0.027508882735195694,0.267246109231425,1.5167116886367342,0.02900840606296063,0.0006050596849883627,0.09551749767349854,0.1460879038528597,0.2666018856032696,0.14516502457897362,0.09479892457514726,366,366
6,-0.027865113215612247,0.09089630285601759,1.5190066474668655,0.02894025181647587,0.0004539796250863093,0.09504892331172521,0.14663424003719513,0.2676539804653291,0.14570592443869768,0.09461102844721098,366,366
