lead,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
1,0.2288644160070027,-2.9504893161711667,1.0386071393090268,0.48115500755612195,0.18898076724387214,0.04941442553643096,0.1031281932992426,0.21448434692270096,0.13491157850507574,0.08770265831219809,366,366
2,0.09147972435881169,0.09314785412843482,1.1281979976945102,0.30385497636284,0.07040600347110992,0.07310047381936818,0.12823966322221717,0.25018151765145,0.14294740121302957,0.09202336681040801,366,366
3,0.04326858837419545,0.6033708149388226,1.1600100989257967,0.22369526176400323,0.01911453532879248,0.08731479496103968,0.14205340737708527,0.2663382202498399,0.14370825924265426,0.09252633874005776,366,366
4,0.025181073522362984,0.37148609725714954,1.1750932655217035,0.18965316736789778,0.004518016329936092,0.09236987655283596,0.1446420472635361,0.269564902712892,0.14635063788374642,0.09340230173839655,366,366
5,0.02011408295830841,0.08885620010738526,1.182075749736785,0.17920041770829484,0.0016492823866232076,0.09493134203578446,0.1451190901628515,0.26898978938393375,0.14632325411316074,0.09518164399365546,366,366
6,0.020189410041031364,0.04786235072591467,1.1839701602948738,0.17955738777498628,0.0007636696487662853,0.09557417839663801,0.14615383643521496,0.26819948279110867,0.14619810313422524,0.09469746456462114,366,366
