1,181.45625
2,316.4775
3,424.18875
4,490.9755
5,525.576125
6,550.1285
7,579.49875
8,623.77825
9,702.510375
10,790.005875
11,909.368375
12,1067.370875
1,148.87125
2,270.91875
3,366.86875
4,426.483625
5,471.566125
6,500.992
7,537.027875
8,589.13525
9,666.502375
10,770.587375
11,889.038625
12,1047.328625
1,153.695
2,263.8725
3,363.385
4,427.154625
5,471.668875
6,509.111625
7,550.576375
8,601.238625
9,673.54975
10,787.671
11,913.44725
12,1077.55725
1,160.98125
2,287.28875
3,392.81375
4,458.046375
5,501.770125
6,527.416
7,560.37425
8,607.072375
9,678.72125
10,782.60375
11,900.7975
12,1051.82375
1,145.24625
2,259.36375
3,356.335625
4,419.828125
5,466.439
6,499.30225
7,537.1465
8,591.769375
9,669.590875
10,790.119625
11,940.875875
12,1113.929625
1,194.105
2,331.55
3,448.785
4,515.06075
5,562.0795
6,593.296625
7,630.98375
8,683.55925
9,757.586375
10,867.356375
11,1021.590125
12,1210.021375
1,189.9725
2,329.075
3,440.055
4,501.744875
5,549.882125
6,585.726375
7,620.953625
8,673.339125
9,760.19625
10,876.41625
11,1012.345
12,1187.925
1,167.425
2,313.44625
3,434.19125
4,501.09975
5,541.473
6,576.093875
7,615.24
8,668.508
9,748.75675
10,872.50925
11,1011.07675
12,1172.36175
1,155.195
2,288.96125
3,417.92625
4,486.0505
5,523.251625
6,549.141625
7,597.521375
8,661.54025
9,736.61725
10,872.6835
11,1035.7685
12,1232.49225
1,201.7775
2,372.49375
3,495.94625
4,568.548625
5,613.03275
6,636.1795
7,671.806625
8,734.51325
9,809.650125
10,935.618875
11,1079.333875
12,1258.802625
