Fecha,caudal,precip
2/15/2019,341.651,88.270625
3/15/2019,147.199,64.398625
4/15/2019,280.814,189.325875
5/15/2019,575.822,145.93575
6/15/2019,237.637,40.63775
7/15/2019,481.692,110.803
8/15/2019,284.67,61.64025
9/15/2019,126.275,25.633375
10/15/2019,631.144,244.447875
11/15/2019,647.499,206.972375
12/15/2019,233.364,108.739625









