Codigo,101,102,103,105,106,107,108,109,110,111,112,114,115,116,117,119,120,123,125,128,130,131,132,133,134,135,136,137,138,139,140,142,146,148,150,155,158,160,163,165,167,168,170,171,172,173,174,175,176,177,178,179,180,183,186,189,190,193,196,199,201,204,208,210,211,212,213,214,215,216,217,220,221,222,223,224,225,226,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,260,262,264,266,268,270,274,275,276,277,279,280,281,282,283,284,285,286,287,288,289,290,293,294,295,297,298,300,301,305,306,310,312,315,316,318,320,325,330,333,334,335,338,406,407,410,411,412,413,414,415,416,417,418,419,420,422,424,426,428,430,431,432,433,434,435,436,437,438,440,441,442,443,444,445,446,447,448,449,450,452,453,454,455,457,458,459,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,522,524,526,530,532,534,536,538,540,541,542,543,544,545,546,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,575,580,581,582,583,584,585,586,587,588,589,600,601,602,603,604,605,606,607,608,609,610,611,612,613,615,616,618,620,625,630,635,640,645,650,651,652,653,654,655,656,657,658,660,661,662,666,670,673,677,680,683,687
Area,840,1010,813,177,416,1475,2420,1078,59,457,80,242,212,56,299,1181,423,474,865,393,222,972,481,1253,555,3690,748,794,736,261,10,237,1068,318,1706,752,962,84,144,260,868,359,1677,1983,347,256,1620,643,280,453,791,511,57,579,2461,643,13,3118,278,233,9,506,1007,76,182,99,96,104,197,221,598,7,201,153,183,16,47,318,74,23,151,93,282,384,59,627,108,51,17,53,389,515,356,105,183,112,120,55,68,165,243,846,20,644,66,21,14,33,191,76,163,122,377,155,27,32,62,132,30,78,34,712,14,39,7,866,488,131,25,711,556,39,1214,103,1375,124,615,1934,101,95,1872,97,251,256,322,700,909,59,302,791,237,856,20,242,157,565,238,187,186,70,217,704,829,1475,1432,205,235,456,611,1079,1601,3085,1206,1081,123,2634,260,607,232,1011,925,76,6,370,344,1106,680,1945,973,1198,1303,1232,2638,132,120,379,579,353,429,664,3565,113,469,745,755,1132,862,47,376,416,2816,2320,291,541,1909,662,899,1700,1073,1144,630,12,785,121,259,1939,692,416,201,580,486,1765,1039,480,1570,1147,1418,1589,2533,1677,511,16,3305,479,72,2754,1093,413,272,866,174,818,1768,424,268,836,406,42,182,1088,368,1064,690,229,257,466,538,397,137,696,80,88,580,319,406,59,86,344,253,305,282,501,668,586,281,351,99,68,89,113,43,42,79,2,24,74
