estacion,ancho_ventana,pentada_fin,parametro,valor
44,6,44,alpha,1.728065845412035
44,6,44,beta,1097.8217507937982
44,6,44,prob.0,0
44,6,44,prob.media.0,0
44,6,45,alpha,NA
44,6,45,beta,NA
44,6,45,prob.0,NA
44,6,45,prob.media.0,NA
44,6,46,alpha,2.459761093870406
44,6,46,beta,655.936671004617
44,6,46,prob.0,0
44,6,46,prob.media.0,0
44,6,47,alpha,2.4061059826917255
44,6,47,beta,650.7028009195835
44,6,47,prob.0,0
44,6,47,prob.media.0,0
44,6,48,alpha,2.090736339565718
44,6,48,beta,825.9136798816837
44,6,48,prob.0,0
44,6,48,prob.media.0,0
44,6,49,alpha,NA
44,6,49,beta,NA
44,6,49,prob.0,NA
44,6,49,prob.media.0,NA
44,6,50,alpha,NA
44,6,50,beta,NA
44,6,50,prob.0,NA
44,6,50,prob.media.0,NA
44,6,51,alpha,NA
44,6,51,beta,NA
44,6,51,prob.0,NA
44,6,51,prob.media.0,NA
44,6,52,alpha,NA
44,6,52,beta,NA
44,6,52,prob.0,NA
44,6,52,prob.media.0,NA
44,6,53,alpha,NA
44,6,53,beta,NA
44,6,53,prob.0,NA
44,6,53,prob.media.0,NA
44,6,54,alpha,NA
44,6,54,beta,NA
44,6,54,prob.0,NA
44,6,54,prob.media.0,NA
44,6,55,alpha,NA
44,6,55,beta,NA
44,6,55,prob.0,NA
44,6,55,prob.media.0,NA
44,6,56,alpha,NA
44,6,56,beta,NA
44,6,56,prob.0,NA
44,6,56,prob.media.0,NA
44,6,57,alpha,1.4295950138141533
44,6,57,beta,905.66203700882
44,6,57,prob.0,0
44,6,57,prob.media.0,0
44,6,58,alpha,NA
44,6,58,beta,NA
44,6,58,prob.0,NA
44,6,58,prob.media.0,NA
44,6,59,alpha,NA
44,6,59,beta,NA
44,6,59,prob.0,NA
44,6,59,prob.media.0,NA
44,6,60,alpha,NA
44,6,60,beta,NA
44,6,60,prob.0,NA
44,6,60,prob.media.0,NA
44,6,61,alpha,0.9547007694583408
44,6,61,beta,1436.9265355430439
44,6,61,prob.0,0
44,6,61,prob.media.0,0
44,6,62,alpha,0.9666495576429979
44,6,62,beta,1336.3153666556218
44,6,62,prob.0,0
44,6,62,prob.media.0,0
44,6,63,alpha,0.9515738082974413
44,6,63,beta,1155.3453459036764
44,6,63,prob.0,0
44,6,63,prob.media.0,0
44,6,64,alpha,0.9947366769320638
44,6,64,beta,942.5593261375723
44,6,64,prob.0,0
44,6,64,prob.media.0,0
44,6,65,alpha,1.001697232264019
44,6,65,beta,870.133012823961
44,6,65,prob.0,0
44,6,65,prob.media.0,0
44,6,66,alpha,1.2072152450447207
44,6,66,beta,588.2477749718545
44,6,66,prob.0,0
44,6,66,prob.media.0,0
44,6,67,alpha,1.0608395378960145
44,6,67,beta,702.0573756080021
44,6,67,prob.0,0
44,6,67,prob.media.0,0
44,6,68,alpha,0.9903214569186387
44,6,68,beta,694.6718752264592
44,6,68,prob.0,0
44,6,68,prob.media.0,0
44,6,69,alpha,0.8830444430536413
44,6,69,beta,727.8446111250594
44,6,69,prob.0,0
44,6,69,prob.media.0,0
44,6,70,alpha,0.8630301704163071
44,6,70,beta,691.5030801708972
44,6,70,prob.0,0
44,6,70,prob.media.0,0
44,6,71,alpha,0.7473647845938844
44,6,71,beta,869.3889430146842
44,6,71,prob.0,0
44,6,71,prob.media.0,0
44,6,72,alpha,0.6951566334498395
44,6,72,beta,925.995121797014
44,6,72,prob.0,0
44,6,72,prob.media.0,0
44,12,1,alpha,1.042696530380031
44,12,1,beta,1280.0104839168912
44,12,1,prob.0,0
44,12,1,prob.media.0,0
44,12,2,alpha,0.9272636686384425
44,12,2,beta,1422.4777577112973
44,12,2,prob.0,0
44,12,2,prob.media.0,0
44,12,3,alpha,0.9175997160091356
44,12,3,beta,1411.4329548890544
44,12,3,prob.0,0
44,12,3,prob.media.0,0
44,12,4,alpha,0.9426047585741985
44,12,4,beta,1283.917938265387
44,12,4,prob.0,0
44,12,4,prob.media.0,0
44,12,5,alpha,0.8846310868543756
44,12,5,beta,1340.9096995156717
44,12,5,prob.0,0
44,12,5,prob.media.0,0
44,12,6,alpha,0.8691349484041122
44,12,6,beta,1339.0913673451553
44,12,6,prob.0,0
44,12,6,prob.media.0,0
44,12,7,alpha,NA
44,12,7,beta,NA
44,12,7,prob.0,NA
44,12,7,prob.media.0,NA
44,12,8,alpha,NA
44,12,8,beta,NA
44,12,8,prob.0,NA
44,12,8,prob.media.0,NA
44,12,9,alpha,NA
44,12,9,beta,NA
44,12,9,prob.0,NA
44,12,9,prob.media.0,NA
44,12,10,alpha,0.687652999674895
44,12,10,beta,2155.093548106068
44,12,10,prob.0,0
44,12,10,prob.media.0,0
44,12,11,alpha,0.6562489656255259
44,12,11,beta,2253.191325500312
44,12,11,prob.0,0
44,12,11,prob.media.0,0
44,12,12,alpha,0.6396736207104843
44,12,12,beta,2148.8261751605874
44,12,12,prob.0,0
44,12,12,prob.media.0,0
44,12,13,alpha,0.7006023874815335
44,12,13,beta,1989.7171307095296
44,12,13,prob.0,0
44,12,13,prob.media.0,0
44,12,14,alpha,0.77139688300226
44,12,14,beta,1813.4870336802078
44,12,14,prob.0,0
44,12,14,prob.media.0,0
44,12,15,alpha,0.8011170051443838
44,12,15,beta,1727.781587633016
44,12,15,prob.0,0
44,12,15,prob.media.0,0
44,12,16,alpha,0.7785763502387695
44,12,16,beta,1745.1300650915891
44,12,16,prob.0,0
44,12,16,prob.media.0,0
44,12,17,alpha,0.8198164009089737
44,12,17,beta,1705.2021240072222
44,12,17,prob.0,0
44,12,17,prob.media.0,0
44,12,18,alpha,0.8272191552664725
44,12,18,beta,1834.6414160502864
44,12,18,prob.0,0
44,12,18,prob.media.0,0
44,12,19,alpha,0.834523968953613
44,12,19,beta,1770.0983764552166
44,12,19,prob.0,0
44,12,19,prob.media.0,0
44,12,20,alpha,1.0751255849291272
44,12,20,beta,1221.9248631272353
44,12,20,prob.0,0
44,12,20,prob.media.0,0
44,12,21,alpha,1.21280788284318
44,12,21,beta,1054.6273058939405
44,12,21,prob.0,0
44,12,21,prob.media.0,0
44,12,22,alpha,1.1108232510110567
44,12,22,beta,1285.8443041949185
44,12,22,prob.0,0
44,12,22,prob.media.0,0
44,12,23,alpha,1.109546167553012
44,12,23,beta,1319.9538696044642
44,12,23,prob.0,0
44,12,23,prob.media.0,0
44,12,24,alpha,1.1197223234787135
44,12,24,beta,1343.5883898857815
44,12,24,prob.0,0
44,12,24,prob.media.0,0
44,12,25,alpha,1.0788026127343564
44,12,25,beta,1450.1967461810248
44,12,25,prob.0,0
44,12,25,prob.media.0,0
