lead,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
1,0.2987109497053895,-6.01631349832939,0.9502742033153101,0.5507016565790662,0.1796025287807883,0.05852798440380366,0.10555257190354285,0.22421231551618923,0.13723410437857025,0.09079715255448634,366,366
2,0.1754013219366667,-2.8300987931227293,1.0333589769135012,0.4199398909814528,0.06602538130576519,0.07278116895787727,0.13109418325585256,0.26118220921891167,0.13922634045335788,0.09353376513337613,366,366
3,0.1334984944212816,-1.9176085179751838,1.0598202809910071,0.37042948796833075,0.01999374679250221,0.08668382584465287,0.1433950047263224,0.26866015940609034,0.14789678244934149,0.09360221717803113,366,366
4,0.11532101301715691,-1.2720030907580422,1.0743928716849767,0.34885935257508516,0.004708344648123974,0.08913345928840621,0.1451784412355724,0.273407825732062,0.1489160829732965,0.09471705105449338,366,366
5,0.1081724475234278,-0.9726748278762534,1.0833479848826986,0.33910151460285665,-0.0028596709191273106,0.0898464778680094,0.14687915568745719,0.2727346552946273,0.14846802398077763,0.09447081850008045,366,366
6,0.10704138253010176,-0.8806806223720092,1.087238064666715,0.33592586084911125,-0.004834460352032055,0.09344992289066927,0.1497178735574474,0.27546191738706804,0.1482819531305389,0.09582561759991885,366,366
