lead,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
1,0.16756075964828365,-8.656972996823852,1.1628514277641984,0.41509913140069893,0.16827596051204174,0.05993906246293578,0.1135595269721474,0.2422270819397822,0.14176042346897014,0.08866705026227013,366,366
2,0.09349323292081602,-7.162161738438908,1.2137877290572838,0.3110360358779013,0.07612348985338402,0.08270323396968925,0.13966208662189844,0.27118595871540374,0.14470068024894114,0.08922545929230198,366,366
3,0.05038373701232113,-5.5362517684418435,1.2472924116047746,0.2325694798430342,0.036745695959771285,0.09287097243591487,0.14453850413975786,0.27549064459924694,0.14351502027355423,0.09173673266683577,366,366
4,0.030828878647133018,-2.8486936358084165,1.2616697450154222,0.19314963483840175,0.019083098917309083,0.09580889569148467,0.14502616035038804,0.2762595754943257,0.144581886136178,0.09435424417111789,366,366
5,0.0008956263691255462,-2.2957660860019384,1.2850409214220229,0.12969052556475386,0.0032264259203670376,0.09735370301920694,0.148005677892508,0.27433027141923577,0.1480575802711277,0.09400972700855553,366,366
6,-0.013969135833103552,-0.9627373041013577,1.2963155401798074,0.09846915869289065,-0.007521458363488831,0.0970752975124712,0.14651327919847643,0.27406296693746657,0.1468138470423499,0.09469842441149318,366,366
