lead,NS,Pbias,CV,Pearson,CRPSSad,Brier_Q10,Brier_Q10_Q25,Brier_Q25_Q75,Brier_Q75_Q90,Brier_Q90,N_det,N_prob
1,0.14908953914705558,-10.000720432269013,1.3732123756972805,0.3928872495591973,0.16652737974715603,0.048635397371071004,0.10569249718056269,0.21555975780236783,0.13433073442822,0.08922460122097275,366,366
2,0.07586051449361197,-8.646397136671967,1.4324746327835527,0.2814756853221231,0.07045994686363766,0.07222546459228439,0.13663365965246724,0.25032487522726576,0.14667805896755423,0.093838530514585,366,366
3,0.05138507468968467,-7.5728892849325975,1.4581203416331656,0.23344537658708003,0.03281987244894191,0.08571334115290437,0.14612524370969462,0.26877025885256767,0.1479311169914548,0.0940099801975795,366,366
4,0.035024391619011386,-5.920911146835099,1.4649286606906042,0.19922784034809424,0.015212044085926357,0.09302688565805939,0.15198601131023806,0.27288174509944035,0.15256083537626297,0.09544538150643384,366,366
5,0.0106823621064015,-7.150368791381924,1.488257627848618,0.13987344518338343,0.004780450225727151,0.09493687419137357,0.1508335702068735,0.2738341351088236,0.14874029844202494,0.0951505978816972,366,366
6,-0.0025666156960484354,-4.61315679854506,1.5001967869432786,0.1028377878050973,-0.004024663135121509,0.09449436084107776,0.14915889092714257,0.2766298292326861,0.14911169112366332,0.09608402700563037,366,366
