fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,perc_50,ens_1985,ens_1986,ens_1987,ens_1988,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020,ens_2021,ens_2022,ens_2023,ens_2024,ens_2025
1985-03-15,4,1985-07-15,389.657,353.321,300.1435,,308.263,164.073,64.269,13.676,70.949,834.127,347.399,257.161,454.227,292.024,36.357,111.816,990.696,955.199,699.323,341.772,552.847,266.831,168.705,424.633,160.213,122.801,36.451,10.812,523.23,577.602,56.439,155.051,950.222,10.515,604.982,141.43,631.364,398.263,155.957,600.892,318.561,449.918,157.287,716.524
1985-03-15,5,1985-08-15,314.539,360.358,280.928,,460.119,306.157,83.504,115.839,26.62,303.311,262.253,140.78,327.387,123.607,13.509,87.243,356.571,283.338,422.063,474.395,372.192,802.747,84.305,290.683,160.988,99.941,89.515,51.555,442.139,816.977,1141.585,97.136,239.741,1162.757,291.745,1469.837,819.114,534.786,86.756,278.518,263.31,189.608,155.185,686.499
1985-03-15,6,1985-09-15,169.659,299.594,223.7235,,380.876,172.198,203.684,57.714,9.891,154.338,157.226,63.915,146.542,48.369,32.131,58.792,333.536,117.565,664.128,757.575,718.434,471.025,39.904,503.487,87.813,243.763,41.2,50.388,314.169,277.794,562.591,277.687,548.55,375.324,171.471,1143.411,772.807,487.737,112.662,432.411,168.873,370.413,193.525,259.825
1985-04-15,1,1985-05-15,374.2,535.426,380.1685,,1114.352,149.351,135.969,137.063,165.462,839.5,375.19,921.611,277.328,298.62,135.969,474.666,407.344,137.146,1559.495,430.972,443.505,1547.417,174.572,1766.851,135.981,721.829,165.089,197.818,313.251,584.337,191.46,988.569,385.147,301.949,146.995,1131.078,1133.179,419.437,181.843,227.537,229.648,386.185,1414.176,669.138
1985-04-15,2,1985-06-15,596.788,421.288,298.089,,504.551,61.587,50.523,51.569,80.662,1300.746,568.522,409.151,163.284,207.773,50.523,409.254,748.339,955.643,813.567,837.079,221.661,518.46,161.83,1294.311,683.413,305.033,74.849,122.28,316.925,462.739,181.171,246.568,235.958,159.39,139.55,277.786,278.717,1829.133,419.477,608.691,115.224,291.145,321.3,373.128
1985-04-15,3,1985-07-15,389.657,368.628,286.6945,,284.534,231.652,113.328,19.162,35.139,829.782,330.081,235.424,574.031,313.85,18.773,178.69,975.618,1009.601,675.244,342.138,501.433,248.352,120.195,408.537,238.228,136.686,142.631,111.992,648.882,586.093,89.702,182.491,932.641,68.539,468.094,156.25,623.994,425.84,158.465,583.662,288.855,566.219,136.189,754.102
1985-04-15,4,1985-08-15,314.539,385.019,263.9635,,450.519,363.871,131.988,162.029,13.057,301.704,255.622,132.406,364.125,131.526,6.976,119.062,351.239,299.591,413.172,474.516,354.52,795.421,63.478,284.67,200.871,106.704,211.464,194.942,482.867,820.095,1224.579,109.074,233.946,1570.634,253.339,1478.398,816.405,545.312,87.738,272.305,249.311,227.208,146.497,699.572
1985-04-15,5,1985-09-15,169.659,309.068,251.522,,377.298,201.486,254.96,76.966,4.852,153.738,154.709,60.751,160.841,51.319,18.193,72.978,331.54,123.668,660.816,757.619,711.425,468.382,32.125,501.238,104.521,248.084,102.595,182.53,329.2,278.929,575.356,284.376,546.273,423.896,155.813,1145.908,771.806,491.646,112.91,430.043,162.847,386.658,189.784,264.625
1985-04-15,6,1985-10-15,260.863,381.111,213.21699999999998,,590.527,131.296,129.634,29.646,711.196,157.986,111.732,472.363,287.746,110.09,12.055,174.125,141.921,45.952,495.707,1698.488,861.627,200.943,29.231,332.596,437.297,1182.253,42.663,179.178,149.494,297.715,1946.808,228.835,796.429,316.286,120.746,554.453,278.221,886.479,61.955,166.901,139.859,223.55,202.884,307.58
1985-05-15,1,1985-06-15,596.788,408.874,256.4645,,343.221,148.173,153.18,152.354,198.022,1125.835,531.552,260.263,188.707,207.857,153.986,372.316,683.039,1207.059,559.509,731.439,188.076,306.32,264.533,1023.078,1135.812,219.505,163.018,204.485,296.996,356.591,267.557,148.19,192.636,177.315,311.523,156.79,152.482,1731.344,571.796,646.559,157.472,252.666,162.943,250.773
