fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020
1990-01-15,1,1990-02-15,385.585,41.463,,8.628,183.265,47.387,8.628,15.451,8.628,19.974,8.628,15.795,8.628,12.595,53.801,157.099,8.628,8.628,9.798,24.063,10.764,8.628,478.803,8.628,8.628,14.999,60.357,8.628,8.628,10.312,8.628,8.628,8.628
1990-01-15,2,1990-03-15,420.921,89.026,,3.206,97.331,24.715,3.794,57.284,18.471,11.202,3.206,14.381,3.206,90.233,1636.429,60.202,3.206,3.206,32.169,286.144,5.041,68.591,140.615,4.267,11.833,8.600,39.317,3.206,26.532,4.766,3.206,3.206,3.206
1990-01-15,3,1990-04-15,365.696,124.997,,1.191,254.648,60.718,1.756,29.620,380.305,4.163,235.445,8.469,242.340,50.994,1086.293,22.470,42.469,437.516,13.420,128.299,1.873,19.680,53.613,2.161,6.849,3.195,20.333,1.191,629.713,1.771,6.692,1.191,1.532
1990-01-15,4,1990-05-15,281.102,211.934,,45.065,329.284,435.920,8.460,11.403,125.407,1.547,343.258,3.405,1376.001,174.141,561.911,514.482,314.466,1460.483,4.987,262.985,0.696,7.980,19.921,0.803,2.545,40.919,8.264,0.443,247.163,26.833,10.233,18.244,0.769
1990-01-15,5,1990-06-15,152.079,325.051,,222.715,615.464,392.330,14.420,137.937,73.279,83.373,694.772,506.798,947.902,397.757,652.723,867.344,435.359,1635.052,68.280,263.239,0.259,6.313,10.400,46.787,5.895,46.232,59.299,0.164,155.008,20.458,47.423,571.740,772.819
1990-01-15,6,1990-07-15,63.906,430.340,,1114.000,637.811,564.757,642.325,1607.681,57.554,62.440,1107.815,447.659,534.019,583.414,443.790,289.536,286.171,581.097,160.816,116.647,4.077,28.599,129.533,347.755,51.716,224.400,667.451,0.061,975.867,83.372,441.490,470.031,248.323
1990-02-15,1,1990-03-15,420.921,283.957,,122.626,157.767,120.754,225.991,341.657,426.730,148.613,186.805,226.560,139.227,531.212,2043.327,123.056,121.482,129.820,228.817,873.588,120.614,452.003,122.539,135.194,184.166,123.565,160.013,120.831,423.735,144.041,130.800,132.574,120.614
1990-02-15,2,1990-04-15,365.696,262.629,,46.620,355.144,184.642,104.129,159.646,838.263,69.139,704.127,151.634,710.449,219.504,1148.299,47.078,108.082,843.076,96.217,241.573,44.817,151.987,46.491,54.242,80.756,49.751,79.718,45.027,1040.481,72.966,86.409,53.432,45.158
1990-02-15,3,1990-05-15,281.102,300.846,,116.550,373.807,598.734,66.885,82.987,217.605,27.134,614.540,73.416,1570.494,329.240,579.923,703.992,590.875,1592.533,35.752,376.112,16.653,58.401,17.275,23.185,30.007,198.208,41.068,16.731,393.762,156.175,66.412,39.938,16.980
1990-02-15,4,1990-06-15,152.079,412.183,,315.597,634.475,433.735,63.791,269.808,122.800,417.820,785.130,941.794,988.698,461.012,659.350,917.684,533.250,1663.903,79.712,331.291,6.188,27.406,8.246,81.453,90.534,156.562,226.995,6.217,216.409,110.707,127.164,729.903,957.865
