fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020
1990-01-15,1,1990-02-15,580.920,133.757,,5.075,6.464,8.859,5.075,5.497,5.121,5.075,6.268,75.198,9.565,14.232,7.446,307.784,5.075,5.075,5.075,25.056,5.410,27.395,2225.089,41.971,341.089,6.021,599.727,5.075,51.868,169.163,5.075,27.685,5.185
1990-01-15,2,1990-03-15,698.627,198.411,,1.886,3.131,17.344,13.956,106.809,2.917,1.886,5.849,91.341,5.939,184.746,1119.730,310.589,1.886,3.821,19.101,2701.466,2.207,59.415,440.646,26.873,213.195,34.751,406.308,1.886,31.918,112.116,1.886,26.728,1.993
1990-01-15,3,1990-04-15,912.252,235.115,,79.679,60.243,486.535,9.375,69.626,298.844,0.701,61.167,47.971,414.348,121.986,1768.241,477.686,339.103,242.185,10.336,449.162,0.820,35.959,186.457,31.676,110.513,24.731,420.847,0.701,1165.928,65.980,50.487,13.199,8.975
1990-01-15,4,1990-05-15,322.634,283.673,,376.907,83.353,555.752,18.988,60.750,107.336,6.211,111.175,17.825,1592.935,133.849,851.283,947.034,132.379,770.461,3.841,982.618,0.305,13.361,155.031,125.530,55.839,200.038,382.664,0.260,218.279,258.892,326.730,14.493,6.065
1990-01-15,5,1990-06-15,145.326,284.584,,1236.529,191.251,441.134,10.492,81.632,40.020,26.449,160.747,85.656,667.814,602.163,306.319,529.515,90.914,1090.111,575.825,284.094,0.113,4.965,249.751,187.748,100.340,73.824,255.875,0.097,85.306,102.267,127.856,889.640,39.068
1990-01-15,6,1990-07-15,56.288,289.307,,852.674,266.260,246.356,224.727,130.776,14.870,15.153,713.337,551.211,739.614,276.579,525.435,287.835,81.216,424.856,236.409,115.439,0.042,24.400,494.523,515.231,57.653,68.569,790.345,0.036,196.404,107.154,447.006,251.438,23.646
1990-02-15,1,1990-03-15,698.627,473.859,,159.047,200.255,324.131,380.802,659.911,204.100,159.319,276.266,367.408,167.164,811.551,2022.640,435.155,158.494,292.993,364.747,3652.142,164.217,491.542,270.753,159.007,354.633,456.393,419.971,158.619,182.452,309.777,163.208,280.457,168.614
1990-02-15,2,1990-04-15,912.252,402.809,,157.646,297.700,982.542,187.344,307.966,678.197,59.667,337.600,158.165,712.491,329.626,1942.450,569.812,453.585,756.381,156.002,548.677,63.868,185.346,122.160,98.847,166.120,234.886,439.014,59.015,1533.503,170.843,147.933,127.788,99.104
1990-02-15,3,1990-05-15,322.634,370.014,,500.569,275.074,700.828,181.357,204.598,196.400,28.121,324.793,58.770,1722.507,269.446,892.989,977.511,166.168,980.120,57.967,1033.021,23.732,68.870,103.108,201.777,95.582,426.778,389.170,21.929,259.979,378.250,420.968,90.468,49.571
1990-02-15,4,1990-06-15,145.326,349.475,,1287.450,319.841,489.572,91.147,180.365,74.684,34.591,267.256,184.936,696.199,712.781,321.012,538.570,109.667,1162.363,829.752,298.998,8.818,25.591,211.407,237.915,150.347,152.888,257.858,8.148,101.269,141.863,156.496,1288.573,143.904
