fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,perc_50,ens_1985,ens_1986,ens_1987,ens_1988,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020,ens_2021,ens_2022,ens_2023,ens_2024,ens_2025
1985-01-15,1,1985-02-15,9.039,53.575,9.039,,9.039,11.833,9.039,9.039,262.698,9.039,9.039,167.665,9.039,9.068,9.209,9.039,9.039,23.415,9.039,9.053,9.039,135.038,9.039,9.039,9.042,12.244,9.039,134.028,631.657,9.039,34.446,9.039,385.92,9.039,12.616,9.039,9.039,14.329,9.039,9.039,9.521,9.039,9.039,72.337
1985-01-15,2,1985-03-15,4.549,176.479,5.9145,,3.359,7.232,1347.459,7.776,224.397,3.359,3.359,79.703,3.359,10.808,3.523,3.359,3.359,484.674,3.359,170.61,100.248,113.386,3.359,3.359,5.426,2155.117,3.359,179.086,164.736,3.359,26.329,3.468,301.843,3.359,6.403,3.359,22.17,7.978,3.359,5.379,3.816,3.359,1272.973,304.23
1985-01-15,3,1985-04-15,54.635,117.446,13.887999999999998,,144.081,3.416,194.467,5.34,632.963,16.374,4.318,59.185,1.248,66.194,21.908,1.248,1.248,138.487,6.518,75.281,107.045,51.827,316.669,10.949,3.032,729.343,1.248,87.753,66.534,1.248,11.402,1.354,166.946,1.248,917.544,1.248,67.784,3.356,1.248,6.489,1.418,1.248,636.762,131.873
1985-01-15,4,1985-05-15,216.054,136.627,27.8385,,181.465,1.269,72.259,1.984,190.755,57.681,51.864,128.315,2.744,41.18,13.734,0.464,0.464,51.459,1416.776,27.973,594.78,24.608,136.327,27.704,1.126,539.031,0.464,32.607,25.763,0.464,4.237,0.503,185.96,0.464,173.471,0.464,439.189,1.247,0.464,118.98,0.527,0.464,222.116,693.721
1985-01-15,5,1985-06-15,1030.842,118.327,53.8765,,495.472,0.472,26.85,0.737,76.261,317.093,354.185,291.207,2.116,268.93,5.521,2.663,0.172,19.121,523.635,83.796,169.812,26.412,100.442,146.685,498.394,236.839,0.172,12.116,43.294,0.462,1.574,0.187,158.845,0.172,64.459,0.172,142.418,190.957,1.221,185.469,0.196,0.172,89.191,195.188
1985-01-15,6,1985-07-15,330.08,146.48,80.66550000000001,,220.925,7.351,9.977,0.274,28.337,701.923,270.506,149.019,29.888,198.61,2.294,4.192,15.219,76.866,546.26,94.441,386.978,21.665,84.465,174.615,191.401,103.844,0.064,109.006,373.564,17.438,0.585,0.069,696.324,0.064,226.286,2.565,475.751,225.804,1.069,233.431,0.073,0.064,33.633,144.371
1985-02-15,1,1985-03-15,4.549,138.166,3.359,,3.359,3.881,1347.459,7.776,4.353,3.359,3.359,3.359,3.359,10.779,3.359,3.359,3.359,308.519,3.359,170.597,100.248,6.809,3.359,3.359,5.421,2079.711,3.359,10.264,3.359,3.359,3.696,3.468,4.812,3.359,3.359,3.359,22.17,3.359,3.359,5.379,3.359,3.359,1272.973,87.773
1985-02-15,2,1985-04-15,54.635,93.833,5.9145,,144.081,1.742,194.467,5.34,209.225,16.374,4.318,22.968,1.248,66.183,21.847,1.248,1.248,110.117,6.518,75.276,107.045,4.02,316.669,10.949,3.027,723.513,1.248,7.227,1.248,1.248,1.571,1.354,3.719,1.248,916.413,1.248,67.784,1.248,1.248,6.489,1.248,1.248,636.762,53.328
1985-02-15,3,1985-05-15,216.054,122.899,11.144,,181.465,0.647,72.259,1.984,91.623,57.681,51.864,81.96,2.744,41.176,13.712,0.464,0.464,40.917,1416.776,27.971,594.78,1.569,136.327,27.704,1.125,537.349,0.464,2.686,0.464,0.464,0.584,0.503,8.576,0.464,173.051,0.464,439.189,0.464,0.464,117.559,0.464,0.464,222.116,564.965
1985-02-15,4,1985-06-15,1030.842,110.24,24.3595,,495.472,0.24,26.85,0.737,35.069,317.093,354.185,251.581,2.116,268.929,5.513,2.663,0.172,15.204,523.635,83.796,169.812,7.671,100.442,146.685,498.394,236.266,0.172,0.998,0.176,0.462,0.217,0.187,21.869,0.172,64.303,0.172,142.418,190.666,1.221,184.134,0.172,0.172,89.191,170.355
