fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,perc_50,ens_1985,ens_1986,ens_1987,ens_1988,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020,ens_2021,ens_2022,ens_2023,ens_2024,ens_2025
1985-01-15,1,1985-02-15,15.076,96.471,15.076,,15.076,15.076,15.076,15.076,449.6,15.076,133.354,15.076,58.905,179.861,15.076,269.358,36.531,15.116,15.258,15.076,15.076,263.403,15.076,15.076,15.076,39.786,15.076,19.843,417.616,15.076,534.97,48.367,649.804,15.076,15.076,200.823,15.076,15.076,15.076,46.561,29.679,15.076,15.076,133.399
1985-01-15,2,1985-03-15,355.729,160.031,41.637,,114.714,188.932,25.011,5.602,1563.444,5.602,197.705,5.602,52.082,161.149,209.788,113.783,372.162,9.337,39.143,543.992,727.469,93.609,5.602,15.669,5.602,663.791,5.602,9.708,129.66,5.602,157.731,28.999,323.58,5.602,31.756,313.044,5.602,5.602,5.602,44.131,21.756,13.181,108.535,65.749
1985-01-15,3,1985-04-15,297.993,549.667,153.39800000000002,,833.366,761.142,16.751,47.411,1203.281,1439.202,1762.305,5.009,41.662,84.273,1019.571,42.59,1668.058,201.992,460.718,1793.555,2559.329,198.63,146.717,322.259,2.082,228.696,2.082,3.607,48.179,2.082,58.609,10.775,579.195,2.082,3647.303,552.837,2.082,160.079,2.082,23.444,646.394,8.296,1374.423,24.547
1985-01-15,4,1985-05-15,1038.026,611.258,297.4755,,994.963,733.779,6.224,26.454,628.907,401.41,1726.726,2580.467,34.762,32.69,227.621,263.934,1633.657,160.689,2020.32,1764.772,911.357,1281.68,289.421,1633.444,0.773,448.468,23.861,1.34,19.871,0.773,21.778,336.244,254.601,4.339,755.484,1788.804,305.53,650.494,6.118,8.711,397.371,7.139,1818.067,247.283
1985-01-15,5,1985-06-15,662.107,529.01,333.41700000000003,,350.028,300.338,2.313,9.83,241.189,686.602,2127.928,883.315,355.396,213.018,97.369,719.885,1780.931,1327.601,1423.374,818.661,699.633,872.389,316.806,1700.399,103.354,294.934,129.994,0.498,15.302,0.287,10.974,251.604,148.074,301.264,910.319,578.967,185.044,481.805,931.702,173.719,415.332,43.46,540.583,716.17
1985-01-15,6,1985-07-15,863.487,565.49,481.72,,162.952,914.361,0.859,8.089,89.62,1489.701,1027.471,514.769,992.694,1428.418,43.766,396.565,917.726,615.418,950.434,796.569,1592.792,322.878,386.266,504.937,61.107,126.972,496.008,2.502,467.432,47.587,19.584,217.58,1282.506,302.788,803.197,274.998,857.419,1044.083,264.239,151.573,1175.088,943.78,223.764,701.105
1985-02-15,1,1985-03-15,355.729,90.556,6.265000000000001,,114.714,188.932,25.011,5.602,643.773,5.602,20.713,5.602,5.846,7.644,209.788,5.602,168.861,9.298,38.967,543.992,727.469,5.602,5.602,15.669,5.602,594.586,5.602,5.602,5.602,5.602,5.602,5.602,6.364,5.602,31.756,33.346,5.602,5.602,5.602,6.166,6.773,13.181,108.535,5.602
1985-02-15,2,1985-04-15,297.993,495.346,107.9165,,833.366,761.142,16.751,47.411,977.235,1439.202,1358.75,5.009,2.317,3.929,1019.571,2.082,1496.939,201.978,460.653,1793.555,2559.329,80.315,146.717,322.259,2.082,209.039,2.082,2.082,2.082,2.082,2.082,2.082,135.518,2.082,3647.303,208.933,2.082,160.079,2.082,2.618,516.234,8.296,1374.423,2.082
1985-02-15,3,1985-05-15,1038.026,581.957,292.60249999999996,,994.963,733.779,6.224,26.454,568.838,401.41,1662.379,2580.467,0.862,1.46,227.621,146.133,1600.188,160.684,2020.295,1764.772,911.357,1063.841,289.421,1633.444,0.773,432.455,23.861,0.773,2.742,0.773,0.773,295.784,97.529,4.339,755.484,1589.969,305.53,650.494,6.118,0.973,364.307,7.139,1818.067,125.786
1985-02-15,4,1985-06-15,662.107,506.256,309.03499999999997,,350.028,300.338,2.313,9.83,220.331,686.602,2109.983,883.315,150.19,28.656,97.369,631.001,1770.51,1327.599,1423.365,818.661,699.633,838.177,316.806,1700.399,103.354,289.65,129.994,0.287,8.938,0.287,3.157,241.376,73.348,301.264,910.319,536.691,185.044,481.805,931.702,64.208,401.68,43.46,540.583,637.986
