fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,perc_50,ens_1985,ens_1986,ens_1987,ens_1988,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020,ens_2021,ens_2022,ens_2023,ens_2024,ens_2025
1985-03-15,4,1985-07-15,289.257,262.63,233.5665,,324.477,0.136,0.136,0.136,31.322,874.505,344.792,325.459,305.75,227.135,31.174,0.136,144.605,99.099,741.095,290.575,402.15,243.441,198.331,580.028,339.083,97.293,0.136,239.998,721.337,354.443,0.136,106.043,579.892,0.136,833.045,281.96,687.473,502.232,158.961,284.212,0.136,0.136,77.521,76.537
1985-03-15,5,1985-08-15,244.089,305.898,239.179,,1289.125,0.051,0.051,81.202,12.378,550.668,526.539,266.171,174.875,106.776,26.477,36.729,64.072,248.079,575.374,675.083,301.579,325.11,214.938,409.431,205.845,230.279,1.037,174.473,504.119,338.845,580.167,69.313,202.14,325.185,532.343,1262.678,562.26,296.389,177.063,252.558,0.975,155.351,285.019,195.184
1985-03-15,6,1985-09-15,321.464,288.4,201.9195,,723.395,0.598,0.019,54.468,4.6,426.091,248.555,153.347,184.455,40.845,219.384,24.852,56.851,168.357,718.328,260.017,236.297,769.504,156.963,358.579,112.16,605.557,0.95,222.236,561.45,131.27,503.575,473.299,866.896,122.493,307.563,956.983,485.095,291.917,141.7,582.229,0.898,86.697,133.143,144.397
1985-04-15,1,1985-05-15,171.184,159.649,47.102999999999994,,163.463,12.055,12.055,12.055,12.914,91.227,435.051,138.334,309.815,16.789,12.055,44.921,13.47,12.055,1806.636,55.541,486.677,131.015,12.055,101.573,12.055,117.995,12.055,32.296,120.943,19.796,13.124,145.22,49.285,12.055,12.636,442.09,197.733,624.677,15.748,181.975,12.055,29.845,60.86,393.775
1985-04-15,2,1985-06-15,1315.487,269.891,139.438,,486.965,4.479,4.479,4.479,5.35,467.633,686.931,298.51,196.332,149.821,4.479,155.72,10.167,78.295,789.217,654.018,204.016,544.594,41.028,670.358,1013.99,116.901,41.341,240.301,286.438,310.853,39.978,71.434,109.126,4.479,5.037,129.055,108.08,1006.408,812.505,711.064,4.479,18.353,89.506,219.452
1985-04-15,3,1985-07-15,289.257,319.74,309.5765,,336.053,35.076,1.664,1.664,2.017,937.793,357.147,283.1,377.1,232.862,5.551,123.695,276.222,454.901,732.947,429.737,423.934,355.338,108.446,555.201,429.894,66.652,134.554,711.693,839.323,505.096,46.403,141.799,691.345,1.664,605.877,424.582,772.658,574.839,186.503,338.981,34.998,38.033,49.957,164.31
1985-04-15,4,1985-08-15,244.089,377.219,286.7285,,1293.493,44.533,0.664,292.659,0.75,569.736,531.438,250.379,207.464,108.64,5.619,280.798,109.092,413.361,572.375,764.563,308.439,402.335,162.05,400.556,238.753,214.125,175.888,296.868,539.081,394.155,1103.046,87.195,222.44,741.836,482.547,1397.699,578.864,322.891,195.497,275.813,98.444,495.286,267.11,242.29
1985-04-15,5,1985-09-15,321.464,315.779,219.02100000000002,,724.871,37.955,0.274,131.674,0.278,433.178,250.304,147.421,199.897,41.579,197.201,126.298,84.962,238.145,717.213,285.144,239.022,855.334,133.284,355.231,124.967,598.851,85.311,281.264,577.754,152.531,626.425,568.729,879.166,183.061,289.604,989.981,490.931,302.175,161.0,592.193,53.279,185.426,126.587,162.66
1985-04-15,6,1985-10-15,531.931,326.473,181.68,,614.995,53.031,0.102,57.24,59.172,452.439,181.683,819.568,288.002,16.554,124.997,91.434,46.03,106.166,500.229,1180.826,181.677,270.455,320.434,181.413,270.403,779.532,33.876,968.005,212.663,57.339,1380.513,170.572,985.254,93.813,230.322,490.206,189.499,1019.585,124.346,191.095,19.797,117.468,57.191,120.979
1985-05-15,1,1985-06-15,1315.487,337.959,198.3175,,531.571,84.612,84.612,84.767,97.335,505.721,623.894,286.544,137.949,371.471,180.919,300.527,109.48,301.791,513.545,694.637,105.013,543.236,203.45,726.08,1582.661,128.307,229.926,336.333,310.107,547.911,193.185,84.612,188.23,92.564,84.993,84.612,102.57,862.417,1115.769,653.429,84.612,84.612,119.972,144.383
1985-05-15,2,1985-07-15,289.257,366.832,333.8745,,345.752,267.19,37.228,120.038,44.387,951.074,338.078,277.886,338.9,324.549,158.265,184.209,378.203,605.535,655.238,450.631,354.298,370.769,206.446,580.012,492.191,68.088,247.389,797.216,850.326,581.061,120.583,146.423,729.579,41.311,995.301,337.382,736.24,540.891,265.438,330.367,136.281,84.928,58.72,124.872
1985-05-15,3,1985-08-15,244.089,421.755,298.27750000000003,,1297.847,175.462,59.985,645.351,17.686,574.567,524.101,248.312,194.246,141.948,98.276,313.912,141.655,463.894,544.68,772.609,285.757,411.112,217.745,410.021,261.859,212.022,227.649,317.847,542.825,420.276,1221.733,90.69,235.039,1257.552,553.989,1371.477,572.225,310.798,233.666,272.478,182.639,540.937,283.09,222.228
1985-05-15,4,1985-09-15,321.464,331.245,238.9475,,726.261,116.332,34.031,209.516,6.572,434.973,247.636,146.603,194.396,54.055,329.51,138.053,99.86,256.839,706.881,288.081,230.259,859.518,157.984,358.635,133.754,598.014,106.078,289.739,579.203,162.317,653.688,582.731,884.162,228.044,315.277,982.518,488.524,297.642,179.673,590.886,90.61,198.329,137.639,154.962
1985-05-15,5,1985-10-15,531.931,333.982,181.68200000000002,,615.511,101.117,24.679,90.25,89.812,453.106,180.685,819.171,285.708,21.546,168.144,96.759,52.266,113.275,496.398,1181.925,178.328,271.793,334.171,182.679,274.047,779.312,41.729,971.51,213.196,60.979,1390.245,173.024,987.066,116.669,240.662,487.505,188.619,1017.882,133.177,190.625,33.669,122.963,61.232,117.863
1985-05-15,6,1985-11-15,337.511,210.27,96.436,,832.746,56.598,15.338,33.535,329.666,309.289,85.022,1219.927,198.033,32.492,113.729,60.372,19.51,43.427,264.745,577.052,160.869,310.482,180.215,80.218,179.762,232.232,15.506,772.413,84.454,24.852,319.998,107.85,733.748,59.626,133.408,198.318,84.219,240.546,66.101,75.717,12.51,61.966,24.048,60.275
1985-06-15,1,1985-07-15,289.257,552.949,460.2885,,427.581,816.053,315.694,418.947,272.291,1028.373,404.45,413.582,607.942,439.013,339.428,312.408,615.756,741.824,723.879,492.393,595.892,450.182,375.895,619.966,470.395,245.288,399.651,919.671,999.483,673.063,293.625,526.394,936.895,297.37,1344.603,765.924,1041.277,579.195,280.516,385.282,528.81,438.848,242.607,337.517
1985-06-15,2,1985-08-15,244.089,498.76,363.62350000000004,,1331.757,328.03,217.288,785.914,116.005,600.65,550.601,299.518,283.576,183.01,172.392,375.798,221.083,510.148,569.808,788.913,367.861,442.95,286.705,425.824,254.374,303.74,288.201,359.386,587.964,450.604,1348.019,232.085,295.732,1519.198,642.032,1508.774,658.438,323.707,238.208,292.543,332.282,722.692,413.688,320.879
1985-06-15,3,1985-09-15,321.464,359.368,267.7395,,737.449,178.998,95.698,254.808,43.249,444.632,257.053,165.998,231.195,69.597,365.001,160.106,131.301,273.968,716.276,294.182,261.511,871.954,184.596,364.427,130.803,635.027,129.26,305.334,596.153,173.58,687.379,673.784,908.92,278.157,347.668,1026.832,520.262,302.528,181.43,598.297,146.465,256.244,182.163,192.451
1985-06-15,4,1985-10-15,531.931,345.449,191.76,,619.659,127.591,62.924,107.399,125.958,456.703,184.255,827.097,300.962,27.465,180.811,106.076,64.298,119.665,499.884,1184.185,190.134,276.246,345.143,184.833,272.694,793.042,50.393,977.396,219.442,65.17,1402.587,198.481,995.945,136.451,252.79,503.717,200.364,1019.768,133.839,193.386,54.423,145.913,78.068,132.805
1985-06-15,5,1985-11-15,337.511,215.352,103.50800000000001,,834.29,67.042,34.463,39.907,365.414,310.626,86.359,1222.787,203.826,35.43,118.831,64.216,23.985,45.802,266.04,577.893,165.419,312.176,184.333,81.018,179.267,237.072,18.725,774.583,86.781,26.414,324.39,118.411,737.019,67.239,137.932,204.334,88.605,241.229,66.342,76.744,20.222,70.866,32.054,65.996
1985-06-15,6,1985-12-15,142.567,136.311,72.723,,242.368,26.492,12.831,15.2,150.449,194.324,32.643,593.052,91.406,24.112,58.363,617.756,69.422,17.019,122.371,219.306,286.459,147.975,83.068,30.104,117.984,90.78,6.958,322.36,32.246,11.032,587.358,58.768,244.698,28.381,65.828,76.024,422.641,94.442,24.651,30.546,7.514,157.457,13.309,24.73
1985-07-15,1,1985-08-15,244.089,397.81,276.863,,1242.692,173.962,204.814,698.751,124.817,385.798,445.841,215.632,168.973,124.727,138.572,389.799,124.727,327.745,383.824,629.944,222.762,327.174,215.391,276.863,165.818,341.022,203.672,177.497,377.179,300.247,1342.457,147.388,141.424,1507.655,387.252,1295.68,425.029,194.912,232.584,213.493,205.119,613.182,420.17,
1985-07-15,2,1985-09-15,321.464,320.725,226.904,,714.429,109.346,93.295,230.23,46.568,368.659,224.524,126.036,175.245,46.346,327.566,163.186,75.993,208.826,647.051,255.059,196.164,823.358,151.87,295.469,88.472,648.396,96.995,210.005,519.381,123.813,687.142,617.777,797.915,275.816,260.94,975.465,441.05,239.196,178.881,554.397,97.824,226.904,188.694,
1985-07-15,3,1985-10-15,531.931,333.717,172.405,,611.283,94.723,66.859,97.89,125.666,426.601,170.249,799.99,275.445,17.684,166.993,110.237,39.583,94.534,475.882,1165.696,162.429,261.362,327.613,159.29,246.135,798.767,37.446,932.85,192.849,46.387,1402.38,182.882,962.487,135.588,217.775,485.526,172.405,988.902,132.45,179.96,36.349,133.746,80.084,
1985-07-15,4,1985-11-15,337.511,212.578,111.509,,831.137,53.522,36.762,36.374,366.983,299.335,80.968,1214.174,193.953,22.257,112.063,66.748,14.708,36.36,257.17,571.886,153.153,306.104,178.007,71.158,169.457,239.0,13.914,759.656,76.735,19.07,324.316,111.509,725.228,66.939,124.365,197.608,77.822,232.022,65.718,71.665,13.506,66.023,33.162,
1985-07-15,5,1985-12-15,142.567,136.402,73.524,,241.215,21.413,13.762,13.885,151.552,190.059,30.602,590.135,87.701,15.658,55.593,620.882,59.283,13.51,119.047,217.111,280.171,145.732,80.634,26.441,113.998,91.493,5.17,317.035,28.513,8.114,587.329,56.017,240.526,28.276,60.538,73.524,416.956,90.956,24.419,28.64,5.019,154.882,13.899,
1985-07-15,6,1986-01-15,52.975,76.54,54.93,,89.63,7.957,5.114,5.375,65.444,79.206,11.616,214.331,32.589,5.818,20.657,217.554,148.773,5.02,56.896,83.476,119.094,60.62,76.179,73.372,57.062,33.997,1.921,183.607,10.595,3.015,184.453,419.208,92.481,10.507,25.401,27.32,370.591,33.797,9.568,54.93,1.865,79.684,6.333,
