lead,mes,crpss,crpss_med,p5,p25,p75,p95,n
1,1,0.1711830222715114,0.18062812961523456,0.1142792089101659,0.14394778612666018,0.2267343984018654,0.32495186242552965,40
1,2,0.16550422588566738,0.16261825790740397,0.07254198372934886,0.12413925771036155,0.2132335039234867,0.30909449781746756,41
1,3,0.16137144387446134,0.16168784776944706,0.09392938903687471,0.1344092768826617,0.19315255661136932,0.24437695948127242,41
1,4,0.12867560056861072,0.13609187979150722,0.05894304455523008,0.09947117137370895,0.17580260631053435,0.22400580451925867,41
1,5,0.22739403953959947,0.22981312357290745,0.12071188352140384,0.188152845435578,0.2692537077567002,0.3356775524161011,41
1,6,0.21886744434428285,0.21901529467885056,0.13257041685291196,0.17831672625391573,0.2612264477115853,0.31359229534675415,41
1,7,0.26697368735937277,0.2662414504406704,0.1528177987064526,0.22456118282311607,0.3170082728469247,0.3863175023947611,41
1,8,0.14266159744163343,0.1421856969459191,0.04639490256082264,0.10211220172235108,0.1838919522038949,0.23925961511778734,40
1,9,0.14077109533944054,0.1396536520902652,0.03917502175965087,0.09253888308423142,0.1980701678122913,0.2707010345762728,40
1,10,0.12275923064495309,0.11430762010975182,0.0006378075584964303,0.07621240372562124,0.15822063499215827,0.22318068022810475,40
1,11,0.14453544473783353,0.15139714626184753,0.06063711264817974,0.11551784294708808,0.20708282256901225,0.2853284131120001,40
1,12,0.18193064194252961,0.1992635486388314,0.10581350398854548,0.14574200964445896,0.2512707586024744,0.3795262432647094,40
2,1,0.056398007382281956,0.05814035433144987,0.01861972998195619,0.03614522499483366,0.08693897638673506,0.15560249462205347,40
2,2,0.0628721270781718,0.06333761091193235,0.028042516493740545,0.04807814737190769,0.08402356187840102,0.11280649470633633,40
2,3,0.02921119904550562,0.0262884063392132,-0.005507662372851861,0.014021103608190755,0.039516726007104014,0.053392179079843706,41
2,4,0.013513501097254799,0.014673276137521007,-0.003790888819220306,0.006820129572885414,0.023144507539991865,0.03716526684377599,41
2,5,0.05358686657281764,0.0569874064415099,0.02205215432310219,0.04228914984754317,0.06975587144214945,0.08489703605131871,41
2,6,0.07057920667809237,0.07046333759543483,0.0064464609682903795,0.048178449478986474,0.09376007902887004,0.13173337753010034,41
2,7,0.2081092053333229,0.2105962827552903,0.12774415781616544,0.17573397564368595,0.24741453316964648,0.29108658336772225,41
2,8,0.1444422060159204,0.14390929276570047,0.08515898947226654,0.11806607428033566,0.17405978549809203,0.2174224809413159,41
2,9,0.02277364782314828,0.02340127760987526,-0.04151245580796624,-0.005149584882287617,0.05593947253750389,0.09863450866735707,40
2,10,0.06327906342181977,0.06140472686678983,0.018162359972258457,0.044935682679698635,0.08494632166179036,0.1178132058192563,40
2,11,0.03447806693757116,0.03454559143064273,-0.004059634719868952,0.018524158801606322,0.04863629910360351,0.07220890121282787,40
2,12,0.05343087935319779,0.05504889079617914,0.023890188140299057,0.04029494734975603,0.07547036700339885,0.11346830188124363,40
3,1,0.004754717136677522,0.004181754895770662,-0.011617908689014111,-0.001998433167582525,0.011320510934100386,0.029251555989559804,40
3,2,0.023909512739296312,0.02378892073970873,0.009406652088255696,0.0169578022377532,0.0305990322181085,0.041376830222759925,40
3,3,0.015037982132269034,0.01528103343743914,0.005118801761214648,0.011292915186915997,0.019653893971228187,0.027275351446716653,40
3,4,0.005087182460691286,0.005176360134198754,-1.823559032236809e-05,0.002693375844404239,0.007620829594640222,0.013669925477904016,41
3,5,0.006382404486988014,0.0058772573085824065,-0.0055046258109485375,0.0008723205753664864,0.01083592982131909,0.017826098442159464,41
3,6,0.012206020074241875,0.010865915087995281,-0.010467783888480863,0.0012559370395803793,0.0192662242700819,0.0342915121682447,41
3,7,0.07808168646150992,0.0792181403582341,0.022444149218729215,0.058034971161397664,0.1032082080802606,0.1364786760512065,41
3,8,0.11410396031514713,0.11581489208869589,0.06440221597313094,0.09330288145692972,0.14198325421577349,0.19341686194892524,41
3,9,0.008810936047355833,0.010305235622313114,-0.032351375425698305,-0.005677198065027034,0.027982146892204574,0.0564828480665845,41
3,10,0.007443803391950943,0.008310820902439064,-0.028733482419628475,-0.006664205011985447,0.022950525919095383,0.04574640500748235,40
3,11,-0.0011082986448995857,-0.000717879382223563,-0.014407795663056533,-0.007991314947520256,0.0057276816786749896,0.016358780271021833,40
3,12,0.0032665789860879535,0.00202612714469963,-0.01271417971321963,-0.003253810392417622,0.007803505336263922,0.016694909212882546,40
4,1,-0.0012220907719031615,-0.0011878824719169234,-0.009725890459191023,-0.004471751867762941,0.001228311219302336,0.006306106715264159,40
