,1,2,3,4,5,6
10,0.1645152001679798,0.055203940404727,0.0130885734709745,0.006065572892702,0.0008150479267667,0.0004930505672166
Brier_Q10_Q25,0.1095829191113883,0.1395912613067249,0.1444211794297562,0.1446058556363423,0.1459178941714369,0.1462920367590841
Brier_Q25_Q75,0.2353484987297193,0.2666559456280904,0.2734376522874797,0.2705985263445157,0.2685376250697589,0.2671513731231865
Brier_Q75_Q90,0.1371494346727773,0.1405738932242314,0.1427964114481921,0.1419996180855618,0.1462446981395929,0.1463827504625929
Brier_Q90,0.0883799536071421,0.0914922169591669,0.0935615506736927,0.0944452783030003,0.095156512724104,0.0950238425790559
11,0.1780708160400068,0.0625504385905425,0.0174718073971841,0.0061832571169976,0.0004791435987422,0.0006655355651964
Brier_Q10_Q25,0.0931867872043502,0.1304225424816641,0.1430115866631724,0.1476481939923198,0.1476773682124454,0.1464256201777887
Brier_Q25_Q75,0.2178782920266516,0.2603234252166047,0.2673326164315618,0.2690913685171107,0.2707081805495091,0.2675470372030868
Brier_Q75_Q90,0.1306334112323274,0.1422311780796995,0.1434462218987861,0.1467565681702833,0.1458536184768617,0.1459537464795647
Brier_Q90,0.0888890224506489,0.0919330393530701,0.0931599665590231,0.0949976933523063,0.0948885048085843,0.0946669980442226
12,0.1624173120877404,0.0555232391358065,0.0144569784109559,0.0035910783820249,0.0006050596849883,0.0004539796250863
Brier_Q10_Q25,0.1011896887433426,0.136161651603066,0.1434729414703489,0.1465781296588688,0.1460879038528597,0.1466342400371951
Brier_Q25_Q75,0.2170434949286238,0.2509821482073485,0.2612405757739182,0.268253319009737,0.2666018856032696,0.2676539804653291
Brier_Q75_Q90,0.1345409410111852,0.143867551495278,0.1443215459665431,0.1463264451562925,0.1451650245789736,0.1457059244386976
Brier_Q90,0.0897028395230184,0.0941488397814785,0.0942755357450977,0.0947505138517984,0.0947989245751472,0.0946110284472109
13,0.1810508944760259,0.0658184015731547,0.019805774228268,0.0056528172130821,0.0016016016010056,0.0007117492463736
Brier_Q10_Q25,0.1173570979411996,0.1420249912101922,0.1449101887408158,0.1445315122728818,0.1453483435092955,0.1462459218540971
Brier_Q25_Q75,0.2191567343644301,0.2571027783011955,0.2626237630195643,0.2671037637703979,0.2676432377680891,0.2676690079682224
Brier_Q75_Q90,0.1362623102430318,0.1368391490455388,0.144093537993267,0.146123207474838,0.1459576883563745,0.1461525621838286
Brier_Q90,0.0872535406500631,0.0927644649191013,0.0937239328956839,0.0949418753659411,0.0949995018507328,0.0947596718568044
14,0.2567910678653363,0.115553391239868,0.0508585522778755,0.0223437034364678,0.0110377296822296,0.0071480293690378
