Fecha,Precip,PET,QM,mes_dia
1998-10-27,0.0,4.5,2.299,10-27
1998-10-28,5.030830441,4.6,2.414,10-28
1998-10-29,0.0,4.0,5.02,10-29
1998-10-30,0.0,3.3,5.241,10-30
1998-10-31,0.0,4.0,2.788,10-31
1998-11-01,0.0,4.4,2.533,11-01
1998-11-02,0.0,4.5,1.982,11-02
1998-11-03,0.0,4.1,1.791,11-03
1998-11-04,0.0,4.5,1.535,11-04
1998-11-05,0.0,3.8,1.381,11-05
1998-11-06,5.781832631,3.3,1.456,11-06
1998-11-07,1.907962245,2.0,1.535,11-07
1998-11-08,0.0,2.5,1.535,11-08
1998-11-09,0.0,3.6,1.791,11-09
1998-11-10,0.0,4.7,1.702,11-10
1998-11-11,0.0,5.4,1.617,11-11
1998-11-12,0.798621557,5.1,1.702,11-12
1998-11-13,0.0,5.2,1.176,11-13
1998-11-14,0.0,4.9,1.053,11-14
1998-11-15,0.618668184,2.4,1.113,11-15
1998-11-16,16.39783626,2.3,1.176,11-16
1998-11-17,0.932588935,2.0,1.241,11-17
1998-11-18,0.0,4.3,1.176,11-18
1998-11-19,0.0,4.2,1.456,11-19
1998-11-20,0.0,4.9,1.535,11-20
1998-11-21,0.0,5.4,1.31,11-21
1998-11-22,0.0,5.9,1.176,11-22
1998-11-23,0.0,6.1,0.996,11-23
1998-11-24,11.72229635,2.1,0.89,11-24
1998-11-25,1.622377401,4.9,0.793,11-25
1998-11-26,0.0,5.3,0.841,11-26
1998-11-27,0.0,5.6,0.706,11-27
1998-11-28,0.0,4.3,0.665,11-28
1998-11-29,0.0,5.5,0.626,11-29
1998-11-30,0.0,5.6,0.59,11-30
1998-12-01,0.0,5.7,0.46,12-01
1998-12-02,0.0,6.4,0.253,12-02
1998-12-03,0.0,2.9,0.205,12-03
1998-12-04,0.0,5.9,0.177,12-04
1998-12-05,2.429864922,2.4,0.177,12-05
1998-12-06,0.0,4.8,0.405,12-06
1998-12-07,0.0,5.4,0.379,12-07
1998-12-08,0.0,6.3,0.355,12-08
1998-12-09,0.0,4.7,0.355,12-09
1998-12-10,0.0,4.5,0.355,12-10
1998-12-11,5.320507614,2.9,0.379,12-11
1998-12-12,0.0,2.9,0.379,12-12
1998-12-13,11.59917743,1.8,0.46,12-13
1998-12-14,0.0,5.7,0.706,12-14
1998-12-15,0.0,6.3,0.793,12-15
1998-12-16,31.27672424,1.8,0.996,12-16
1998-12-17,0.509175669,1.9,1.535,12-17
1998-12-18,0.0,5.4,6.694,12-18
1998-12-19,0.0,5.3,6.586,12-19
1998-12-20,0.0,4.8,4.029,12-20
1998-12-21,2.99421623,2.1,2.658,12-21
1998-12-22,0.118103988,3.3,1.885,12-22
1998-12-23,0.0,5.1,1.241,12-23
1998-12-24,0.0,5.9,2.923,12-24
1998-12-25,0.0,6.7,5.02,12-25
1998-12-26,0.0,7.0,0.749,12-26
1998-12-27,26.42194782,5.8,0.706,12-27
1998-12-28,22.80575061,3.3,0.626,12-28
1998-12-29,0.0,4.6,2.533,12-29
1998-12-30,0.0,6.3,5.02,12-30
1998-12-31,0.0,5.5,5.02,12-31
1999-01-01,0.0,5.2,3.209,01-01
1999-01-02,0.0,4.7,1.535,01-02
1999-01-03,7.961061307,5.0,1.381,01-03
1999-01-04,11.88396459,4.1,1.982,01-04
1999-01-05,0.0,5.3,2.083,01-05
1999-01-06,0.0,5.2,1.791,01-06
1999-01-07,0.0,5.9,1.535,01-07
1999-01-08,0.0,5.7,1.617,01-08
1999-01-09,0.209814801,4.5,1.535,01-09
1999-01-10,0.0,2.8,1.456,01-10
1999-01-11,0.0,4.7,1.176,01-11
1999-01-12,0.0,5.0,1.176,01-12
1999-01-13,0.085929647,3.5,1.113,01-13
1999-01-14,0.0,3.7,0.89,01-14
1999-01-15,0.0,3.5,0.942,01-15
1999-01-16,0.0,5.1,0.89,01-16
1999-01-17,0.0,5.9,0.665,01-17
1999-01-18,1.796507673,4.9,0.665,01-18
1999-01-19,11.62632921,3.6,0.59,01-19
1999-01-20,9.770364561,3.0,2.533,01-20
1999-01-21,0.0,5.5,8.439,01-21
1999-01-22,4.773380066,5.6,3.682,01-22
1999-01-23,0.0,4.8,1.617,01-23
1999-01-24,1.368437036,4.2,1.535,01-24
1999-01-25,0.0,4.2,1.535,01-25
1999-01-26,0.0,5.2,0.996,01-26
1999-01-27,0.429648235,5.7,1.176,01-27
1999-01-28,0.553533389,3.8,1.456,01-28
1999-01-29,13.23826059,2.1,2.658,01-29
1999-01-30,2.815112325,4.8,5.02,01-30
1999-01-31,0.0,5.4,4.213,01-31
1999-02-01,55.32670373,3.1,2.658,02-01
1999-02-02,0.0,4.6,6.694,02-02
1999-02-03,1.248384358,4.4,8.945,02-03
1999-02-04,0.0,4.6,8.315,02-04
1999-02-05,0.0,5.6,7.83,02-05
1999-02-06,39.28215944,4.9,6.207,02-06
1999-02-07,13.19047202,2.9,44.539,02-07
1999-02-08,0.0,4.6,24.731,02-08
1999-02-09,0.0,4.5,14.855,02-09
1999-02-10,0.0,5.5,11.905,02-10
1999-02-11,0.0,4.6,9.47,02-11
1999-02-12,0.0,4.4,8.439,02-12
1999-02-13,7.373769098,2.0,8.192,02-13
1999-02-14,0.0,4.8,7.594,02-14
1999-02-15,0.0,5.4,6.373,02-15
1999-02-16,0.0,4.5,5.02,02-16
1999-02-17,0.0,5.4,4.029,02-17
1999-02-18,1.672258749,5.3,3.209,02-18
1999-02-19,0.0,4.4,2.923,02-19
1999-02-20,0.0,5.5,2.414,02-20
1999-02-21,0.0,4.9,2.083,02-21
1999-02-22,0.0,5.3,1.982,02-22
1999-02-23,0.0,3.2,1.702,02-23
1999-02-24,0.0,5.0,1.535,02-24
1999-02-25,0.0,4.8,1.176,02-25
1999-02-26,0.0,4.6,1.113,02-26
1999-02-27,0.0,3.6,0.89,02-27
1999-02-28,0.0,2.9,0.749,02-28
1999-03-01,0.0,5.1,0.89,03-01
1999-03-02,1.461450444,4.0,0.942,03-02
1999-03-03,15.29161414,4.9,0.749,03-03
1999-03-04,0.629444404,4.1,0.841,03-04
1999-03-05,0.0,6.1,0.793,03-05
1999-03-06,0.0,5.8,1.617,03-06
1999-03-07,0.0,5.4,2.533,03-07
1999-03-08,0.0,5.2,1.535,03-08
1999-03-09,53.77900158,4.5,1.176,03-09
1999-03-10,0.0,3.9,7.248,03-10
1999-03-11,0.0,4.0,14.508,03-11
1999-03-12,0.0,3.7,6.694,03-12
1999-03-13,0.0,3.5,3.209,03-13
1999-03-14,0.718990471,4.8,2.533,03-14
1999-03-15,0.0,4.3,2.189,03-15
1999-03-16,0.0,4.9,2.923,03-16
1999-03-17,6.164124468,3.7,2.414,03-17
1999-03-18,16.26302325,1.6,2.533,03-18
1999-03-19,8.77351197,2.2,2.299,03-19
1999-03-20,2.849296632,2.5,2.658,03-20
1999-03-21,0.0,3.9,2.658,03-21
1999-03-22,0.0,3.7,2.923,03-22
1999-03-23,0.0,3.7,2.299,03-23
1999-03-24,16.08706343,3.8,1.982,03-24
1999-03-25,5.045863753,3.4,2.788,03-25
1999-03-26,0.0,3.0,2.923,03-26
1999-03-27,0.0,3.6,3.361,03-27
1999-03-28,32.49240408,1.0,13.495,03-28
1999-03-29,0.0,3.4,24.494,03-29
1999-03-30,0.0,2.9,21.102,03-30
1999-03-31,0.0,2.7,15.208,03-31
1999-04-01,7.090439949,2.8,12.845,04-01
1999-04-02,7.202589858,1.7,11.905,04-02
1999-04-03,58.42397557,1.7,10.717,04-03
1999-04-04,13.44465226,1.4,22.199,04-04
1999-04-05,0.0,2.2,48.001,04-05
1999-04-06,0.0,2.5,48.713,04-06
1999-04-07,0.0,2.4,55.4,04-07
1999-04-08,0.0,2.6,48.001,04-08
1999-04-09,0.0,2.4,38.075,04-09
1999-04-10,7.475715277,2.3,27.176,04-10
1999-04-11,1.483193558,2.4,18.01,04-11
1999-04-12,0.857134316,2.2,14.336,04-12
1999-04-13,0.0,2.6,11.905,04-13
1999-04-14,0.0,2.3,9.739,04-14
1999-04-15,3.124515196,2.1,8.439,04-15
1999-04-16,5.102585249,1.8,7.83,04-16
1999-04-17,0.0,1.4,7.83,04-17
1999-04-18,0.0,3.0,7.949,04-18
1999-04-19,0.0,1.9,7.023,04-19
1999-04-20,0.0,1.6,6.694,04-20
1999-04-21,0.0,1.7,6.207,04-21
1999-04-22,0.0,1.7,4.213,04-22
1999-04-23,0.0,1.8,4.029,04-23
1999-04-24,0.0,1.8,3.209,04-24
1999-04-25,0.0,1.3,2.299,04-25
1999-04-26,0.0,2.0,1.982,04-26
1999-04-27,34.86559227,0.9,2.083,04-27
1999-04-28,0.0,2.3,4.213,04-28
1999-04-29,0.0,1.6,6.912,04-29
1999-04-30,0.0,1.4,7.135,04-30
1999-05-01,0.0,1.8,6.694,05-01
1999-05-02,0.0,1.8,6.269,05-02
1999-05-03,0.0,3.1,6.207,05-03
1999-05-04,2.203342893,1.0,5.241,05-04
1999-05-05,0.0,1.6,5.02,05-05
1999-05-06,0.0,0.9,4.602,05-06
1999-05-07,0.0,1.8,3.209,05-07
1999-05-08,0.0,1.4,2.533,05-08
