N_Oficial,Nombre_est,latitude,longitude,geometry,N_DinaguaW,N_UTEWSH,N_UTEWSP,Institucio,Tipo_estac,Parametros,Resolucion,wflow_basi,wflow_outp,WHOS_siteC
INUMET-94,DOLORES,-33.5299,-58.2173,POINT (-58.2173 -33.5299),INUMET-94,,,INUMET,Convencional,P,Diaria,,,
INUMET-95,DR.SOCA,-34.68374,-55.70273,POINT (-55.70273 -34.68374),INUMET-95,,,INUMET,Convencional,P,Diaria,,,
INUMET-96,DURAZNO,-33.35107518,-56.50234527,POINT (-56.50234527 -33.35107518),INUMET-96,,,INUMET,Convencional,P,Diaria,,,
INUMET-97,ECILDA PAULLIER,-34.35777,-57.0863,POINT (-57.0863 -34.35777),INUMET-97,,,INUMET,Convencional,P,Diaria,,,
INUMET-98,EGAÑA,-33.6017,-57.6316,POINT (-57.6316 -33.6017),INUMET-98,,,INUMET,Convencional,P,Diaria,,,
INUMET-102,EL CERRO,-33.98,-58.23,POINT (-58.23 -33.98),INUMET-102,,,INUMET,Convencional,P,Diaria,,,
INUMET-103,EL MOLINO,-31.71,-56.0,POINT (-56 -31.71),INUMET-103,,,INUMET,Convencional,P,Diaria,,,
INUMET-104,EL PALMAR (P.LATORRE,-33.067,-57.461,POINT (-57.461 -33.067),INUMET-104,,,INUMET,Convencional,P,Diaria,,,
INUMET-106,EL TOPADOR,-30.298,-56.822,POINT (-56.822 -30.298),INUMET-106,,,INUMET,Convencional,P,Diaria,,,
INUMET-108,ESTACION ATAQUES,-31.09,-55.69,POINT (-55.69 -31.09),INUMET-108,,,INUMET,Convencional,P,Diaria,,,
INUMET-109,FLORENCIO SANCHEZ,-33.8761,-57.3718,POINT (-57.3718 -33.8761),INUMET-109,,,INUMET,Convencional,P,Diaria,,,
INUMET-110,FLORIDA,-34.0884725,-56.1869475,POINT (-56.1869475 -34.0884725),INUMET-110,,,INUMET,Convencional,P,Diaria,,,
INUMET-112,FRAY BENTOS,-33.127,-58.296,POINT (-58.296 -33.127),INUMET-112,,,INUMET,Convencional,P,Diaria,,,
INUMET-113,FRAY MARCOS,-34.195,-55.733,POINT (-55.733 -34.195),INUMET-113,,,INUMET,Convencional,P,Diaria,,,
INUMET-114,GARZON,-34.591,-54.546,POINT (-54.546 -34.591),INUMET-114,,,INUMET,Convencional,P,Diaria,,,
INUMET-115,GOÑI,-33.520164,-56.4113466,POINT (-56.4113466 -33.520164),INUMET-115,,,INUMET,Convencional,P,Diaria,,,
INUMET-214,PUEBLO I. NOBLIA,-31.957,-54.124,POINT (-54.124 -31.957),INUMET-214,,,INUMET,Convencional,P,Diaria,,,
INUMET-120,ISLA PATRULLA,-32.996,-54.563,POINT (-54.563 -32.996),INUMET-120,,,INUMET,Convencional,P,Diaria,,,
INUMET-81,CORTINAS,-33.9594,-57.0847,POINT (-57.0847 -33.9594),INUMET-81,,,INUMET,Convencional,P,Diaria,,,
