C3,NOMBRE
264,Río De La Plata entre Ao. Miguelete y Ao. Carrasco
266,Río De La Plata entre Ao. Carrasco y Ao. Pando
268,Ao. Pando entre nacientes y Río De La Plata
270,Río De La Plata entre Ao. Pando y Ao. Solís Chico
274,Río De La Plata entre Ao. Solís Chico y Ao. Sarandí
275,Río De La Plata entre Ao. Sarandí y Ao. del Bagre
276,Río De La Plata entre Ao. del Bagre y Ao. De La Tuna
277,Río De La Plata entre Ao. De La Tuna y Ao. De La Coronilla
279,Río De La Plata entre Ao. De La Coronilla y Ao. Solís Grande
280,Ao. Solís Grande entre nacientes y Ao. Del Sarandí
281,Ao. Solís Grande entre Ao. Del Sarandí y Ao. Del Sauce Solo
282,Ao. Solís Grande entre Ao. Del Sauce Solo y Ao. De Los Chanchos
283,Ao. Solís Grande entre Ao. De Los Chanchos y Ao. Mataojo
284,Ao. Solís Grande entre Ao. Mataojo y Ao. Sauce De Solís
285,Ao. Solís Grande entre Ao. Sauce De Solís y Ao. Malvín
286,Ao. Solís Grande entre Ao. Malvín y Ao. Curupí
287,Ao. Solís Grande entre Ao. Curupí y Ao. Navarro
288,Ao. Solís Grande entre Ao. Navarro y Ao. Tío Diego
289,Ao. Solís Grande entre Ao. Tío Diego y Río De La Plata
290,Río De La Plata entre Ao. Solís Grande y Ao. De Las Tarariras
293,Río De La Plata entre Ao. De Las Tarariras y Ao. De La Barra Falsa
294,Río De La Plata entre Ao. De La Barra Falsa y Ao. Del Potrero
295,Ao. Del Potrero y Laguna del Sauce
297,Río De La Plata entre Ao. Del Potrero y Laguna Del Diario
298,Río De La Plata entre Laguna Del Diario y Punta del Este
300,Océano Atlántico entre Punta del Este y Ao. Maldonado
301,Ao. San Carlos
305,Ao. Maldonado entre nacientes y Ao. San Carlos
306,Ao. Maldonado entre Ao. San Carlos y Océano Atlántico
310,Océano Atlántico entre Ao. Maldonado y Laguna José Ignacio
312,Océano Atlántico entre Laguna José Ignacio y Laguna Garzón
315,Laguna Garzón
316,Océano Atlántico entre Laguna Garzón y Laguna De Rocha
318,Laguna De Rocha
320,Océano Atlántico entre Laguna De Rocha y Ao. Valizas
325,Ao. Valizas
330,Océano Atlántico entre Ao. Valizas y Laguna Negra
333,Laguna Negra
334,CANAL No. 2 entre nacientes y CANAL ANDREONI
335,Océano Atlántico entre CANAL ANDREONI y Ao. Chuy
338,Ao. Chuy / Tramo Limítrofe
406,Río Yaguarón entre Ao. Yaguarón Chico y Laguna Merín
407,Laguna Merín entre Río Yaguarón y Río Tacuarí
410,Río Tacuarí entre nacientes y Ao. Saca Calzones
411,Río Tacuarí entre Ao. Saca Calzones y Ao. Bañado De Medina
412,Río Tacuarí entre Ao. Bañado De Medina y Ao. Conventos
413,Río Tacuarí entre Ao. Conventos y Ao. Chuy
414,Río Tacuarí entre Ao. Chuy y Ao. Del Rabón
415,Río Tacuarí entre Ao. Del Rabón y Ao. Del Campamento
416,Río Tacuarí entre Ao. Del Campamento y Ao. Malo
417,Río Tacuarí entre Ao. Malo y Ao. Garao
418,Río Tacuarí entre Ao. Garao y Cda. De Santos
419,Río Tacuarí entre Cda. De Santos y Laguna Merín
420,Laguna Merín entre Río Tacuarí y Ao. De Las Tres Islas
422,Laguna Merín entre Ao. De Las Tres Islas y Ao. Zapata
424,Laguna Merín entre Ao. Zapata y Ao. Sarandí Grande
426,Laguna Merín entre Ao. Sarandí Grande y Ao. De Ayala
428,Laguna Merín entre Ao. De Ayala y Río Cebollatí
430,Río Olimar Grande entre nacientes y Ao. De La Ternera
431,Río Olimar Grande entre Ao. De La Ternera y Ao. Rosario
432,Río Olimar Grande entre Ao. Rosario y Ao. Del Carmen
433,Río Olimar Grande entre Ao. Del Carmen y Ao. De Las Pavas
434,Río Olimar Grande entre Ao. De Las Pavas y Ao. Avestruz Grande
435,Río Olimar Grande entre Ao. Avestruz Grande y Río Olimar Chico
436,Río Olimar Grande entre Río Olimar Chico y Ao. Yerbal Grande
