Fecha,Caudal Observado,Simulado opcion 1,Simulado opcion 2,Simulado opcion 3
1998-07-01,285.293,1.2235132882007997,0.02667129525543765,0.597310270467924
1998-07-02,480.67,16.83412755404782,0.3809380523025476,8.371829597817625
1998-07-03,465.257,35.18778260992479,0.9640323073297101,19.29968727347793
1998-07-04,472.226,52.30165795543632,1.6082206481691437,30.03947042890701
1998-07-05,337.55,64.36762737702686,2.1524564508234634,37.76969650862889
1998-07-06,203.68,68.18125940223963,3.4305669829947933,41.48064755247784
1998-07-07,236.376,64.08911981171113,15.180215231392859,54.0337729976965
1998-07-08,192.88,61.221706582399676,22.28896250537377,61.91446858027205
1998-07-09,160.374,57.37372152190614,24.808320713166143,64.34918312474623
1998-07-10,126.276,54.07907961021023,22.63824024863429,61.004166234127034
1998-07-11,102.448,50.60138169779277,15.857511417330073,51.02387906316731
1998-07-12,72.609,47.139761840666395,6.380499680460584,36.2319596369631
1998-07-13,50.885,44.68769742364887,3.9122326424670444,29.583390310721907
1998-07-14,33.908,42.521011922855465,2.238589668707642,24.253760953089646
1998-07-15,25.692,40.69963297575498,2.0402921300384707,21.26042052928923
1998-07-16,22.423,39.193548118869245,2.6127398845133607,19.787784772802116
1998-07-17,28.451,39.37875449720672,15.246656570942834,34.66928900534968
1998-07-18,113.988,42.173742025469885,65.39773582495381,102.65553782890453
1998-07-19,212.228,43.30094141064376,94.94735111517322,151.36154736765081
1998-07-20,220.104,42.716550417890836,103.53946237795327,175.11208573921013
1998-07-21,232.699,40.44757311389733,90.6788867358483,169.0782760182078
1998-07-22,158.916,36.70063894160115,58.121460220101824,132.21980855843654
1998-07-23,97.494,33.27211447305723,20.750689943029283,81.71795631034652
1998-07-24,83.51,32.51154086912108,16.677564442311283,71.4692940583578
1998-07-25,391.415,36.200586453645336,81.56340004043138,174.80616012308496
1998-07-26,531.738,38.677748639528275,127.50128010843497,253.05073987802862
1998-07-27,397.698,39.15134993398695,144.86338900219468,289.60332787292884
1998-07-28,404.041,37.59090684984241,132.78188401114718,278.40196371932456
1998-07-29,319.543,34.21958183572005,91.82971774553688,216.498518055584
1998-07-30,176.177,29.931505234637136,33.75936442077405,120.26799523874087
1998-07-31,99.129,28.391154321111014,17.10350144284978,85.9342037317067
1998-08-01,72.156,27.437487041380717,7.154927935815804,61.42959883010079
1998-08-02,55.4,27.098930521743082,6.271940404483995,52.306880613180816
1998-08-03,46.251,26.81637415899975,5.77071264439253,45.09590066507601
1998-08-04,40.268,26.54951282455,5.304029715141118,39.14962266246515
1998-08-05,35.069,26.307316972646415,4.875287490936875,34.23470813428994
1998-08-06,32.211,26.223399044731316,4.552989420189898,30.132642076928395
1998-08-07,30.836,26.09903218868366,4.236791845073683,26.69463978047409
1998-08-08,27.682,25.92918791168139,3.920821583466235,23.817060044982753
1998-08-09,25.692,25.70891126199658,3.5997952738241916,21.393463591953132
1998-08-10,23.33,27.356533852737623,6.188148767255777,22.88073247161888
1998-08-11,25.692,50.65335276413384,41.26741560764671,64.37435829892839
1998-08-12,116.989,69.45338696562075,62.8365261455668,94.50438305903663
1998-08-13,139.329,81.28744813788201,70.72384172472603,110.17655285164375
1998-08-14,164.056,83.89911184564609,64.46176265376347,108.53970969833051
1998-08-15,140.002,75.67978038735986,44.28164349602446,88.01331028126498
1998-08-16,153.873,58.93671776911857,15.93923789579412,54.05441017056314
1998-08-17,57.35,52.311914986607334,8.697819336084182,41.66682121584151
1998-08-18,38.694,46.68890085461511,3.9196870237439034,32.02961216732566
1998-08-19,32.211,43.76691735072151,3.618749924178173,27.87129288689664
1998-08-20,27.682,41.19056413836631,3.3241675496313188,24.402659231186757
1998-08-21,24.024,38.917420875751645,3.0469402483639594,21.519707750814582
1998-08-22,21.102,38.17906552908963,4.552586552741907,21.191587836631925
1998-08-23,102.448,55.089603818996956,30.150989667708124,49.933937087550845
1998-08-24,272.041,104.54248114361036,96.7471346805417,131.48855720706732
1998-08-25,299.99,141.52795989910783,135.2540794046507,187.67224492658906
1998-08-26,304.271,173.44510688316552,157.45952669108271,232.01286487003253
1998-08-27,492.07,262.6353833877887,210.69989896545883,365.8463394788694
1998-08-28,536.26,299.15288091446223,207.9680895125688,410.80816972320355
1998-08-29,426.061,295.4314018933361,175.27122576596918,391.8615902056547
1998-08-30,420.816,272.14103800877814,144.8724762310938,346.18538183183387
1998-08-31,283.229,213.7657637300254,91.65546550237478,247.50750720611015
1998-09-01,283.229,138.62506054894007,33.898459009394855,126.472204420432
1998-09-02,273.047,115.76922616399828,23.14376168690864,92.78191411214505
1998-09-03,243.832,144.18349164480765,72.63136116668106,132.49215880138385
1998-09-04,226.349,182.9872406244421,122.0637071156637,187.5849894962638
1998-09-05,201.156,204.2191509626192,143.49940829587928,216.97550064989272
1998-09-06,195.341,203.6851519862974,136.18199833433542,215.6224843431703
1998-09-07,218.339,178.424222306092,100.32949137617187,180.3870939709929
1998-09-08,216.582,133.5058837845297,45.487082078547346,119.14501417286783
1998-09-09,210.502,108.70097795473053,22.0417214293241,86.98139496805875
1998-09-10,156.743,92.63248927876863,11.276087431131062,67.77855255719487
1998-09-11,98.037,83.05088609643367,8.740410609203543,58.096887628894144
1998-09-12,45.561,75.59822306548787,7.9960846766578895,51.45867083523623
1998-09-13,30.836,68.90547689393684,7.26504373845266,45.87057401349856
1998-09-14,27.682,62.87038275056827,6.536923040247332,41.12715818108623
1998-09-15,24.494,57.79486119777921,5.99030202585331,37.08561407982875
1998-09-16,22.199,53.33743834527988,5.504608323761625,33.58489504297146
