fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020
1990-01-15,1,1990-02-15,268.914,30.908,,,0.569,,0.569,3.094,,0.569,60.716,,,,0.569,0.569,,0.569,,0.569,,,0.569,,,208.841,22.242,214.111,0.569,,40.506,0.569,0.569,0.569
1990-01-15,2,1990-03-15,682.399,46.294,,,0.211,,0.211,21.055,,0.211,26.046,,,,90.870,393.393,,0.211,,0.211,,,0.211,,,70.290,14.896,141.803,0.211,,72.697,0.348,0.211,0.211
1990-01-15,3,1990-04-15,518.410,148.955,,,330.503,,0.643,12.399,,312.826,9.678,,,,227.658,1328.955,,22.930,,0.079,,,0.079,,,26.118,6.399,263.972,0.079,,129.395,2.635,6.757,0.079
1990-01-15,4,1990-05-15,296.674,200.242,,,238.813,,767.707,5.576,,84.826,136.993,,,,429.674,496.562,,198.497,,0.029,,,0.029,,,9.705,237.654,160.928,0.029,,691.057,90.929,51.474,3.873
1990-01-15,5,1990-06-15,118.727,207.608,,,536.079,,347.987,195.785,,32.417,327.544,,,,440.435,449.663,,218.661,,11.066,,,0.011,,,62.683,118.476,118.064,46.510,,253.882,80.687,228.111,268.886
1990-01-15,6,1990-07-15,50.053,327.434,,,996.875,,248.285,664.800,,12.820,155.188,,,,379.816,722.703,,185.552,,9.541,,,1.894,,,128.518,184.703,663.754,74.788,,123.575,796.162,434.871,109.971
1990-02-15,1,1990-03-15,682.399,202.367,,,84.872,,97.445,223.763,,110.292,88.519,,,,501.552,933.143,,80.295,111.537,110.680,540.469,,85.503,,,80.548,92.933,189.859,81.058,,217.363,133.417,,81.720
1990-02-15,2,1990-04-15,518.410,273.573,,,551.332,,70.585,87.931,,687.643,36.897,,,,392.880,1448.485,,78.113,680.644,49.628,260.055,,34.042,,,30.080,86.383,300.217,30.563,,219.921,119.467,,33.022
1990-02-15,3,1990-05-15,296.674,342.898,,,291.342,,1069.004,45.356,,129.878,256.429,,,,514.912,521.099,,264.702,1121.030,18.441,569.343,,12.649,,,11.177,407.331,173.934,11.356,,744.056,307.162,,45.867
1990-02-15,4,1990-06-15,118.727,290.743,,,556.003,,378.848,386.955,,51.157,378.767,,,,465.161,458.417,,239.063,985.153,17.908,334.539,,4.700,,,94.071,155.752,123.664,50.719,,267.165,157.746,,418.339
1990-02-15,5,1990-07-15,50.053,319.197,,,1003.213,,258.623,743.173,,23.853,169.496,,,,388.575,725.925,,193.025,219.840,12.083,126.742,,3.637,,,145.166,201.371,666.190,76.710,,128.484,840.296,,138.339
1990-02-15,6,1990-08-15,47.246,330.833,,,213.271,,182.397,281.523,,29.318,238.706,,,,263.231,729.392,,117.396,185.669,429.686,468.871,,121.843,,,223.585,177.846,143.236,853.776,,896.216,628.197,,101.660
1990-03-15,1,1990-04-15,518.410,458.883,,,1014.381,,309.473,146.176,,1002.614,227.187,,,,423.450,1413.869,,516.801,995.796,157.394,347.817,,139.034,,,205.662,317.990,459.312,139.034,,357.550,319.978,390.470,293.672
1990-03-15,2,1990-05-15,296.674,427.370,,,370.169,,1246.082,99.442,,173.132,481.342,,,,529.533,515.542,,468.046,1179.123,65.736,622.918,,51.662,,,90.456,548.325,220.404,66.825,,813.360,442.974,325.892,236.443
1990-03-15,3,1990-06-15,118.727,344.140,,,585.058,,413.930,480.001,,69.622,441.638,,,,469.302,456.487,,298.616,1002.130,48.359,348.101,,51.427,,,311.769,191.937,142.629,179.447,,283.804,194.547,381.820,532.182
1990-03-15,4,1990-07-15,50.053,349.131,,,1013.046,,271.325,764.315,,33.604,189.519,,,,390.043,725.219,,214.598,226.023,28.890,131.170,,71.045,,,215.466,215.661,674.240,173.757,,134.631,855.821,485.142,169.100
1990-03-15,5,1990-08-15,47.246,357.421,,,216.881,,187.112,288.067,,35.436,246.395,,,,263.775,729.130,,125.435,187.969,496.534,470.897,,249.762,,,252.119,183.133,145.967,912.529,,898.635,633.490,511.636,113.520
1990-03-15,6,1990-09-15,85.725,341.688,,,243.248,,89.934,177.895,,217.040,113.761,,,,737.785,423.984,,186.462,505.624,175.466,264.698,,275.772,,,155.647,538.643,354.952,452.142,,775.867,645.902,271.376,227.563
1990-04-15,1,1990-05-15,296.674,517.383,,,324.905,,1319.406,276.399,171.113,,599.092,,,,562.435,443.956,946.492,494.760,1117.537,152.890,798.870,,221.844,,,158.912,612.987,237.797,357.313,,878.851,,362.695,309.413
1990-04-15,2,1990-06-15,118.727,416.302,,,568.172,,426.264,577.842,291.683,,470.885,,,,477.778,435.117,532.949,302.947,990.017,243.194,380.130,,269.078,,,392.847,205.931,150.215,359.408,,295.020,,393.649,562.911
1990-04-15,3,1990-07-15,50.053,376.599,,,1007.569,,275.776,792.264,939.990,,199.208,,,,392.980,717.842,183.720,216.104,221.813,107.118,140.663,,162.427,,,235.773,221.255,677.710,234.026,,138.751,,489.108,177.881
1990-04-15,4,1990-08-15,47.246,358.847,,,214.883,,188.764,297.923,158.130,,250.082,,,,264.863,726.431,351.297,125.997,186.400,586.811,475.778,,291.344,,,259.848,185.201,147.077,935.835,,900.343,,513.069,116.869
1990-04-15,5,1990-09-15,85.725,328.291,,,242.505,,90.549,181.559,78.724,,115.124,,,,738.190,422.982,459.486,186.683,505.040,197.049,266.226,,290.882,,,158.506,539.423,355.373,460.303,,776.458,,271.906,228.855
1990-04-15,6,1990-10-15,179.038,424.839,,,479.732,,115.445,376.250,97.760,,276.793,,,,657.126,558.222,169.387,165.137,301.347,204.864,553.293,,288.176,,,435.493,458.847,680.245,783.710,,510.874,,1280.544,103.543
1990-05-15,1,1990-06-15,118.727,403.717,,,564.255,,315.367,580.488,355.365,,414.007,,,,403.570,393.452,439.201,248.136,879.105,505.815,350.272,,320.565,,,508.381,148.111,158.838,349.083,,214.066,,361.892,564.377
1990-05-15,2,1990-07-15,50.053,370.406,,,1005.658,,240.437,793.571,960.753,,182.009,,,,373.137,705.119,158.185,196.183,195.396,165.074,125.838,,177.230,,,263.808,191.662,677.532,229.883,,109.410,,480.039,177.202
1990-05-15,3,1990-08-15,47.246,357.263,,,214.150,,175.727,298.433,165.215,,243.400,,,,257.829,722.040,341.354,118.605,176.344,623.980,471.790,,297.375,,,270.380,174.323,147.845,934.271,,885.491,,510.034,116.667
1990-05-15,4,1990-09-15,85.725,327.547,,,242.233,,85.686,181.749,81.369,,112.665,,,,735.560,421.362,455.837,183.726,501.245,207.617,264.411,,293.094,,,162.400,535.137,355.605,459.723,,771.920,,270.796,228.804
1990-05-15,5,1990-10-15,179.038,424.570,,,479.631,,113.588,376.320,98.756,,275.847,,,,656.156,557.620,168.039,164.024,299.951,208.867,552.621,,288.998,,,436.982,457.300,680.336,783.494,,509.227,,1280.130,103.519
1990-05-15,6,1990-11-15,166.157,285.339,,,342.502,,236.287,116.423,67.450,,229.463,,,,352.228,362.307,183.314,135.206,113.096,125.849,175.803,,1636.343,,,118.826,533.655,239.347,308.306,,150.660,,233.816,45.906
1990-06-15,1,1990-07-15,50.053,256.296,,,784.837,,108.250,584.792,775.080,47.088,63.261,,,,205.900,515.649,47.537,91.133,51.964,52.362,46.397,,61.591,,,109.839,123.725,570.916,,,54.805,723.275,312.317,51.491
1990-06-15,2,1990-08-15,47.246,271.155,,,171.851,,120.873,252.611,132.286,28.355,161.749,,,,204.560,680.772,233.378,73.708,82.295,545.912,378.684,,223.042,,,200.410,143.967,132.538,,,806.742,611.297,465.080,44.143
1990-06-15,3,1990-09-15,85.725,308.862,,,225.629,,64.374,164.632,68.278,193.732,84.366,,,,714.477,407.197,420.858,161.131,447.968,187.232,243.680,,265.945,,,136.475,520.606,348.214,,,758.181,638.334,255.450,179.338
1990-06-15,4,1990-10-15,179.038,372.779,,,473.345,,103.593,369.695,92.903,103.288,260.738,,,,648.752,552.356,156.772,155.154,283.564,201.169,544.953,,279.089,,,425.576,452.466,677.726,,,504.793,181.724,1274.312,86.399
1990-06-15,5,1990-11-15,166.157,262.304,,,340.201,,231.790,114.025,65.093,88.973,223.785,,,,349.520,360.357,178.812,131.666,107.278,122.993,173.052,,1632.450,,,115.051,531.886,238.438,,,149.064,83.134,231.708,39.104
1990-06-15,6,1990-12-15,326.274,172.013,,,264.040,,343.312,43.427,31.636,45.179,722.473,,,,128.273,538.105,86.992,58.436,39.862,138.257,109.568,,354.962,,,115.565,145.049,193.837,,,55.389,49.527,133.865,14.530
1990-07-15,1,1990-08-15,47.246,196.608,,,22.447,,49.549,80.595,20.320,28.762,,,,,79.498,449.890,216.318,26.655,71.366,495.580,366.754,,161.682,,,122.867,63.298,21.194,,,808.762,373.313,276.698,
1990-07-15,2,1990-09-15,85.725,280.566,,,111.906,,28.260,84.109,9.139,182.550,,,,,638.450,353.516,414.424,108.939,436.965,182.981,242.283,,238.929,,,103.830,450.894,206.869,,,757.466,574.310,204.929,
1990-07-15,3,1990-10-15,179.038,372.323,,,418.900,,73.776,327.115,29.158,99.464,,,,,626.969,532.403,155.210,132.917,280.601,199.375,544.453,,269.394,,,405.698,432.381,627.984,,,504.465,161.026,1252.844,
1990-07-15,4,1990-11-15,166.157,267.579,,,322.498,,212.745,101.114,27.862,86.357,,,,,342.084,353.160,178.099,122.073,106.286,122.339,172.894,,1628.189,,,109.623,524.694,224.850,,,148.938,75.269,224.924,
1990-07-15,5,1990-12-15,326.274,147.888,,,257.352,,334.954,38.541,14.523,44.105,,,,,125.557,535.362,86.733,54.771,39.493,138.001,109.507,,353.698,,,113.211,142.617,188.342,,,55.342,46.442,131.313,
1990-07-15,6,1991-01-15,105.103,93.904,,,105.058,,109.166,14.321,8.420,16.756,,,,,169.515,144.201,35.836,20.352,14.999,62.684,50.906,,131.958,,,50.814,107.136,218.473,,,20.564,445.166,57.851,
1990-08-15,1,1990-09-15,85.725,201.000,,,139.798,89.321,27.002,52.004,57.587,221.588,,,,,567.287,188.243,272.044,128.023,386.372,38.565,72.441,,161.969,,,58.860,410.609,305.879,,38.749,527.626,393.314,83.720,
1990-08-15,2,1990-10-15,179.038,321.304,,,432.991,53.987,63.689,290.301,100.761,112.309,,,,,612.441,463.193,119.710,142.576,268.897,102.448,459.707,,239.361,,,370.251,423.540,663.298,,84.202,449.023,121.546,1173.155,
1990-08-15,3,1990-11-15,166.157,239.987,,,327.039,24.993,202.031,92.323,69.913,93.292,,,,,337.838,330.397,159.974,126.550,102.560,85.174,148.588,,1614.770,,,100.901,521.703,233.698,,70.964,131.026,58.599,207.396,
1990-08-15,4,1990-12-15,326.274,134.590,,,259.047,10.504,329.679,35.081,33.957,46.888,,,,,124.066,525.916,80.126,56.268,38.109,121.118,100.004,,349.843,,,109.149,141.716,192.025,,61.250,48.686,38.475,124.484,
1990-08-15,5,1991-01-15,105.103,88.853,,,105.674,24.920,107.724,13.035,15.641,17.830,,,,,168.902,141.058,33.318,20.908,14.484,56.376,47.323,,130.541,,,49.295,106.798,220.014,,80.104,18.091,438.597,55.283,
1990-08-15,6,1991-02-15,39.368,82.717,,,45.697,14.836,42.644,14.135,7.168,66.773,,,,,74.159,403.672,12.380,7.769,5.572,23.129,17.584,,180.355,,,39.990,384.160,84.024,,172.513,6.722,113.236,20.542,
1990-09-15,1,1990-10-15,179.038,264.806,,,413.639,57.377,154.303,365.700,133.689,65.745,,,,,452.516,,62.732,118.764,160.131,96.909,,59.931,182.901,,,419.006,312.276,554.506,,136.797,307.445,53.446,1188.318,
1990-09-15,2,1990-11-15,166.157,218.883,,,320.012,27.243,262.569,106.579,85.230,65.043,,,,,296.228,,116.025,115.623,69.706,77.940,,28.708,1580.111,,,109.354,482.157,208.330,,95.558,96.851,26.064,208.334,
1990-09-15,3,1990-12-15,326.274,106.991,,,256.408,11.340,356.241,40.911,40.608,35.053,,,,,110.285,,64.363,51.677,25.901,114.155,,10.667,343.019,,,113.938,130.028,181.145,,74.538,35.987,18.615,124.931,
1990-09-15,4,1991-01-15,105.103,81.726,,,104.708,25.755,115.468,15.202,18.112,13.304,,,,,162.896,,27.323,19.202,9.948,53.898,,3.964,128.082,,,51.090,102.415,215.348,,88.245,13.372,410.713,55.465,
1990-09-15,5,1991-02-15,39.368,65.354,,,45.336,15.373,45.552,14.940,8.087,65.091,,,,,71.976,,10.152,7.135,3.887,22.208,,1.473,179.388,,,40.656,382.531,82.379,,177.948,4.969,107.381,20.609,
1990-09-15,6,1991-03-15,14.628,69.448,,,20.672,5.712,36.831,15.320,3.005,27.672,,,,,606.847,,3.772,2.651,1.444,138.196,,0.547,61.203,,,21.739,197.534,30.610,,161.492,1.983,44.080,7.658,
