,longitude,latitude,drain_area,station_code,unique_gauge_id,provider,data_source,altitude,river,gauge_serial_number,state,site_name,organization,warning_level,danger_level,extreme_danger_level,district,gauge_id,has_third_party_water_level_forecast,is_dam,division,upazilla,ffdata_station_alias,manual_hybas_id,from_date,to_date,pre_monsoon_danger_level,highest_flood_level,is_alerting,village,subdistrict,is_external_polygon,HYBAS_ID,original_hybas_id,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,predecessors,continent
612,-56.4701,-33.0611,,2061,DNAUY_2061,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Carlos Reyles,,,,,,,,,,,,,,,,,,,,False,6120884630,6120884630,6120883230,6120016720,6120016720,369.2,369.2,100.7,100.8,641607306200,0,0,3,87057,[],SOUTH_AMERICA
613,-57.2744,-33.0398,,2053,DNAUY_2053,DNAUY,uruguay_metadata_jan_2024.csv,,,,,El Aguila,,,,,,,,,,,,,,,,,,,,False,6120885980,6120885980,6120886010,6120016720,6120016720,187.7,187.7,112.1,44970.9,641607101110,0,0,1,86898,['6121323430'],SOUTH_AMERICA
614,-55.794,-33.6604,,2354,DNAUY_2354,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Gallinal,,,,,,,,,,,,,,,,,,,,False,6121325950,6121325950,6120890080,6120016720,6120016720,372.0,372.0,112.6,384.1,641606785200,0,0,3,87059,['6121326380'],SOUTH_AMERICA
615,-55.4708,-33.6178,,2357,DNAUY_2357,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Mansavillagra,,,,,,,,,,,,,,,,,,,,False,6120890860,6120890860,6120889250,6120016720,6120016720,392.9,392.9,171.2,171.2,641606802000,0,0,4,87082,[],SOUTH_AMERICA
616,-55.5492,-33.8626,,2498,DNAUY_2498,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Cerro Colorado,,,,,,,,,,,,,,,,,,,,False,6121326580,6121326580,6121326380,6120016720,6120016720,397.6,397.6,142.1,142.1,641606785400,0,0,3,87086,[],SOUTH_AMERICA
617,-56.0122,-33.2418,,2164,DNAUY_2164,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Villa Carmen,,,,,,,,,,,,,,,,,,,,False,6121323830,6121323830,6120886850,6120016720,6120016720,331.0,331.0,182.0,418.5,641606603200,0,0,3,87019,"['6120885820', '6120885910']",SOUTH_AMERICA
618,-55.9558,-33.5274,,2351,DNAUY_2351,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Pantanoso,,,,,,,,,,,,,,,,,,,,False,6120889910,6120889910,6120889620,6120016720,6120016720,345.1,345.1,6.8,668.0,641606783000,0,0,3,87030,"['6120890140', '6120890080']",SOUTH_AMERICA
619,-56.8975,-33.4934,,2204,DNAUY_2204,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Camino a la Aviacion,,,,,,,,,,,,,,,,,,,,False,6121325030,6121325030,6120887460,6120016720,6120016720,251.4,251.4,75.8,270.1,641606202200,0,0,4,86945,['6121325240'],SOUTH_AMERICA
620,-56.7572,-33.879,,2486,DNAUY_2486,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Pintos,,,,,,,,,,,,,,,,,,,,False,6120894650,6120894650,6120894670,6120016370,6120016370,122.6,122.6,96.6,303.3,641504260100,0,0,3,86705,['6121327200'],SOUTH_AMERICA
621,-57.5756,-33.2033,,2198,DNAUY_2198,DNAUY,uruguay_metadata_jan_2024.csv,,,,,La Laguna,,,,,,,,,,,,,,,,,,,,False,6120885580,6120885580,6120885010,6120016720,6120016720,118.5,118.5,104.9,104.9,641601070200,0,0,2,86872,[],SOUTH_AMERICA
622,-57.6394,-33.1218,,2098,DNAUY_2098,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Villa Darwin,,,,,,,,,,,,,,,,,,,,False,6120885580,6120885580,6120885010,6120016720,6120016720,118.5,118.5,104.9,104.9,641601070200,0,0,2,86872,[],SOUTH_AMERICA
623,-57.2649,-33.7098,,2340,DNAUY_2340,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Cuchilla del Perdido,,,,,,,,,,,,,,,,,,,,False,6120890340,6120890340,6120889080,6120016720,6120016720,248.0,248.0,140.7,284.2,641604027100,0,0,3,86944,['6121326280'],SOUTH_AMERICA
624,-57.7881,-33.8288,,2383,DNAUY_2383,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Corralito,,,,,,,,,,,,,,,,,,,,False,6121326670,6121326670,6120891910,6120016690,6120016690,77.9,77.9,181.5,789.8,641508070200,0,0,1,86833,"['6120893240', '6120893130']",SOUTH_AMERICA
625,-57.1501,-33.768,,2387,DNAUY_2387,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Santa Adelaida,,,,,,,,,,,,,,,,,,,,False,6120892260,6120892260,6120891030,6120016720,6120016720,280.9,280.9,122.9,304.5,641604070100,0,0,2,86977,['6121326760'],SOUTH_AMERICA
626,-56.9144,-32.3965,,1683,DNAUY_1683,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Merinos,,,,,,,,,,,,,,,,,,,,False,6121321150,6121321150,6120879970,6120016720,6120016720,220.8,220.8,192.2,192.3,641602006320,0,0,3,86921,[],SOUTH_AMERICA
627,-57.7117,-33.3317,,1768,DNAUY_1768,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Paso de los Mellizos,,,,,,,,,,,,,,,,,,,,False,6120887780,6120887780,6120887540,6120016720,6120016720,81.4,81.4,130.2,536.6,641601025100,0,0,2,86857,['6121324720'],SOUTH_AMERICA
628,-57.9002,-33.0631,,2099,DNAUY_2099,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Rincón de Cololó,,,,,,,,,,,,,,,,,,,,False,6120885740,6120885740,6120886120,6120016720,6120016720,76.8,76.8,186.3,68138.7,641601050000,0,0,1,86855,"['6120885010', '6120884970']",SOUTH_AMERICA
629,-57.9742,-33.2786,,2147,DNAUY_2147,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Ejido,,,,,,,,,,,,,,,,,,,,False,6120886930,6120886930,6120887070,6120016720,6120016720,50.0,50.0,143.5,1252.2,641601021000,0,0,2,86850,"['6120887600', '6120887540']",SOUTH_AMERICA
630,-57.7841,-33.2399,,2148,DNAUY_2148,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Arroyo Corto,,,,,,,,,,,,,,,,,,,,False,6120887540,6120887540,6120886930,6120016720,6120016720,68.6,68.6,147.9,954.0,641601023000,0,0,2,86852,"['6120887780', '6120887870']",SOUTH_AMERICA
631,-55.6714,-31.9728,,1523,DNAUY_1523,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Paso de los Novillos,,,,,,,,,,,,,,,,,,,,False,6120873700,6120873700,6120873990,6120016720,6120016720,552.4,552.4,191.4,3472.9,641608610000,0,0,3,87200,"['6120872950', '6120872930']",SOUTH_AMERICA
632,-56.7846,-32.7509,,1864,DNAUY_1864,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Monumento,,,,,,,,,,,,,,,,,,,,False,6120882790,6120882790,6120882940,6120016720,6120016720,292.6,292.6,96.6,579.1,641607108100,0,0,2,86986,"['6120881510', '6120881500']",SOUTH_AMERICA
633,-54.7214,-32.6026,,1884,DNAUY_1884,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Quebracho,,,,,,,,,,,,,,,,,,,,False,6120879690,6120879690,6120878550,6120016720,6120016720,586.0,586.0,149.5,490.1,641609402100,0,0,3,87239,"['6120880220', '6120880330']",SOUTH_AMERICA
634,-54.6884,-32.5149,,1792,DNAUY_1792,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Tres Islas,,,,,,,,,,,,,,,,,,,,False,6120879690,6120879690,6120878550,6120016720,6120016720,586.0,586.0,149.5,490.1,641609402100,0,0,3,87239,"['6120880220', '6120880330']",SOUTH_AMERICA
635,-55.3622,-31.2011,,1224,DNAUY_1224,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Paso Ataques,,,,,,,,,,,,,,,,,,,,False,6120864860,6120864860,6120865170,6120016720,6120016720,691.3,691.3,141.4,141.4,641608970400,0,0,3,87359,[],SOUTH_AMERICA
636,-57.0162,-33.8296,,2436,DNAUY_2436,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Puntas del Sauce,,,,,,,,,,,,,,,,,,,,False,6121326880,6121326880,6120894050,6120016370,6120016370,140.4,140.4,205.4,205.4,641504280200,0,0,3,86722,[],SOUTH_AMERICA
637,-53.9547,-31.9941,,1539,DNAUY_1539,DNAUY,uruguay_metadata_jan_2024.csv,,,,,San Diego,,,,,,,,,,,,,,,,,,,,False,6120873580,6120873580,6120873650,6120015940,6120015940,283.3,283.3,141.5,3302.8,641404050500,0,0,2,86334,"['6120872810', '6120872800']",SOUTH_AMERICA
638,-55.8109,-31.9594,,1521,DNAUY_1521,DNAUY,uruguay_metadata_jan_2024.csv,,,,,San Joaquín,,,,,,,,,,,,,,,,,,,,False,6120872950,6120872950,6120873700,6120016720,6120016720,582.8,582.8,45.1,643.6,641608620100,0,0,4,87232,"['6120872780', '6120872660']",SOUTH_AMERICA
639,-57.3989,-33.2292,,2152,DNAUY_2152,DNAUY,uruguay_metadata_jan_2024.csv,,,,,El Tala,,,,,,,,,,,,,,,,,,,,False,6120885810,6120885810,6121323690,6120016720,6120016720,162.9,162.9,112.1,112.1,641603000200,0,0,2,86888,[],SOUTH_AMERICA
640,-55.5029,-32.5372,,1784,DNAUY_1784,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Paso Ramírez,,,,,,,,,,,,,,,,,,,,False,6121321300,6121321300,6120879260,6120016720,6120016720,476.5,476.5,205.4,30833.2,641607903200,0,0,1,87142,"['6120878290', '6120878210']",SOUTH_AMERICA
641,-54.4849,-32.0781,,1662,DNAUY_1662,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Palleros,,,,,,,,,,,,,,,,,,,,False,6120874410,6120874410,6120874840,6120016720,6120016720,628.6,628.6,130.5,130.5,641609708000,0,0,2,87292,[],SOUTH_AMERICA
642,-54.6224,-31.6566,,1417,DNAUY_1417,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Hospital,,,,,,,,,,,,,,,,,,,,False,6121317960,6121317960,6120870710,6120016720,6120016720,682.5,682.5,215.9,751.4,641609941200,0,0,2,87353,"['6120869210', '6120869330']",SOUTH_AMERICA
643,-55.239,-31.4114,,1279,DNAUY_1279,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Tres Puentes - Cerro Pelado,,,,,,,,,,,,,,,,,,,,False,6120867260,6120867260,6120867700,6120016720,6120016720,640.3,640.3,181.1,497.6,641608927000,0,0,3,87308,"['6120866470', '6120866580']",SOUTH_AMERICA
644,-55.3944,-31.394,,1308,DNAUY_1308,DNAUY,uruguay_metadata_jan_2024.csv,,,,,La Calera,,,,,,,,,,,,,,,,,,,,False,6120866950,6120866950,6121316990,6120016720,6120016720,648.0,648.0,239.4,1504.4,641608950000,0,0,2,87314,"['6120865750', '6120865700']",SOUTH_AMERICA
645,-56.257,-31.4556,,1300,DNAUY_1300,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Cerro Travieso,,,,,,,,,,,,,,,,,,,,False,6120869390,6120869390,6121317940,6120016720,6120016720,654.0,654.0,183.2,183.3,641608690000,0,0,3,87324,[],SOUTH_AMERICA
646,-56.0722,-31.4568,,1301,DNAUY_1301,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Paso del Medio,,,,,,,,,,,,,,,,,,,,False,6120867910,6120867910,6121317620,6120016720,6120016720,652.8,652.8,128.6,261.0,641608643100,0,0,4,87322,['6121317040'],SOUTH_AMERICA
647,-56.0723,-31.5904,,1370,DNAUY_1370,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Paso de las Carretas,,,,,,,,,,,,,,,,,,,,False,6121317620,6121317620,6121317950,6120016720,6120016720,639.7,639.7,166.5,576.1,641608641400,0,0,4,87305,"['6120867990', '6120867910']",SOUTH_AMERICA
648,-56.152,-31.6543,,1403,DNAUY_1403,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Luján,,,,,,,,,,,,,,,,,,,,False,6121317940,6121317940,6120870850,6120016720,6120016720,638.5,638.5,169.1,580.6,641608670200,0,0,3,87304,"['6120869410', '6120869390']",SOUTH_AMERICA
649,-55.5552,-32.0417,,1566,DNAUY_1566,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Cerro Cardozo,,,,,,,,,,,,,,,,,,,,False,6120875140,6120875140,6120875880,6120016720,6120016720,540.1,540.1,41.9,10694.7,641608500300,0,0,2,87186,"['6120874020', '6120873990']",SOUTH_AMERICA
650,-54.9615,-31.468,,1312,DNAUY_1312,DNAUY,uruguay_metadata_jan_2024.csv,,,,,La Puente,,,,,,,,,,,,,,,,,,,,False,6121317350,6121317350,6120868650,6120016720,6120016720,640.4,640.4,154.8,453.7,641608497200,0,0,3,87309,['6121317080'],SOUTH_AMERICA
651,-55.0391,-31.955,,1528,DNAUY_1528,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Puntas Cinco Sauces,,,,,,,,,,,,,,,,,,,,False,6121319530,6121319530,6121319890,6120016720,6120016720,577.0,577.0,156.3,804.9,641608205400,0,0,3,87225,['6121319420'],SOUTH_AMERICA
652,-55.1944,-32.0836,,1569,DNAUY_1569,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Cinco Sauces,,,,,,,,,,,,,,,,,,,,False,6120876110,6120876110,6121320390,6120016720,6120016720,547.8,547.8,117.4,275.2,641608204100,0,0,4,87191,['6121319610'],SOUTH_AMERICA
653,-54.3092,-31.9133,,1495,DNAUY_1495,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Paso de las Yeguas,,,,,,,,,,,,,,,,,,,,False,6120873230,6120873230,6120873290,6120016720,6120016720,658.9,658.9,194.4,489.0,641609805000,0,0,2,87331,"['6120873240', '6120873410']",SOUTH_AMERICA
654,-54.0483,-32.0986,,1580,DNAUY_1580,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Mangrullo,,,,,,,,,,,,,,,,,,,,False,6120873640,6120873640,6120873650,6120015940,6120015940,283.1,283.1,147.6,311.5,641404050410,0,0,3,86331,['6121319400'],SOUTH_AMERICA
655,-54.1592,-32.1287,,1621,DNAUY_1621,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Buena Vista,,,,,,,,,,,,,,,,,,,,False,6120873410,6120873410,6120873230,6120016720,6120016720,669.2,669.2,104.6,104.6,641609806000,0,0,3,87338,[],SOUTH_AMERICA
656,-54.9005,-32.1215,,1572,DNAUY_1572,DNAUY,uruguay_metadata_jan_2024.csv,,,,,Caraguatá Norte,,,,,,,,,,,,,,,,,,,,False,6121319890,6121319890,6121320070,6120016720,6120016720,565.5,565.5,127.8,932.9,641608205300,0,0,3,87216,['6121319530'],SOUTH_AMERICA
