1992	9	15	71	77	84	74	68
1992	10	15	112	123	125	111	105
1992	11	15	122	133	150	136	123
1992	12	15	168	156	183	161	151
1993	1	15	178	187	167	144	156
1993	2	15	118	126	132	115	116
1993	3	15	109	119	119	105	103
1993	4	15	62	73	75	63	63
1993	5	15	33	37	44	33	36
1993	6	15	23	26	31	26	27
1993	7	15	24	29	35	29	28
1993	8	15	44	53	55	51	45
1993	9	15	62	69	90	68	69
1993	10	15	89	97	107	94	91
1993	11	15	115	119	137	113	132
1993	12	15	155	174	168	148	155
1994	1	15	149	164	191	162	165
1994	2	15	128	137	133	106	116
1994	3	15	107	123	125	106	108
1994	4	15	52	67	74	63	65
1994	5	15	38	37	45	38	38
1994	6	15	34	34	38	29	24
1994	7	15	40	34	39	34	29
1994	8	15	47	58	57	46	41
1994	9	15	75	86	92	85	68
1994	10	15	117	114	104	94	99
1994	11	15	152	155	156	137	139
1994	12	15	190	186	189	164	165
1995	1	15	181	184	171	169	167
1995	2	15	131	133	128	116	112
1995	3	15	118	121	122	105	100
1995	4	15	74	68	80	67	67
1995	5	15	39	33	38	34	36
1995	6	15	28	28	31	25	22
1995	7	15	28	28	31	31	25
1995	8	15	46	43	65	54	42
1995	9	15	82	79	95	76	67
1995	10	15	110	108	126	101	102
1995	11	15	144	138	155	130	132
1995	12	15	183	199	205	189	178
1996	1	15	173	174	182	148	151
1996	2	15	146	148	139	124	135
1996	3	15	126	118	119	105	111
1996	4	15	64	65	67	57	58
1996	5	15	30	35	39	31	32
1996	6	15	26	31	32	22	20
1996	7	15	27	29	36	28	26
1996	8	15	57	69	74	61	46
1996	9	15	71	76	90	69	65
1996	10	15	95	97	118	106	98
1996	11	15	145	148	161	143	139
1996	12	15	163	168	180	148	152
1997	1	15	182	188	200	181	184
1997	2	15	132	139	128	104	119
1997	3	15	114	116	135	111	107
1997	4	15	83	88	80	65	67
1997	5	15	49	52	56	44	41
1997	6	15	31	28	35	25	34
1997	7	15	40	48	52	45	40
1997	8	15	58	58	69	58	49
1997	9	15	72	71	85	72	65
1997	10	15	105	98	119	96	94
1997	11	15	135	127	135	123	128
1997	12	15	143	235	150	140	150
1998	1	15	146	152	152	129	127
1998	2	15	108	107	120	105	111
1998	3	15	95	102	96	87	89
1998	4	15	49	54	57	55	60
1998	5	15	29	34	42	35	34
1998	6	15	16	23	25	20	23
1998	7	15	40	23	27	24	27
1998	8	15	58	39	47	38	38
1998	9	15	72	72	79	74	70
1998	10	15	105	115	124	115	106
1998	11	15	135	131	149	139	127
1998	12	15	143	171	174	150	143
1999	1	15	150	158	175	152	141
1999	2	15	128	127	144	127	124
1999	3	15	110	108	126	118	118
1999	4	15	64	62	64	59	59
1999	5	15	41	41	44	36	36
1999	6	15	20	26	26	19	22
1999	7	15	21	29	32	28	28
1999	8	15	46	65	67	53	49
1999	9	15	69	83	93	78	73
1999	10	15	101	112	117	106	107
1999	11	15	136	157	179	147	149
1999	12	15	175	186	193	181	168
2000	1	15	184	194	207	172	172
2000	2	15	141	156	176	124	124
2000	3	15	110	124	113	95	95
2000	4	15	46	56	62	51	51
2000	5	15	25	34	35	29	29
2000	6	15	17	24	28	23	23
2000	7	15	21	32	30	30	30
2000	8	15	34	47	51	38	38
2000	9	15	58	71	75	60	60
2000	10	15	85	97	104	86	86
2000	11	15	120	135	129	127	127
2000	12	15	158	176	167	157	157
2001	1	15	158	169	154	146	146
2001	2	15	121	139	138	123	123
2001	3	15	88	97	116	92	92
2001	4	15	56	71	71	57	57
2001	5	15	23	33	36	28	28
2001	6	15	14	24	27	25	25
2001	7	15	19	-1	37	27	27
2001	8	15	37	-1	62	48	48
2001	9	15	60	-1	69	64	64
2001	10	15	71	-1	96	88	88
2001	11	15	121	-1	138	124	124
2001	12	15	147	-1	160	149	149
2002	1	15	156	-1	188	149	149
2002	2	15	111	-1	142	117	117
2002	3	15	78	-1	113	87	87
2002	4	15	47	-1	63	59	59
2002	5	15	28	43	45	38	38
2002	6	15	13	22	24	22	22
2002	7	15	18	32	27	28	28
2002	8	15	44	64	51	49	49
2002	9	15	55	70	79	62	62
2002	10	15	95	107	101	92	92
2002	11	15	124	140	136	129	129
2002	12	15	137	154	149	126	126
2003	1	15	176	185	179	168	168
2003	2	15	95	112	133	110	110
2003	3	15	97	108	97	96	96
2003	4	15	54	70	63	59	59
2003	5	15	28	43	42	38	38
2003	6	15	17	29	26	18	18
2003	7	15	18	34	36	28	28
2003	8	15	34	56	50	45	45
2003	9	15	57	83	86	66	66
2003	10	15	104	126	121	111	111
2003	11	15	117	136	134	125	125
2003	12	15	154	166	151	154	154
2004	1	15	160	175	187	159	159
2004	2	15	129	143	147	140	140
2004	3	15	107	128	128	112	112
2004	4	15	61	75	79	72	72
2004	5	15	24	35	36	31	31
2004	6	15	15	32	26	30	30
2004	7	15	23	34	39	33	33
2004	8	15	36	56	53	52	52
2004	9	15	62	83	84	70	70
2004	10	15	93	126	122	102	102
2004	11	15	105	136	123	111	111
2004	12	15	163	166	174	168	168
2005	1	15	172	175	207	178	178
2005	2	15	105	139	124	131	131
2005	3	15	87	121	110	109	109
2005	4	15	50	65	53	53	53
2005	5	15	28	48	39	36	36
2005	6	15	15	27	23	26	26
2005	7	15	17	32	30	33	33
2005	8	15	32	49	55	53	53
2005	9	15	54	74	63	66	66
2005	10	15	97	115	104	97	97
2005	11	15	146	176	147	150	150
2005	12	15	160	189	170	98	98
2006	1	15	137	162	189	135	135
2006	2	15	112	133	146	136	136
2006	3	15	86	103	125	157	157
2006	4	15	55	75	81	115	115
2006	5	15	24	40	40	89	89
2006	6	15	15	30	31	55	55
2006	7	15	22	41	37	33	33
2006	8	15	32	50	48	29	29
2006	9	15	63	87	83	33	33
2006	10	15	40	113	123	44	44
2006	11	15	125	145	145	84	84
2006	12	15	152	167	163	119	119
2007	1	15	154	164	276	146	146
2007	2	15	126	136	214	149	149
2007	3	15	79	94	152	138	138
2007	4	15	50	68	83	115	115
2007	5	15	26	40	34	77	77
2007	6	15	12	26	18	43	43
2007	7	15	18	37	35	25	25
2007	8	15	28	44	51	25	25
2007	9	15	52	77	73	32	32
2007	10	15	95	113	106	48	48
2007	11	15	128	144	152	87	87
2007	12	15	156	191	177	105	105
2008	1	15	164	197	177	167	134
2008	2	15	118	135	148	127	107
2008	3	15	83	106	127	109	87
2008	4	15	59	91	82	69	63
2008	5	15	26	51	47	41	61
2008	6	15	14	32	26	23	57
2008	7	15	19	33	39	31	62
2008	8	15	33	51	57	49	73
2008	9	15	54	59	86	71	98
2008	10	15	94	104	121	103	110
2008	11	15	154	168	174	159	135
2008	12	15	158	171	215	159	128
2009	1	15	174	188	202	190	131
2009	2	15	122	135	143	137	101
2009	3	15	91	109	126	113	93
2009	4	15	57	76	84	78	63
2009	5	15	28	46	47	48	55
2009	6	15	12	26	24	24	23
2009	7	15	16	31	29	28	28
2009	8	15	42	65	70	65	51
2009	9	15	47	63	70	62	60
2009	10	15	88	112	135	109	94
2009	11	15	101	118	126	99	102
2009	12	15	123	149	151	128	129
2010	1	15	155	182	166	156	154
2010	2	15	96	114	118	109	105
2010	3	15	119	115	118	103	105
2010	4	15	49	73	68	62	63
2010	5	15	39	43	37	34	37
2010	6	15	25	33	25	25	25
2010	7	15	28	37	32	29	26
2010	8	15	42	46	47	41	39
2010	9	15	70	73	73	64	67
2010	10	15	107	110	119	104	109
2010	11	15	136	146	156	133	124
2010	12	15	202	214	204	182	172
2011	1	15	190	190	182	158	161
2011	2	15	140	148	136	116	120
2011	3	15	125	133	127	112	102
2011	4	15	72	79	78	63	56
2011	5	15	38	44	41	34	28
2011	6	15	29	34	27	23	22
2011	7	15	33	34	32	27	28
2011	8	15	50	49	53	47	44
2011	9	15	85	99	102	73	76
2011	10	15	103	106	115	95	101
2011	11	15	159	159	161	150	151
2011	12	15	168	167	179	159	159
2012	1	15	201	194	198	198	180
2012	2	15	137	142	134	109	123
2012	3	15	110	120	116	108	102
2012	4	15	65	74	68	63	61
2012	5	15	44	47	45	42	39
2012	6	15	29	34	29	32	24
2012	7	15	31	35	33	39	33
2012	8	15	48	48	57	64	45
2012	9	15	77	81	80	76	68
2012	10	15	99	98	103	104	94
2012	11	15	149	152	150	151	140
2012	12	15	179	178	153	161	158
2013	1	15	197	193	181	165	156
2013	2	15	145	143	139	123	118
2013	3	15	112	108	113	101	99
2013	4	15	72	74	76	62	62
2013	5	15	42	43	42	33	34
2013	6	15	30	27	29	25	23
2013	7	15	35	40	38	28	26
2013	8	15	61	68	66	47	49
2013	9	15	80	78	96	76	69
2013	10	15	118	116	136	96	100
2013	11	15	138	141	140	125	98
2013	12	15	210	210	205	185	179
2014	1	15	171	185	192	162	143
2014	2	15	114	106	131	121	99
2014	3	15	113	102	103	99	100
2014	4	15	66	69	70	61	60
2014	5	15	35	34	37	31	30
2014	6	15	27	29	30	25	22
2014	7	15	34	32	34	27	25
2014	8	15	60	65	65	52	45
2014	9	15	83	74	81	70	70
2014	10	15	128	124	127	97	103
2014	11	15	146	148	143	131	125
2014	12	15	174	166	150	150	143
2015	1	15	167	163	159	152	144
2015	2	15	153	137	144	135	123
2015	3	15	121	119	126	113	109
2015	4	15	87	95	93	89	75
2015	5	15	47	50	49	46	38
2015	6	15	36	41	38	31	28
2015	7	15	33	35	37	25	26
2015	8	15	57	54	64	53	49
2015	9	15	81	76	83	67	68
2015	10	15	108	102	106	89	88
2015	11	15	146	138	142	116	123
2015	12	15	177	183	151	142	146
2016	1	15	188	180	186	158	156
2016	2	15	163	178	150	135	133
2016	3	15	103	142	112	95	86
2016	4	15	57	94	55	55	49
2016	5	15	34	89	36	30	28
2016	6	15	19	24	25	20	20
2016	7	15	22	25	33	27	25
2016	8	15	39	57	59	47	40
2016	9	15	63	81	89	70	66
2016	10	15	91	105	116	101	95
2016	11	15	123	153	151	138	125
2016	12	15	150	199	168	147	149
2017	1	15	141	176	159	149	144
2017	2	15	111	118	124	114	116
2017	3	15	97	103	119	107	98
2017	4	15	59	65	73	67	65
2017	5	15	28	31	40	38	33
2017	6	15	22	28	33	36	28
2017	7	15	26	32	46	39	30
2017	8	15	45	42	57	56	40
2017	9	15	65	59	77	69	64
2017	10	15	107	104	117	113	102
2017	11	15	142	145	160	151	132
2017	12	15	173	182	181	178	160
2018	1	15	170	185	184	188	157
2018	2	15	139	147	153	147	124
2018	3	15	117	123	128	119	100
2018	4	15	67	60	85	80	65
2018	5	15	37	31	39	41	34
2018	6	15	22	18	26	24	21
2018	7	15	27	20	33	33	29
2018	8	15	43	40	53	48	41
2018	9	15	72	65	87	78	67
2018	10	15	101	91	135	114	95
2018	11	15	131	121	155	136	127
2018	12	15	146	140	163	148	140
2019	1	15	138	137	134	136	135
2019	2	15	122	122	137	123	114
2019	3	15	97	89	115	102	95
2019	4	15	59	67	71	64	60
2019	5	15	33	37	39	34	33
2019	6	15	27	29	33	28	27
2019	7	15	25	29	36	31	25
2019	8	15	44	52	52	48	37
2019	9	15	72	86	91	75	67
2019	10	15	92	104	115	100	93
2019	11	15	140	155	151	133	131
2019	12	15	165	185	163	157	158
2020	1	15	172	184	165	151	152
2020	2	15	152	158	147	137	133
2020	3	15	110	121	127	122	102
2020	4	15	59	70	74	69	67
2020	5	15	29	49	46	44	42
2020	6	15	21	26	27	29	27
2020	7	15	29	31	34	34	29
2020	8	15	51	54	68	59	45
2020	9	15	66	70	82	72	64
2020	10	15	101	106	142	112	99
2020	11	15	137	145	176	139	122
2020	12	15	167	169	173	170	163
2021	1	15	163	163	174	167	158
2021	2	15	109	113	134	117	106
2021	3	15	92	92	112	97	90
2021	4	15	58	65	77	67	58
2021	5	15	29	35	41	34	32
2021	6	15	18	19	27	26	26
2021	7	15	24	30	39	27	25
2021	8	15	32	39	64	45	39
2021	9	15	54	57	85	64	65
2021	10	15	98	113	137	116	104
2021	11	15	124	143	167	132	132
2021	12	15	159	187	207	175	150
2022	1	15	148	182	192	174	146
2022	2	15	101	129	150	126	114
2022	3	15	83	110	103	95	88
2022	4	15	48	71	67	59	50
2022	5	15	22	40	36	31	26
2022	6	15	12	28	22	21	18
2022	7	15	18	33	35	31	25
2022	8	15	33	56	52	42	36
2022	9	15	59	85	81	65	62
2022	10	15	90	127	122	102	94
2022	11	15	141	179	162	139	135
2022	12	15	177	206	181	165	162
2023	1	15	183	211	200	173	172
2023	2	15	145	171	147	123	126
2023	3	15	122	157	126	111	100
2023	4	15	55	76	72	62	54
2023	5	15	30	45	39	37	31
2023	6	15	16	28	27	25	17
2023	7	15	25	40	36	33	24
2023	8	15	45	64	62	53	47
