Fecha,Año_hidrologico,Escala,SDI,LogSDI,GammaSDI
1980-01-31,1979-1980,Aug-Jan,,,
1980-02-29,1979-1980,Sep-Feb,,,
1980-03-31,1979-1980,Oct-Mar,,,
1980-04-30,1980-1981,Nov-Apr,,,
1980-05-31,1980-1981,Dec-May,,,
1980-06-30,1980-1981,Jan-Jun,-0.7,-0.66,-0.7
1980-07-31,1980-1981,Feb-Jul,-0.88,-0.99,-0.98
1980-08-31,1980-1981,Mar-Aug,-0.62,-0.55,-0.6
1980-09-30,1980-1981,Apr-Sep,-0.59,-0.45,-0.52
1980-10-31,1980-1981,May-Oct,-0.65,-0.54,-0.6
1980-11-30,1980-1981,Jun-Nov,-0.52,-0.36,-0.42
1980-12-31,1980-1981,Jul-Dec,-0.24,-0.06,-0.13
1981-01-31,1980-1981,Aug-Jan,0.14,0.34,0.28
1981-02-28,1980-1981,Sep-Feb,0.04,0.25,0.18
1981-03-31,1980-1981,Oct-Mar,-0.11,0.09,0.01
1981-04-30,1981-1982,Nov-Apr,-0.05,0.17,0.09
1981-05-31,1981-1982,Dec-May,-0.49,-0.38,-0.44
1981-06-30,1981-1982,Jan-Jun,-0.84,-0.91,-0.92
1981-07-31,1981-1982,Feb-Jul,-1.09,-1.46,-1.37
1981-08-31,1981-1982,Mar-Aug,-1.28,-2.11,-1.85
1981-09-30,1981-1982,Apr-Sep,-1.4,-2.19,-1.94
1981-10-31,1981-1982,May-Oct,-1.51,-2.27,-2.04
1981-11-30,1981-1982,Jun-Nov,-1.58,-2.3,-2.07
1981-12-31,1981-1982,Jul-Dec,-1.45,-2.04,-1.86
1982-01-31,1981-1982,Aug-Jan,-1.3,-1.78,-1.64
1982-02-28,1981-1982,Sep-Feb,-1.1,-1.52,-1.4
1982-03-31,1981-1982,Oct-Mar,-0.95,-1.35,-1.24
1982-04-30,1982-1983,Nov-Apr,-0.96,-1.39,-1.28
1982-05-31,1982-1983,Dec-May,-1.07,-1.48,-1.37
1982-06-30,1982-1983,Jan-Jun,-1.14,-1.58,-1.46
1982-07-31,1982-1983,Feb-Jul,-0.71,-0.67,-0.71
1982-08-31,1982-1983,Mar-Aug,-0.44,-0.27,-0.35
1982-09-30,1982-1983,Apr-Sep,-0.38,-0.18,-0.26
1982-10-31,1982-1983,May-Oct,-0.1,0.12,0.04
1982-11-30,1982-1983,Jun-Nov,1.06,1.05,1.08
1982-12-31,1982-1983,Jul-Dec,1.42,1.34,1.39
1983-01-31,1982-1983,Aug-Jan,1.37,1.35,1.39
1983-02-28,1982-1983,Sep-Feb,1.17,1.27,1.27
1983-03-31,1982-1983,Oct-Mar,1.72,1.73,1.78
1983-04-30,1983-1984,Nov-Apr,2.34,2.09,2.25
1983-05-31,1983-1984,Dec-May,2.68,2.08,2.33
1983-06-30,1983-1984,Jan-Jun,2.4,1.84,2.07
1983-07-31,1983-1984,Feb-Jul,3.49,2.27,2.7
1983-08-31,1983-1984,Mar-Aug,3.96,2.45,2.97
1983-09-30,1983-1984,Apr-Sep,3.55,2.25,2.69
1983-10-31,1983-1984,May-Oct,3.4,2.24,2.64
1983-11-30,1983-1984,Jun-Nov,2.33,1.77,1.98
1983-12-31,1983-1984,Jul-Dec,2.06,1.72,1.86
1984-01-31,1983-1984,Aug-Jan,0.5,0.68,0.63
1984-02-29,1983-1984,Sep-Feb,-0.47,-0.39,-0.44
1984-03-31,1983-1984,Oct-Mar,-0.52,-0.51,-0.54
1984-04-30,1984-1985,Nov-Apr,-0.54,-0.55,-0.58
1984-05-31,1984-1985,Dec-May,-0.33,-0.16,-0.23
1984-06-30,1984-1985,Jan-Jun,-0.04,0.22,0.13
1984-07-31,1984-1985,Feb-Jul,0.09,0.35,0.26
1984-08-31,1984-1985,Mar-Aug,0.61,0.81,0.77
1984-09-30,1984-1985,Apr-Sep,0.75,0.87,0.86
1984-10-31,1984-1985,May-Oct,1.05,1.06,1.09
1984-11-30,1984-1985,Jun-Nov,1.05,1.05,1.07
1984-12-31,1984-1985,Jul-Dec,0.84,0.94,0.93
1985-01-31,1984-1985,Aug-Jan,0.74,0.88,0.86
1985-02-28,1984-1985,Sep-Feb,0.02,0.23,0.15
1985-03-31,1984-1985,Oct-Mar,-0.07,0.15,0.06
1985-04-30,1985-1986,Nov-Apr,0.05,0.29,0.21
1985-05-31,1985-1986,Dec-May,0.24,0.49,0.42
1985-06-30,1985-1986,Jan-Jun,0.15,0.41,0.33
1985-07-31,1985-1986,Feb-Jul,0.1,0.36,0.28
1985-08-31,1985-1986,Mar-Aug,0.26,0.51,0.44
1985-09-30,1985-1986,Apr-Sep,0.35,0.56,0.5
1985-10-31,1985-1986,May-Oct,-0.12,0.1,0.02
1985-11-30,1985-1986,Jun-Nov,-0.54,-0.39,-0.45
1985-12-31,1985-1986,Jul-Dec,-0.72,-0.68,-0.71
1986-01-31,1985-1986,Aug-Jan,-0.8,-0.84,-0.85
1986-02-28,1985-1986,Sep-Feb,-1.14,-1.62,-1.48
1986-03-31,1985-1986,Oct-Mar,-1.17,-1.95,-1.69
1986-04-30,1986-1987,Nov-Apr,-0.29,-0.16,-0.23
1986-05-31,1986-1987,Dec-May,-0.09,0.14,0.06
1986-06-30,1986-1987,Jan-Jun,0.09,0.35,0.27
1986-07-31,1986-1987,Feb-Jul,0.13,0.39,0.31
1986-08-31,1986-1987,Mar-Aug,0.23,0.49,0.41
1986-09-30,1986-1987,Apr-Sep,0.24,0.47,0.41
1986-10-31,1986-1987,May-Oct,-0.35,-0.16,-0.24
1986-11-30,1986-1987,Jun-Nov,-0.26,-0.06,-0.13
1986-12-31,1986-1987,Jul-Dec,-0.31,-0.14,-0.2
1987-01-31,1986-1987,Aug-Jan,-0.16,0.02,-0.04
1987-02-28,1986-1987,Sep-Feb,-0.14,0.05,-0.02
1987-03-31,1986-1987,Oct-Mar,-0.22,-0.06,-0.13
1987-04-30,1987-1988,Nov-Apr,0.45,0.72,0.64
1987-05-31,1987-1988,Dec-May,0.92,1.06,1.05
1987-06-30,1987-1988,Jan-Jun,0.76,0.91,0.89
1987-07-31,1987-1988,Feb-Jul,0.73,0.9,0.87
1987-08-31,1987-1988,Mar-Aug,0.87,1.01,1.0
1987-09-30,1987-1988,Apr-Sep,0.93,1.0,1.01
1987-10-31,1987-1988,May-Oct,0.66,0.78,0.76
1987-11-30,1987-1988,Jun-Nov,0.1,0.3,0.24
1987-12-31,1987-1988,Jul-Dec,-0.11,0.08,0.01
1988-01-31,1987-1988,Aug-Jan,-0.39,-0.26,-0.31
1988-02-29,1987-1988,Sep-Feb,-0.69,-0.73,-0.74
1988-03-31,1987-1988,Oct-Mar,-0.72,-0.86,-0.84
1988-04-30,1988-1989,Nov-Apr,-0.96,-1.38,-1.27
1988-05-31,1988-1989,Dec-May,-0.47,-0.35,-0.41
1988-06-30,1988-1989,Jan-Jun,-0.44,-0.26,-0.34
1988-07-31,1988-1989,Feb-Jul,-0.52,-0.37,-0.44
1988-08-31,1988-1989,Mar-Aug,-0.65,-0.59,-0.64
1988-09-30,1988-1989,Apr-Sep,-0.64,-0.52,-0.59
1988-10-31,1988-1989,May-Oct,-0.75,-0.68,-0.73
1988-11-30,1988-1989,Jun-Nov,-1.23,-1.47,-1.41
1988-12-31,1988-1989,Jul-Dec,-1.39,-1.91,-1.76
1989-01-31,1988-1989,Aug-Jan,-1.29,-1.76,-1.63
1989-02-28,1988-1989,Sep-Feb,-0.82,-0.96,-0.94
1989-03-31,1988-1989,Oct-Mar,-0.71,-0.84,-0.82
1989-04-30,1989-1990,Nov-Apr,-0.48,-0.45,-0.49
1989-05-31,1989-1990,Dec-May,-0.31,-0.13,-0.21
1989-06-30,1989-1990,Jan-Jun,-0.41,-0.22,-0.3
1989-07-31,1989-1990,Feb-Jul,-0.4,-0.21,-0.29
1989-08-31,1989-1990,Mar-Aug,-0.5,-0.36,-0.43
1989-09-30,1989-1990,Apr-Sep,0.15,0.38,0.31
1989-10-31,1989-1990,May-Oct,0.2,0.4,0.35
1989-11-30,1989-1990,Jun-Nov,0.1,0.3,0.24
1989-12-31,1989-1990,Jul-Dec,0.21,0.41,0.35
1990-01-31,1989-1990,Aug-Jan,0.52,0.69,0.65
1990-02-28,1989-1990,Sep-Feb,0.53,0.75,0.69
1990-03-31,1989-1990,Oct-Mar,-0.29,-0.16,-0.22
1990-04-30,1990-1991,Nov-Apr,0.13,0.37,0.29
1990-05-31,1990-1991,Dec-May,0.46,0.69,0.63
1990-06-30,1990-1991,Jan-Jun,1.88,1.59,1.73
1990-07-31,1990-1991,Feb-Jul,1.49,1.38,1.46
1990-08-31,1990-1991,Mar-Aug,1.35,1.32,1.37
1990-09-30,1990-1991,Apr-Sep,1.69,1.45,1.57
1990-10-31,1990-1991,May-Oct,1.78,1.5,1.63
1990-11-30,1990-1991,Jun-Nov,1.97,1.59,1.74
1990-12-31,1990-1991,Jul-Dec,0.69,0.82,0.79
1991-01-31,1990-1991,Aug-Jan,0.69,0.83,0.8
1991-02-28,1990-1991,Sep-Feb,0.61,0.82,0.77
1991-03-31,1990-1991,Oct-Mar,0.08,0.32,0.24
1991-04-30,1991-1992,Nov-Apr,-0.48,-0.44,-0.48
1991-05-31,1991-1992,Dec-May,-1.04,-1.41,-1.32
1991-06-30,1991-1992,Jan-Jun,-0.97,-1.18,-1.14
1991-07-31,1991-1992,Feb-Jul,-0.9,-1.03,-1.02
1991-08-31,1991-1992,Mar-Aug,-0.85,-0.96,-0.96
1991-09-30,1991-1992,Apr-Sep,-0.97,-1.08,-1.08
1991-10-31,1991-1992,May-Oct,-1.07,-1.22,-1.2
1991-11-30,1991-1992,Jun-Nov,-1.12,-1.26,-1.24
1991-12-31,1991-1992,Jul-Dec,-1.26,-1.61,-1.51
1992-01-31,1991-1992,Aug-Jan,-1.16,-1.49,-1.41
1992-02-29,1991-1992,Sep-Feb,-1.03,-1.37,-1.28
1992-03-31,1991-1992,Oct-Mar,-0.57,-0.58,-0.6
1992-04-30,1992-1993,Nov-Apr,-0.18,-0.0,-0.08
1992-05-31,1992-1993,Dec-May,0.23,0.48,0.41
1992-06-30,1992-1993,Jan-Jun,1.02,1.09,1.1
1992-07-31,1992-1993,Feb-Jul,1.19,1.2,1.24
1992-08-31,1992-1993,Mar-Aug,1.2,1.22,1.26
1992-09-30,1992-1993,Apr-Sep,1.17,1.15,1.2
1992-10-31,1992-1993,May-Oct,1.04,1.06,1.08
1992-11-30,1992-1993,Jun-Nov,0.96,0.99,1.0
1992-12-31,1992-1993,Jul-Dec,0.14,0.33,0.27
1993-01-31,1992-1993,Aug-Jan,-0.25,-0.09,-0.16
1993-02-28,1992-1993,Sep-Feb,-0.3,-0.17,-0.23
1993-03-31,1992-1993,Oct-Mar,-0.28,-0.14,-0.2
1993-04-30,1993-1994,Nov-Apr,-0.2,-0.03,-0.1
1993-05-31,1993-1994,Dec-May,-0.25,-0.05,-0.13
1993-06-30,1993-1994,Jan-Jun,-0.23,0.0,-0.08
1993-07-31,1993-1994,Feb-Jul,0.05,0.31,0.23
1993-08-31,1993-1994,Mar-Aug,-0.11,0.14,0.05
1993-09-30,1993-1994,Apr-Sep,-0.3,-0.08,-0.16
1993-10-31,1993-1994,May-Oct,-0.12,0.09,0.02
1993-11-30,1993-1994,Jun-Nov,-0.12,0.08,0.02
1993-12-31,1993-1994,Jul-Dec,0.0,0.2,0.13
1994-01-31,1993-1994,Aug-Jan,-0.35,-0.21,-0.27
1994-02-28,1993-1994,Sep-Feb,0.21,0.44,0.37
1994-03-31,1993-1994,Oct-Mar,0.41,0.69,0.61
1994-04-30,1994-1995,Nov-Apr,0.47,0.73,0.66
1994-05-31,1994-1995,Dec-May,0.61,0.82,0.78
1994-06-30,1994-1995,Jan-Jun,0.62,0.81,0.77
1994-07-31,1994-1995,Feb-Jul,0.98,1.07,1.07
1994-08-31,1994-1995,Mar-Aug,0.58,0.79,0.74
