Fecha,Año_hidrologico,Escala,SDI,LogSDI,GammaSDI
1980-05-31,1980-1981,Dec-May,,,
1980-06-30,1980-1981,Jan-Jun,,,
1980-07-31,1980-1981,Feb-Jul,,,
1980-08-31,1980-1981,Mar-Aug,,,
1980-09-30,1980-1981,Apr-Sep,,,
1980-10-31,1980-1981,May-Oct,0.17,0.4,0.35
1980-11-30,1980-1981,Jun-Nov,0.35,0.5,0.49
1980-12-31,1980-1981,Jul-Dec,0.35,0.55,0.52
1981-01-31,1980-1981,Aug-Jan,0.26,0.54,0.47
1981-02-28,1980-1981,Sep-Feb,0.43,0.72,0.65
1981-03-31,1980-1981,Oct-Mar,0.67,0.87,0.86
1981-04-30,1981-1982,Nov-Apr,0.01,0.45,0.32
1981-05-31,1981-1982,Dec-May,0.17,0.55,0.48
1981-06-30,1981-1982,Jan-Jun,0.16,0.52,0.44
1981-07-31,1981-1982,Feb-Jul,0.25,0.52,0.47
1981-08-31,1981-1982,Mar-Aug,0.19,0.47,0.41
1981-09-30,1981-1982,Apr-Sep,0.46,0.62,0.61
1981-10-31,1981-1982,May-Oct,0.48,0.6,0.6
1981-11-30,1981-1982,Jun-Nov,0.4,0.53,0.53
1981-12-31,1981-1982,Jul-Dec,-0.01,0.26,0.19
1982-01-31,1981-1982,Aug-Jan,-0.19,0.12,0.01
1982-02-28,1981-1982,Sep-Feb,-0.24,0.08,-0.04
1982-03-31,1981-1982,Oct-Mar,-0.6,-0.38,-0.5
1982-04-30,1982-1983,Nov-Apr,-0.54,-0.17,-0.34
1982-05-31,1982-1983,Dec-May,-0.58,-0.16,-0.34
1982-06-30,1982-1983,Jan-Jun,-0.45,-0.03,-0.19
1982-07-31,1982-1983,Feb-Jul,-0.33,0.08,-0.05
1982-08-31,1982-1983,Mar-Aug,-0.14,0.22,0.12
1982-09-30,1982-1983,Apr-Sep,0.23,0.47,0.42
1982-10-31,1982-1983,May-Oct,0.62,0.69,0.71
1982-11-30,1982-1983,Jun-Nov,1.23,1.01,1.14
1982-12-31,1982-1983,Jul-Dec,1.21,1.07,1.18
1983-01-31,1982-1983,Aug-Jan,0.97,1.01,1.05
1983-02-28,1982-1983,Sep-Feb,1.17,1.19,1.23
1983-03-31,1982-1983,Oct-Mar,1.5,1.28,1.43
1983-04-30,1983-1984,Nov-Apr,1.24,1.11,1.24
1983-05-31,1983-1984,Dec-May,0.96,0.94,1.03
1983-06-30,1983-1984,Jan-Jun,0.78,0.86,0.91
1983-07-31,1983-1984,Feb-Jul,1.49,1.09,1.28
1983-08-31,1983-1984,Mar-Aug,1.01,0.91,1.0
1983-09-30,1983-1984,Apr-Sep,0.22,0.47,0.42
1983-10-31,1983-1984,May-Oct,0.62,0.68,0.71
1983-11-30,1983-1984,Jun-Nov,0.57,0.64,0.66
1983-12-31,1983-1984,Jul-Dec,0.6,0.72,0.73
1984-01-31,1983-1984,Aug-Jan,-0.11,0.21,0.11
1984-02-29,1983-1984,Sep-Feb,-0.03,0.31,0.2
1984-03-31,1983-1984,Oct-Mar,0.52,0.78,0.74
1984-04-30,1984-1985,Nov-Apr,0.21,0.59,0.51
1984-05-31,1984-1985,Dec-May,0.17,0.56,0.48
1984-06-30,1984-1985,Jan-Jun,1.15,1.02,1.14
1984-07-31,1984-1985,Feb-Jul,1.7,1.16,1.4
1984-08-31,1984-1985,Mar-Aug,1.55,1.13,1.32
1984-09-30,1984-1985,Apr-Sep,1.19,1.02,1.13
1984-10-31,1984-1985,May-Oct,1.34,1.05,1.2
1984-11-30,1984-1985,Jun-Nov,1.45,1.11,1.28
1984-12-31,1984-1985,Jul-Dec,0.21,0.44,0.39
1985-01-31,1984-1985,Aug-Jan,,,
1985-02-28,1984-1985,Sep-Feb,,,
1985-03-31,1984-1985,Oct-Mar,,,
